timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,,,50153.000,-7.471,-14.941,50153.000,0
51,,,50000.000,-2554.941,-1785.470,50000.000,0
101,,,50000.000,-560.294,-508.000,50000.000,0
151,,,50000.000,-2032.000,-1897.529,50000.000,0
201,,,50000.000,-1628.588,-1658.470,50000.000,0
251,,,50000.000,-776.941,-1030.941,50000.000,0
301,,,50000.000,-739.588,-530.412,50000.000,0
351,,,50000.000,14.941,82.176,50000.000,0
401,,,50000.000,104.588,0.000,50000.000,0
451,,,50000.000,358.588,-410.882,50000.000,0
501,,,50000.000,806.823,-903.941,50000.000,0
551,,,50000.000,291.353,164.353,50000.000,0
601,,,50000.000,1778.000,1165.412,50000.000,0
651,,,50000.000,1344.706,530.412,50000.000,0
701,,,50000.000,784.412,7.471,50000.000,0
751,,,50000.000,948.765,-22.412,50000.000,0
801,,,50000.000,283.882,7.471,50000.000,0
851,,,50000.000,1972.235,209.176,50000.000,0
901,,,50000.000,3473.823,328.706,50000.000,0
951,,,50000.000,1143.000,67.235,50000.000,0
1001,,,50000.000,2801.470,239.059,50000.000,0
1051,,,50000.000,2420.470,134.471,50000.000,0
1101,,,50000.000,1568.823,14.941,50000.000,0
1151,,,50000.000,799.353,-29.882,50000.000,0
1201,,,50000.000,343.647,-14.941,50000.000,0
1251,,,50000.000,1120.588,82.176,50000.000,0
1301,,,50000.000,2091.765,164.353,50000.000,0
1351,,,50000.000,2315.882,112.059,50000.000,0
1401,,,50000.000,2786.529,-22.412,50000.000,0
1451,,,50000.000,3399.117,22.412,50000.000,0
1501,,,50000.000,2846.294,134.471,50000.000,0
1551,,,50000.000,911.412,89.647,50000.000,0
1601,,,50000.000,1987.176,67.235,50000.000,0
1651,,,50000.000,2383.117,119.529,50000.000,0
1701,,,50000.000,1897.529,67.235,50000.000,0
1751,,,50000.000,2360.706,104.588,50000.000,0
1801,,,50000.000,463.176,37.353,50000.000,0
1851,,,50000.000,948.765,52.294,50000.000,0
1901,,,50000.000,1016.000,7.471,50000.000,0
1951,,,50000.000,657.412,-7.471,50000.000,0
2001,,,50000.000,874.059,59.765,50000.000,0
2051,,,50000.000,1172.882,82.176,50000.000,0
2101,,,50000.000,754.529,14.941,50000.000,0
2151,,,50000.000,410.882,29.882,50000.000,0
2201,,,50000.000,328.706,119.529,50000.000,0
2251,,,50000.000,-14.941,7.471,50000.000,0
2301,,,50000.000,-388.471,156.882,50000.000,0
2351,,,50000.000,-664.882,112.059,50000.000,0
2401,,,50000.000,-388.471,7.471,50000.000,0
2451,,,50000.000,-717.176,44.824,50000.000,0
2501,,,50000.000,-2136.588,97.118,50000.000,0
2551,,,50000.000,-2375.647,-67.235,50000.000,0
2601,,,50000.000,-4071.470,-425.823,50000.000,0
2651,,,50000.000,-3331.882,-201.706,50000.000,0
2701,,,50000.000,-5423.646,-291.353,50000.000,0
2751,,,50000.000,-4445.000,-224.118,50000.000,0
2801,,,50000.000,-2637.117,-119.529,50000.000,0
2851,,,50000.000,-2577.353,-149.412,50000.000,0
2901,,,50000.000,-4676.588,-433.294,50000.000,0
2951,,,50000.000,-3070.412,-194.235,50000.000,0
3001,,,50000.000,-3145.117,-44.824,50000.000,0
3051,,,50000.000,-1643.529,-127.000,50000.000,0
3101,,,50000.000,-5087.470,-313.765,50000.000,0
3151,,,50000.000,-6237.941,-224.118,50000.000,0
3201,,,50000.000,-1464.235,-37.353,50000.000,0
3251,,,50000.000,-2696.882,-194.235,50000.000,0
3301,,,50000.000,-4161.117,-239.059,50000.000,0
3351,,,50000.000,-7888.940,-545.353,50000.000,0
3401,,,50000.000,-4303.059,-403.412,50000.000,0
3451,,,50000.000,-1718.235,-104.588,50000.000,0
3501,,,50000.000,-3488.764,-209.176,50000.000,0
3551,,,50000.000,-6663.764,-582.706,50000.000,0
3601,,,50000.000,-6245.411,-470.647,50000.000,0
3651,,,50000.000,-2734.235,-67.235,50000.000,0
3701,,,50000.000,-590.176,-44.824,50000.000,0
3751,,,50000.000,-1740.647,0.000,50000.000,0
3801,,,50000.000,-2779.059,0.000,50000.000,0
3851,,,50000.000,-3421.529,-67.235,50000.000,0
3901,,,50000.000,-1322.294,-119.529,50000.000,0
3951,,,50000.000,-1157.941,-306.294,50000.000,0
4001,,,50000.000,-134.471,-22.412,50000.000,0
4051,,,50000.000,0.000,0.000,50000.000,0
4101,,,50000.000,224.118,0.000,50000.000,0
4151,,,50000.000,1083.235,52.294,50000.000,0
4201,,,50000.000,1150.470,89.647,50000.000,0
4251,,,50000.000,2771.588,156.882,50000.000,0
4301,,,50000.000,3264.647,119.529,50000.000,0
4351,,,50000.000,3115.235,194.235,50000.000,0
4401,,,50000.000,2592.294,224.118,50000.000,0
4451,,,50000.000,1740.647,112.059,50000.000,0
4501,,,50000.000,1322.294,97.118,50000.000,0
4551,,,50000.000,3675.529,149.412,50000.000,0
4601,,,50000.000,4318.000,209.176,50000.000,0
4651,,,50000.000,5289.176,283.882,50000.000,0
4701,,,50000.000,2398.059,186.765,50000.000,0
4751,,,50000.000,2248.647,141.941,50000.000,0
4801,,,50000.000,2173.941,119.529,50000.000,0
4851,,,50000.000,3316.941,149.412,50000.000,0
4901,,,50000.000,4228.353,194.235,50000.000,0
4951,,,50000.000,4071.470,149.412,50000.000,0
