timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,,,50156.000,29.882,-29.882,50153.000,0
51,,,50000.000,4504.764,-5341.470,50000.000,0
101,,,50000.000,8606.117,-10279.528,50000.000,0
151,,,50000.000,7253.941,-11489.764,50000.000,0
201,,,50000.000,4415.117,-7141.882,50000.000,0
251,,,50000.000,4064.000,-5124.823,50000.000,0
301,,,50000.000,3466.353,-4489.823,50000.000,0
351,,,50000.000,4049.059,-6267.823,50000.000,0
401,,,50000.000,2652.059,-4445.000,50000.000,0
451,,,50000.000,3772.647,-5229.412,50000.000,0
501,,,50000.000,2741.706,-3720.353,50000.000,0
551,,,50000.000,3369.235,-4878.294,50000.000,0
601,,,50000.000,2562.412,-3742.764,50000.000,0
651,,,50000.000,4340.412,-5662.706,50000.000,0
701,,,50000.000,9427.882,-12147.176,50000.000,0
751,,,50000.000,7575.176,-10473.764,50000.000,0
801,,,50000.000,2114.176,-2898.588,50000.000,0
851,,,50000.000,4131.235,-4377.765,50000.000,0
901,,,50000.000,2017.059,-1755.588,50000.000,0
951,,,50000.000,2375.647,-1822.823,50000.000,0
1001,,,50000.000,2338.294,-2076.823,50000.000,0
1051,,,50000.000,2226.235,-1531.470,50000.000,0
1101,,,50000.000,2159.000,-597.647,50000.000,0
1151,,,50000.000,2614.706,-672.353,50000.000,0
1201,,,50000.000,2584.823,-1030.941,50000.000,0
1251,,,50000.000,1471.706,-702.235,50000.000,0
1301,,,50000.000,2450.353,-2629.647,50000.000,0
1351,,,50000.000,3443.941,-3974.353,50000.000,0
1401,,,50000.000,3511.176,-3219.823,50002.000,0
1451,,,50000.000,3003.176,-3458.882,50000.000,0
1501,,,50000.000,3279.588,-4631.764,50000.000,0
1551,,,50000.000,2921.000,-3593.353,50000.000,0
1601,,,50000.000,3683.000,-3683.000,50000.000,0
1651,,,50000.000,6013.823,-5610.412,50000.000,0
1701,,,50000.000,9338.234,-8777.940,50000.000,0
1751,,,50000.000,7097.058,-4990.353,50000.000,0
1801,,,50000.000,8919.882,-4078.941,50000.000,0
1851,,,50000.000,9719.234,-2921.000,50000.000,0
1901,,,50000.000,7014.882,-2599.765,50000.000,0
1951,,,50000.000,7493.000,-4011.706,50000.000,0
2001,,,50000.000,6342.529,-4176.059,50000.000,0
2051,,,50000.000,2980.764,-1875.118,50000.000,0
2101,,,50000.000,2667.000,-1740.647,50000.000,0
2151,,,50000.000,5154.706,-3346.823,50000.000,0
2201,,,50000.000,6170.706,-4445.000,50000.000,0
2251,,,50000.000,7896.411,-6006.353,50000.000,0
2301,,,50000.000,4773.706,-3996.764,50000.000,0
2351,,,50000.000,4392.706,-3817.470,50000.000,0
2401,,,50000.000,8434.294,-6514.353,50000.000,0
2451,,,50000.000,6357.470,-4325.470,50000.000,0
2501,,,50000.000,6641.353,-4370.294,50000.000,0
2551,,,50000.000,5371.353,-3585.882,50000.000,0
2601,,,50000.000,3302.000,-1972.235,50000.000,0
2651,,,50000.000,1359.647,-672.353,50000.000,0
2701,,,50000.000,1905.000,-903.941,50000.000,0
2751,,,50000.000,724.647,-433.294,50000.000,0
2801,,,50000.000,2151.529,-1494.118,50000.000,0
2851,,,50000.000,4788.647,-3511.176,50000.000,0
2901,,,50000.000,8680.823,-5729.941,50000.000,0
2951,,,50000.000,9472.705,-5782.235,50000.000,0
3001,,,50000.000,7926.293,-5177.117,50000.000,0
3051,,,50000.000,4953.000,-3720.353,50000.000,0
3101,,,50000.000,6491.941,-5640.294,50000.000,0
3151,,,50000.000,13536.705,-11497.234,50000.000,0
3201,,,50000.000,8583.705,-5901.764,50000.000,0
3251,,,50000.000,13103.411,-6439.646,50000.000,0
3301,,,50000.000,14194.116,-5610.412,50000.000,0
3351,,,50000.000,9913.470,-3331.882,50000.000,0
3401,,,50000.000,7545.293,-2584.823,50000.000,0
3451,,,50000.000,3152.588,-844.176,50000.000,0
3501,,,50000.000,1113.118,-224.118,50000.000,0
3551,,,50000.000,7231.529,-1665.941,50000.000,0
