timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,-89.647,-74.706,50153.000,-67.235,7.471,50153.000,0
51,-15015.881,-12378.764,50000.000,-21881.352,2629.647,50000.000,0
101,-14709.587,-10384.117,50000.000,-21500.352,-2353.235,50000.000,0
151,-14388.352,-8777.940,50000.000,-20432.057,-6648.823,50000.000,0
201,-13633.822,-7478.058,50000.000,-18990.234,-7433.235,50000.000,0
251,-13984.940,-8142.940,50000.000,-19348.822,-8030.882,50000.000,0
301,-14246.411,-9442.823,50000.000,-19445.939,-5662.706,50000.000,0
351,-14209.058,-10040.470,50000.000,-19408.588,-1658.470,50000.000,0
401,-14321.116,-11302.999,50000.000,-19266.646,-1150.470,50000.000,0
451,-11549.528,-10346.764,50000.000,-19640.176,-4699.000,50000.000,0
501,-10526.059,-9114.117,50000.000,-19333.881,-5804.646,50000.000,0
551,-10936.940,-8434.294,50000.000,-18855.764,-3130.176,50000.000,0
601,-10869.705,-8426.823,50000.000,-18818.410,-1553.882,50000.000,0
651,-10899.588,-12027.646,50000.000,-17832.293,1942.353,50000.000,0
701,-10204.823,-13476.940,50000.000,-18377.646,3615.764,50000.000,0
751,-9808.882,-12184.528,50000.000,-19259.176,1053.353,50000.000,0
801,-10802.470,-13671.176,50000.000,-18975.293,-381.000,50000.000,0
851,-10727.764,-14492.940,50000.000,-19191.939,-134.471,50000.000,0
901,-10249.646,-13917.705,50000.000,-18093.764,2749.176,50000.000,0
951,-10735.234,-14111.940,50000.000,-18063.881,1882.588,50000.000,0
1001,-10862.234,-14276.293,50000.000,-19191.939,-500.529,50000.000,0
1051,-11041.528,-13357.411,50000.000,-18668.998,89.647,50000.000,0
1101,-12064.999,-14209.058,50000.000,-19079.881,5909.235,50000.000,0
1151,-12050.058,-15142.881,50000.000,-20305.057,612.588,50000.000,0
1201,-9883.588,-14164.234,50000.000,-19416.057,-2166.470,50000.000,0
1251,-10735.234,-13103.411,50000.000,-19311.469,141.941,50000.000,0
1301,-13207.999,-14575.116,50000.000,-19953.939,4482.353,50000.000,0
1351,-14941.176,-17249.588,50000.000,-22262.352,582.706,50000.000,0
1401,-14201.587,-17585.764,50000.000,-22680.705,-2256.117,50000.000,0
1451,-14433.176,-16487.588,50000.000,-21896.293,433.294,50000.000,0
1501,-14433.176,-16838.705,50000.000,-22150.293,470.647,50000.000,0
1551,-14291.234,-17525.998,50000.000,-22665.764,-4557.059,50000.000,0
1601,-13738.411,-15374.470,50000.000,-22239.939,-5229.412,50000.000,0
1651,-13633.822,-10384.117,50000.000,-21672.176,-918.882,50000.000,0
1701,-15225.058,-7097.058,50000.000,-19117.234,5087.470,50000.000,0
1751,-14388.352,-4870.823,50000.000,-18773.588,4325.470,50000.000,0
1801,-12117.293,-3660.588,50000.000,-19386.176,179.294,50000.000,0
1851,-10496.176,-1665.941,50000.000,-18370.176,-3443.941,50000.000,0
1901,-11138.646,-201.706,50000.000,-17257.059,-5864.411,50000.000,0
1951,-11646.646,-239.059,50000.000,-14896.352,-2921.000,50000.000,0
2001,-11474.822,-1225.176,50000.000,-13461.999,-254.000,50000.000,0
2051,-11317.940,-1337.235,50000.000,-13327.528,388.471,50000.000,0
2101,-10653.058,-597.647,50000.000,-12221.882,328.706,50000.000,0
2151,-9711.764,-89.647,50000.000,-10727.764,-52.294,50000.000,0
2201,-8650.940,-560.294,50000.000,-10010.588,-620.059,50000.000,0
2251,-8352.117,-2622.176,50000.000,-9719.234,-2166.470,50000.000,0
2301,-7500.470,-4743.823,50000.000,-10324.353,-2457.823,50000.000,0
2351,-7806.764,-5244.353,50000.000,-10130.117,-1725.706,50000.000,0
2401,-8337.176,-4609.353,50000.000,-9935.882,-687.294,50000.000,0
2451,-8673.353,-4161.117,50000.000,-9704.294,373.529,50000.000,0
2501,-8374.529,-3287.059,50000.000,-9435.353,590.176,50000.000,0
2551,-7164.293,-1710.765,50000.000,-8733.117,373.529,50000.000,0
2601,-6947.646,-373.529,50000.000,-7784.353,-343.647,50000.000,0
2651,-6252.882,254.000,50000.000,-7022.353,-978.647,50000.000,0
2701,-5558.117,1135.529,50000.000,-6185.646,-283.882,50000.000,0
2751,-4557.059,3309.470,50000.000,-4347.882,1329.765,50000.000,0
2801,-3279.588,5184.588,50000.000,-1441.823,2271.059,50000.000,0
2851,-1135.529,5438.588,50000.000,575.235,1553.882,50000.000,0
2901,2039.470,4654.176,50000.000,3077.882,-1524.000,50000.000,0
2951,5393.764,2286.000,50000.000,5378.823,-4631.764,50000.000,0
3001,8180.293,-545.353,50000.000,7336.117,-5812.117,50000.000,0
3051,10496.176,-3115.235,50000.000,8471.646,-7702.176,50000.000,0
3101,12393.705,-5094.941,50000.000,8001.000,-9002.059,50000.000,0
3151,12535.646,-5401.235,50000.000,7253.941,-6701.117,50000.000,0
3201,11646.646,-3593.353,50000.000,9203.764,-3690.470,50000.000,0
