timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,104.588,0.000,50153.000,0.000,0.000,50155.000,0
51,32003.998,-1509.059,50000.000,27745.764,-14007.352,50000.000,0
101,28089.410,-4295.588,50000.000,18497.176,-7522.882,50000.000,0
151,25990.174,-2457.823,50000.000,19408.588,-8142.940,50000.000,0
201,25848.234,1217.706,50000.000,27260.174,-16554.822,50000.000,0
251,25399.998,1098.176,50000.000,26729.764,-15471.587,50000.000,0
301,24914.410,0.000,50000.000,27372.234,-14933.705,50000.000,0
351,25168.410,-620.059,50000.000,31675.291,-16861.117,50000.000,0
401,24286.881,1479.176,50000.000,31428.762,-18504.646,50000.000,0
451,26274.057,-313.765,50000.000,27402.115,-16106.587,50000.000,0
501,23823.705,-3750.235,50000.000,24413.881,-15060.705,50000.000,0
551,18116.176,-57777.527,50000.000,21575.057,-11190.940,50000.000,0
601,21589.998,2711.823,50000.000,25736.174,-13603.940,50000.000,0
651,24376.527,1591.235,50000.000,27596.352,-13775.764,50000.000,0
701,24652.939,-2203.823,50000.000,26640.115,-13715.999,50000.000,0
751,22628.410,-4310.529,50000.000,28552.586,-15449.176,50000.000,0
801,24891.998,-1583.765,50000.000,29874.881,-16681.822,50000.000,0
851,27222.822,298.824,50000.000,30973.057,-18280.527,50000.000,0
901,30719.057,-1090.706,50000.000,28261.232,-15254.940,50000.000,0
951,26161.998,-1979.706,50000.000,25422.410,-11997.764,50000.000,0
1001,27536.586,-1232.647,50000.000,28552.586,-12939.058,50000.000,0
1051,26214.293,1060.823,50000.000,27596.352,-14477.999,50000.000,0
1101,28955.998,156.882,50000.000,27499.234,-14664.764,50000.000,0
1151,29165.174,-1449.294,50000.000,24615.586,-12020.176,50000.000,0
1201,26677.469,-1845.235,50000.000,23614.527,-10720.293,50000.000,0
1251,21470.469,1255.059,50000.000,29105.410,-15650.881,50000.000,0
1301,25990.174,2540.000,50000.000,31817.232,-17630.588,50000.000,0
1351,26998.703,-620.059,50000.000,29732.939,-15606.058,50000.000,0
1401,19483.293,-1815.353,50000.000,27872.764,-14687.176,50000.000,0
1451,19236.764,478.118,50000.000,23338.115,-9577.294,50000.000,0
1501,22815.176,4205.941,50000.000,29650.764,-12498.293,50000.000,0
1551,26378.645,1180.353,50000.000,28477.881,-11504.705,50000.000,0
1601,22210.057,-1830.294,50000.000,26692.410,-8658.411,50000.000,0
1651,15000.940,-1023.471,50000.000,27297.527,-2898.588,50000.000,0
1701,18198.352,-44.824,50000.000,26714.822,791.882,50000.000,0
1751,20596.410,-179.294,50000.000,26483.234,649.941,50000.000,0
1801,18407.527,-1927.412,50000.000,24458.705,-672.353,50000.000,0
1851,18960.352,-4840.941,50000.000,22800.234,-2681.941,50000.000,0
1901,17003.059,-4445.000,50000.000,22269.822,-3339.353,50000.000,0
1951,16838.705,-3578.412,50000.000,22277.293,-418.353,50000.000,0
2001,18818.410,-903.941,50000.000,21963.527,1404.470,50000.000,0
2051,19049.998,-3399.117,50000.000,22008.352,-1367.118,50000.000,0
2101,16397.939,-8240.059,50000.000,18900.588,-4534.647,50000.000,0
2151,13103.411,-7664.823,50000.000,17167.410,-4616.823,50000.000,0
2201,15994.528,-8479.117,50002.000,19782.117,-6215.529,50000.000,0
2251,15718.116,-7560.235,49999.000,18011.588,-3899.647,49999.000,0
2301,12886.764,-5916.706,49999.000,17578.293,-1150.470,49999.000,0
2351,12968.940,-6865.470,50000.000,16890.998,-1740.647,50000.000,0
2401,12042.588,-8800.353,50000.000,13544.176,-4191.000,50000.000,0
2451,10839.823,-10413.999,50000.000,11766.176,-3533.588,50000.000,0
2501,9248.588,-6955.117,50000.000,12707.470,-2106.706,50000.000,0
2551,9726.705,-4863.353,50000.000,12587.940,149.412,50000.000,0
2601,8837.705,-5304.117,50000.000,11691.470,156.882,50000.000,0
2651,8359.588,-7814.235,50000.000,8725.646,-2338.294,50000.000,0
2701,6282.764,-9024.470,50000.000,6798.235,-2024.529,50000.000,0
2751,6611.470,-9861.176,50000.000,6686.176,-687.294,50000.000,0
2801,4519.706,-6514.353,50000.000,5266.764,2734.235,50000.000,0
2851,3675.529,-5640.294,50000.000,5311.588,3533.588,50000.000,0
2901,4923.117,-10032.999,50000.000,2980.764,-754.529,50000.000,0
2951,3884.706,-10772.588,50000.000,605.118,-2360.706,50000.000,0
3001,3107.764,-9263.528,50000.000,657.412,-1262.529,50000.000,0
3051,1217.706,-7747.000,50000.000,664.882,1337.235,50000.000,0
3101,933.823,-9517.528,50000.000,-164.353,448.235,50000.000,0
3151,403.412,-10182.411,50000.000,-1695.823,-799.353,50000.000,0
3201,268.941,-8120.529,50000.000,-2502.647,-679.823,50000.000,0
3251,-829.235,-6962.588,50000.000,-3436.470,2950.882,50000.000,0
3301,-2465.294,-8038.353,50000.000,-4385.235,2876.176,50000.000,0
3351,-2853.764,-10107.705,50000.000,-6327.588,-657.412,50000.000,0
3401,-3130.176,-10757.646,50000.000,-8015.940,-2203.823,50000.000,0
3451,-4706.470,-11019.117,50000.000,-9285.940,-1344.706,50000.000,0
3501,-5625.353,-8150.411,50000.000,-9353.176,2046.941,50000.000,0
3551,-5819.588,-5707.529,50000.000,-8090.646,1658.470,50000.000,0
3601,-6066.117,-4848.412,50000.000,-9061.823,-1792.941,50000.000,0
3651,-5617.882,-4295.588,50000.000,-9353.176,-3503.706,50000.000,0
3701,-5393.764,-4811.059,50000.000,-8643.470,-4557.059,50000.000,0
3751,-4445.000,-2457.823,50000.000,-7575.176,-5348.941,50000.000,0
3801,-3309.470,-216.647,50000.000,-5102.412,-6551.706,50000.000,0
3851,-1643.529,52.294,50000.000,-4340.412,-8733.117,50000.000,0
3901,-664.882,-889.000,50000.000,-3272.117,-11108.764,50000.000,0
3951,-141.941,-2756.647,50000.000,-2876.176,-12408.646,50000.000,0
4001,-104.588,-3503.706,50000.000,-3085.353,-9876.117,50000.000,0
4051,-500.529,-709.706,50000.000,-1404.470,-8665.882,50000.000,0
4101,29.882,-3339.353,50000.000,-1441.823,-12699.999,50000.000,0
4151,1202.765,-10451.353,50000.000,-2868.706,-15404.352,50000.000,0
4201,1606.176,-11863.293,50000.000,-1800.412,-17854.705,50000.000,0
4251,1419.412,-10944.411,50000.000,-2300.941,-16151.411,50000.000,0
4301,1329.765,-11452.411,50000.000,-2061.882,-18467.293,50000.000,0
4351,1695.823,-11355.293,50000.000,-2913.529,-17511.059,50000.000,0
4401,1725.706,-10272.059,50000.000,-2203.823,-18893.117,50000.000,0
4451,1927.412,-7612.529,50000.000,-1688.353,-18078.822,50000.000,0
4501,1613.647,-6529.293,50000.000,-1053.353,-17600.705,50000.000,0
4551,829.235,-9263.528,50000.000,-2360.706,-12214.411,50000.000,0
4601,52.294,-9263.528,50000.000,-3817.470,-10294.470,50000.000,0
4651,-67.235,-7321.176,50000.000,-3585.882,-11362.764,50000.000,0
4701,-82.176,-2681.941,50000.000,-1919.941,-9756.588,50000.000,0
4751,179.294,-918.882,50000.000,-1030.941,-9861.176,50000.000,0
4801,1023.471,-3981.823,50000.000,-635.000,-10996.705,50000.000,0
4851,1568.823,-7687.235,50000.000,-1486.647,-11721.353,50000.000,0
4901,2368.176,-8725.646,50000.000,-1060.823,-15217.587,50000.000,0
4951,2943.412,-8135.470,50000.000,-1180.353,-15987.058,50000.000,0
5001,2554.941,-6245.411,50000.000,22.412,-12513.234,50000.000,0
5051,3130.176,-7948.706,50000.000,-224.118,-13514.293,50000.000,0
5101,1852.706,-10996.705,50000.000,-1792.941,-10473.764,50000.000,0
5151,373.529,-14425.705,50000.000,-4362.823,-8598.646,50000.000,0
5201,-74.706,-15411.822,50000.000,-6350.000,-10750.176,50000.000,0
5251,-351.118,-13962.528,50000.000,-5804.646,-12894.234,50000.000,0
5301,-552.823,-16270.940,50000.000,-7463.117,-12991.353,50000.000,0
5351,-1778.000,-13506.822,50000.000,-7911.353,-7739.529,50000.000,0
5401,-2629.647,-12483.353,50000.000,-7948.706,-7253.941,50000.000,0
5451,-1075.765,-11340.353,50000.000,-6783.293,-14672.234,50000.000,0
5501,134.471,-11332.882,50000.000,-6110.941,-18758.646,50000.000,0
5551,82.176,-10242.176,50000.000,-5595.470,-17525.998,50000.000,0
5601,463.176,-8703.234,50000.000,-3780.117,-18325.352,50000.000,0
5651,67.235,-6693.646,50000.000,-4220.882,-16823.764,50000.000,0
5701,373.529,-2719.294,50000.000,-1561.353,-15247.470,50000.000,0
5751,1284.941,-5886.823,50000.000,-1456.765,-15366.999,50000.000,0
5801,1404.470,-7366.000,50000.000,-2360.706,-16883.527,50000.000,0
5851,1389.529,-6140.823,50000.000,-1531.470,-19640.176,50000.000,0
5901,1486.647,-3294.529,50000.000,-1329.765,-18295.469,50000.000,0
5951,1815.353,-1860.176,50000.000,74.706,-16659.410,50000.000,0
6001,4616.823,-7014.882,50000.000,216.647,-18101.234,50000.000,0
6051,5311.588,-9644.528,50000.000,254.000,-20514.234,50000.000,0
6101,5012.764,-7933.764,50000.000,575.235,-15045.764,50000.000,0
6151,4265.706,-6992.470,50000.000,747.059,-13379.822,50000.000,0
6201,4982.882,-8695.764,50000.000,1098.176,-14844.058,50000.000,0
6251,4318.000,-10503.646,50000.000,306.294,-12035.117,50000.000,0
6301,4347.882,-9457.764,50000.000,657.412,-14380.882,50000.000,0
6351,4572.000,-6753.411,50000.000,1598.706,-11751.234,50000.000,0
6401,4161.117,-6043.706,50000.000,2046.941,-11654.117,50000.000,0
6451,3981.823,-6589.059,50000.000,978.647,-7171.764,50000.000,0
6501,2487.706,-6439.646,50000.000,657.412,-4489.823,50000.000,0
6551,2853.764,-6148.294,50000.000,664.882,-3242.235,50000.000,0
6601,1419.412,-2801.470,50000.000,321.235,-1456.765,50000.000,0
6651,395.941,1105.647,50000.000,1023.471,-530.412,50000.000,0
6701,224.118,3443.941,50000.000,1202.765,986.118,50000.000,0
6751,418.353,2868.706,50000.000,1553.882,1150.470,50000.000,0
6801,1135.529,463.176,50000.000,1225.176,-1038.412,50000.000,0
6851,1621.118,-1120.588,50000.000,455.706,-2749.176,50000.000,0
6901,1270.000,-635.000,50000.000,971.176,-1905.000,50000.000,0
6951,1090.706,620.059,50000.000,1314.823,-993.588,50000.000,0
7001,1001.059,1143.000,50000.000,1337.235,-620.059,50000.000,0
7051,1374.588,1165.412,50000.000,1531.470,-739.588,50000.000,0
7101,1546.412,582.706,50000.000,1546.412,-956.235,50000.000,0
7151,1449.294,74.706,50000.000,1352.176,-575.235,50000.000,0
7201,1098.176,-112.059,50000.000,1120.588,74.706,50000.000,0
7251,754.529,-37.353,50000.000,963.706,776.941,50000.000,0
7301,635.000,-209.176,50000.000,896.471,762.000,50000.000,0
7351,717.176,-298.824,50000.000,889.000,485.588,50000.000,0
7401,694.765,-306.294,50000.000,956.235,201.706,50000.000,0
7451,732.118,-37.353,50000.000,844.176,134.471,50000.000,0
7501,649.941,141.941,50000.000,814.294,-44.824,50000.000,0
7551,493.059,134.471,50000.000,582.706,-89.647,50000.000,0
7601,291.353,37.353,50000.000,336.176,-29.882,50000.000,0
7651,119.529,-119.529,50000.000,74.706,-14.941,50000.000,0
7701,-44.824,-224.118,50000.000,-186.765,-37.353,50000.000,0
7751,-89.647,-67.235,50000.000,-186.765,22.412,50000.000,0
7801,-74.706,-29.882,50000.000,-29.882,-22.412,50000.000,0
