timestamp[ms],left_dx[um],left_dy[um],left_dt[us],leftmin44leftmax,right_dx[um],right_dy[um],right_dt[us],rightmin,rightmax,waterPin
0,52.294,-119.529,50155.000,11.00,98.00,0.000,-104.588,50156.000,10.00,100.00,0
51,8598.646,-17563.352,50000.000,6.00,105.00,-403.412,-33602.703,50000.000,8.00,100.00,0
101,7851.588,-16726.646,50000.000,8.00,99.00,-313.765,-32616.586,50000.000,9.00,106.00,0
151,8479.117,-17690.352,50000.000,8.00,98.00,-313.765,-33841.762,50000.000,10.00,98.00,0
201,8449.234,-17376.588,50000.000,4.00,98.00,-478.118,-33079.762,50000.000,11.00,100.00,0
251,7709.646,-16278.411,50000.000,4.00,107.00,-642.471,-28545.115,50000.000,13.00,108.00,0
301,7268.882,-16069.234,50000.000,6.00,97.00,52.294,-29725.469,50000.000,11.00,112.00,0
351,7380.941,-15553.764,50000.000,4.00,100.00,-298.824,-31025.352,50000.000,10.00,110.00,0
401,6999.941,-14343.528,50000.000,7.00,115.00,-575.235,-32624.057,50000.000,7.00,109.00,0
451,6447.117,-13603.940,50000.000,4.00,98.00,-254.000,-32915.410,50000.000,10.00,97.00,0
501,6432.176,-12841.940,50000.000,5.00,102.00,-522.941,-32706.232,50000.000,8.00,100.00,0
551,7074.646,-13753.352,50000.000,5.00,99.00,-605.118,-33400.996,50000.000,8.00,104.00,0
601,6663.764,-13364.882,50000.000,6.00,106.00,-358.588,-33430.879,50000.000,9.00,102.00,0
651,6678.706,-13775.764,50000.000,3.00,95.00,-351.118,-33460.762,50000.000,7.00,93.00,0
701,7388.411,-14082.058,50000.000,4.00,101.00,-134.471,-33796.938,50000.000,8.00,101.00,0
751,6775.823,-13372.352,50000.000,4.00,100.00,194.235,-31862.057,50000.000,11.00,104.00,0
801,6731.000,-13551.646,50000.000,8.00,101.00,642.471,-30061.645,50000.000,9.00,97.00,0
851,6364.941,-13066.058,50000.000,6.00,104.00,134.471,-29187.586,50000.000,10.00,100.00,0
901,6955.117,-14082.058,50000.000,8.00,111.00,-209.176,-29650.764,50000.000,8.00,108.00,0
951,7664.823,-14851.528,50000.000,15.00,111.00,373.529,-31301.762,50000.000,8.00,94.00,0
1001,8471.646,-16128.999,50000.000,5.00,100.00,-29.882,-32138.469,50000.000,11.00,115.00,0
1051,7911.353,-15344.587,50000.000,8.00,100.00,22.412,-31809.762,50000.000,7.00,98.00,0
1101,7351.058,-14679.705,50000.000,12.00,109.00,321.235,-31876.998,50000.000,12.00,112.00,0
1151,7761.940,-15187.705,50000.000,5.00,94.00,-164.353,-32332.703,50000.000,10.00,106.00,0
1201,7679.764,-14724.528,50000.000,3.00,106.00,-366.059,-31727.586,50000.000,11.00,111.00,0
1251,7649.882,-14492.940,50000.000,4.00,103.00,7.471,-29852.469,50000.000,8.00,98.00,0
1301,7201.646,-13775.764,50000.000,4.00,106.00,127.000,-29583.527,50000.000,11.00,112.00,0
1351,6932.706,-13252.822,50000.000,4.00,100.00,-127.000,-29419.174,50000.000,9.00,97.00,0
1401,6155.764,-11288.058,50000.000,4.00,106.00,-14.941,-30674.232,50000.000,11.00,110.00,0
1451,5453.529,-10496.176,50000.000,6.00,106.00,-97.118,-31100.057,50000.000,10.00,95.00,0
1501,5931.646,-10660.528,50000.000,4.00,107.00,-246.529,-31122.469,50000.000,9.00,101.00,0
1551,5416.176,-10189.882,50000.000,5.00,106.00,-112.059,-32048.822,50000.000,10.00,112.00,0
1601,5498.353,-10690.411,50000.000,2.00,107.00,-112.059,-31959.174,50000.000,7.00,104.00,0
1651,6357.470,-11669.058,50000.000,4.00,109.00,-112.059,-31899.410,50000.000,9.00,109.00,0
1701,6148.294,-11048.999,50000.000,4.00,97.00,-186.765,-32153.410,50000.000,7.00,102.00,0
1751,6566.646,-11355.293,50000.000,6.00,107.00,82.176,-31563.232,50000.000,9.00,96.00,0
1801,5707.529,-10496.176,50000.000,6.00,107.00,493.059,-29688.115,50000.000,10.00,106.00,0
1851,5602.941,-10115.176,50000.000,5.00,103.00,874.059,-30188.645,50000.000,11.00,102.00,0
1901,6013.823,-10809.940,50000.000,5.00,99.00,224.118,-27760.703,50000.000,12.00,101.00,0
1951,6858.000,-12035.117,50000.000,10.00,100.00,336.176,-28701.998,50000.000,9.00,100.00,0
2001,7515.411,-12894.234,50000.000,16.00,102.00,268.941,-30547.232,50000.000,8.00,98.00,0
2051,7575.176,-12841.940,50000.000,5.00,108.00,-7.471,-31055.232,50000.000,8.00,97.00,0
2101,6955.117,-12132.234,50000.000,7.00,108.00,171.824,-30270.822,50000.000,13.00,106.00,0
2151,6917.764,-12139.705,50000.000,10.00,108.00,268.941,-30875.939,50000.000,8.00,102.00,0
2201,7395.882,-12393.705,50000.000,5.00,105.00,22.412,-31002.939,50000.000,7.00,99.00,0
2251,7156.823,-12012.705,50000.000,6.00,108.00,-44.824,-29971.998,50000.000,9.00,110.00,0
2301,6641.353,-11616.764,50000.000,5.00,98.00,119.529,-29008.293,50000.000,10.00,102.00,0
2351,6521.823,-11422.528,50000.000,5.00,106.00,313.765,-28134.232,50000.000,8.00,105.00,0
2401,6843.059,-11803.528,50000.000,4.00,99.00,29.882,-28447.998,50000.000,8.00,106.00,0
2451,6663.764,-11482.293,50000.000,6.00,106.00,119.529,-28261.232,50000.000,7.00,97.00,0
2501,6260.353,-10242.176,50000.000,6.00,101.00,201.706,-29456.527,50000.000,10.00,106.00,0
2551,5834.529,-9457.764,50000.000,6.00,103.00,119.529,-29449.057,50000.000,12.00,110.00,0
2601,6140.823,-9696.823,50000.000,3.00,105.00,254.000,-29830.057,50000.000,12.00,105.00,0
2651,5804.646,-9353.176,50000.000,4.00,102.00,373.529,-30427.703,50000.000,9.00,106.00,0
2701,5266.764,-8815.294,50000.000,5.00,98.00,343.647,-30472.527,50000.000,7.00,95.00,0
2751,6178.176,-10047.940,50000.000,6.00,109.00,388.471,-30524.822,50000.000,10.00,98.00,0
2801,6096.000,-9442.823,50000.000,5.00,105.00,291.353,-30420.232,50000.000,8.00,100.00,0
2851,6088.529,-9024.470,50000.000,3.00,105.00,418.353,-30024.293,50000.000,9.00,106.00,0
