timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
600000826,-22.412,0.000,50157.000,-37.353,-37.353,50155.000
50717,-8464.176,-1464.235,50000.000,-6701.117,-8172.823,50000.000
100790,-9166.411,-1411.941,50000.000,-8247.529,-10032.999,50000.000
150802,-10189.882,-1001.059,50000.000,-8359.588,-9801.411,49999.000
200807,-7597.588,2278.529,50000.000,-8277.411,-7037.293,50001.000
250809,-7470.588,1680.882,50000.000,-8292.353,-7478.058,50000.000
300786,-10533.528,-3742.764,50000.000,-6768.353,-10458.823,49999.000
350826,-8374.529,-4392.706,50000.000,-6865.470,-5901.764,50001.000
400807,-3630.706,-3899.647,50000.000,-4549.588,1456.765,49999.000
450803,-3869.764,-4803.588,50000.000,-4280.647,-844.176,50000.000
500784,-6066.117,-7373.470,50000.000,-3496.235,-8352.117,50000.000
550795,-8090.646,-6447.117,50000.000,-5677.646,-11803.528,50001.000
600815,-8411.882,-2039.470,50000.000,-7478.058,-10929.470,50000.000
650791,-7410.823,2203.823,50000.000,-7948.706,-9793.940,50000.000
700787,-8299.823,-313.765,50000.000,-7575.176,-10697.882,50000.000
750789,-6835.588,-4833.470,50000.000,-4833.470,-7276.353,49999.000
800811,-1270.000,-2973.294,50000.000,-2562.412,201.706,50000.000
850776,-918.882,-4564.529,50000.000,-732.118,2652.059,50000.000
900773,-1845.235,-5782.235,50000.000,-254.000,-2495.176,50001.000
950804,-2173.941,-3847.353,50000.000,-836.706,-7164.293,49999.000
1000802,-1217.706,276.412,50000.000,-3772.647,-7664.823,50000.000
1050781,-3152.588,2151.529,50000.000,-5334.000,-6402.293,50000.000
1100793,-3765.176,2323.353,50000.000,-4654.176,-4557.059,50001.000
1150806,-4049.059,-1397.000,50000.000,-4108.823,-6043.706,50000.000
1200780,-4400.176,-3130.176,50000.000,-2659.529,-10115.176,49999.000
1250815,-3107.764,410.882,50000.000,-5640.294,-11011.646,50000.000
1300786,-5752.353,963.706,50000.000,-7470.588,-8643.470,50000.000
1350776,-6379.882,-1822.823,50000.000,-5707.529,-3668.059,50000.000
1400787,-3511.176,-2719.294,50000.000,-5326.529,-1479.176,50001.000
1450811,-5640.294,-5827.059,50000.000,-4661.647,-7440.706,49999.000
1500800,-6178.176,-4997.823,50000.000,-4347.882,-11923.058,50000.000
1550797,-4885.764,-89.647,50000.000,-7313.706,-7321.176,50000.000
1600780,-6551.706,3907.117,50000.000,-9106.646,-4131.235,50000.000
1650786,-8434.294,597.647,50000.000,-7859.058,-7657.353,50001.000
1700801,-8008.470,-2024.529,50000.000,-7112.000,-9778.999,49999.000
1750804,-7821.706,-3070.412,50000.000,-7164.293,-5214.470,50000.000
1800785,-4377.765,-2525.059,50000.000,-5685.117,3645.647,50000.000
1850787,-3070.412,-2106.706,50000.000,-5169.646,4049.059,50001.000
1900792,-5849.470,-1763.059,50000.000,-5289.176,-918.882,50000.000
1950787,-7388.411,-171.824,50000.000,-7268.882,-4243.294,50000.000
2000785,-8718.176,2711.823,50000.000,-8867.588,-6178.176,49999.000
2050813,-9450.294,2831.353,50000.000,-9024.470,-7179.235,50000.000
2100782,-9076.764,3309.470,50000.000,-9188.823,-6312.646,50001.000
2150805,-9315.823,4071.470,50000.000,-9913.470,-6066.117,50000.000
2200788,-10055.411,5027.706,50000.000,-10839.823,-5289.176,50000.000
2250797,-10018.059,4833.470,50000.000,-12169.588,-5393.764,49999.000
2300817,-11295.528,4355.353,50000.000,-12356.353,-5207.000,50000.000
2350800,-11855.822,2256.117,50000.000,-12490.822,-5236.882,50001.000
2400821,-12558.058,2181.412,50000.000,-12849.411,-5797.176,50000.000
2450802,-12909.176,1673.412,50000.000,-13596.470,-7321.176,50000.000
2500795,-11952.940,1090.706,50000.000,-14537.764,-6648.823,49999.000
2550817,-10473.764,799.353,50000.000,-15501.470,-5289.176,50001.000
