timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
0,0.000,0.000,50157.000,0.000,0.000,50154.000
50544,0.000,0.000,50000.000,0.000,0.000,50000.000
100487,0.000,0.000,50000.000,0.000,0.000,50000.000
150488,0.000,0.000,50000.000,0.000,0.000,50000.000
200488,0.000,0.000,50000.000,0.000,0.000,50000.000
250488,0.000,0.000,50000.000,0.000,0.000,50000.000
300488,0.000,0.000,50000.000,0.000,0.000,50000.000
350488,0.000,0.000,50000.000,0.000,0.000,50000.000
400488,0.000,0.000,50000.000,0.000,0.000,50000.000
450488,0.000,0.000,50000.000,0.000,0.000,50000.000
500488,0.000,0.000,50000.000,0.000,0.000,50000.000
550488,0.000,0.000,50000.000,0.000,0.000,50000.000
600488,0.000,0.000,50000.000,0.000,0.000,50000.000
650488,0.000,0.000,50000.000,0.000,0.000,50000.000
700488,0.000,0.000,50000.000,0.000,0.000,50000.000
750488,0.000,0.000,50000.000,0.000,0.000,50000.000
800488,0.000,0.000,50000.000,0.000,0.000,50000.000
850488,0.000,0.000,50000.000,0.000,0.000,50000.000
900488,0.000,0.000,50000.000,0.000,0.000,50000.000
950488,0.000,0.000,50000.000,0.000,0.000,50000.000
1000488,0.000,0.000,50000.000,0.000,0.000,50000.000
1050489,0.000,0.000,50000.000,0.000,0.000,50000.000
1100489,0.000,0.000,50000.000,0.000,0.000,50000.000
1150489,0.000,0.000,50000.000,0.000,0.000,50000.000
1200489,0.000,0.000,50000.000,0.000,0.000,50000.000
1250489,0.000,0.000,50000.000,0.000,0.000,50000.000
1300489,0.000,0.000,50000.000,0.000,0.000,50000.000
1350489,0.000,0.000,50000.000,0.000,0.000,50000.000
1400489,0.000,0.000,50000.000,0.000,0.000,50000.000
1450489,0.000,0.000,50000.000,0.000,0.000,50000.000
1500489,0.000,0.000,50000.000,0.000,0.000,50000.000
1550489,0.000,0.000,50000.000,0.000,0.000,50000.000
1600489,0.000,0.000,50000.000,0.000,0.000,50000.000
1650489,0.000,0.000,50000.000,0.000,0.000,50000.000
1700489,0.000,0.000,50000.000,0.000,0.000,50000.000
1750489,0.000,0.000,50000.000,0.000,0.000,50000.000
1800489,0.000,0.000,50000.000,0.000,0.000,50000.000
1850489,0.000,0.000,50000.000,0.000,0.000,50000.000
1900489,0.000,0.000,50000.000,0.000,0.000,50000.000
1950489,0.000,0.000,50000.000,0.000,0.000,50000.000
2000489,0.000,0.000,50000.000,0.000,0.000,50000.000
2050489,0.000,0.000,50000.000,0.000,0.000,50000.000
2100489,0.000,0.000,50000.000,0.000,0.000,50000.000
2150489,0.000,0.000,50000.000,0.000,0.000,50000.000
2200489,0.000,0.000,50000.000,0.000,0.000,50000.000
