timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
0,,,50156.000,,,50156.000
50462,,,50000.000,,,50000.000
100409,,,50000.000,,,50000.000
150410,,,50000.000,,,50000.000
200410,,,50000.000,,,50000.000
250410,,,50000.000,,,50000.000
300410,,,50000.000,,,50000.000
350411,,,50000.000,,,50000.000
400411,,,50000.000,,,50000.000
450411,,,50000.000,,,50000.000
500411,,,50000.000,,,50000.000
550410,,,50000.000,,,50000.000
600411,,,50000.000,,,50000.000
650411,,,50000.000,,,50000.000
700411,,,50000.000,,,50000.000
750411,,,50000.000,,,50000.000
800410,,,50000.000,,,50000.000
850411,,,50000.000,,,50000.000
900411,,,50000.000,,,50000.000
950411,,,50000.000,,,50000.000
1000411,,,50000.000,,,50000.000
1050411,,,50000.000,,,50000.000
1100411,,,50000.000,,,50000.000
1150411,,,50000.000,,,50000.000
1200411,,,50000.000,,,50000.000
1250411,,,50000.000,,,50000.000
1300411,,,50000.000,,,50000.000
1350411,,,50000.000,,,50000.000
1400411,,,50000.000,,,50000.000
1450411,,,50000.000,,,50000.000
1500411,,,50000.000,,,50000.000
1550411,,,50000.000,,,50000.000
1600411,,,50000.000,,,50000.000
1650411,,,50000.000,,,50000.000
1700411,,,50000.000,,,50000.000
1750411,,,50000.000,,,50000.000
1800411,,,50000.000,,,50000.000
1850411,,,50000.000,,,50000.000
1900411,,,50000.000,,,50000.000
1950411,,,50000.000,,,50000.000
2000411,,,50000.000,,,50000.000
2050411,,,50000.000,,,50000.000
2100411,,,50000.000,,,50000.000
2150411,,,50000.000,,,50000.000
2200411,,,50000.000,,,50000.000
2250411,,,50000.000,,,50000.000
2300411,,,50000.000,,,50000.000
2350411,,,50000.000,,,50000.000
2400411,,,50000.000,,,50000.000
2450411,,,50000.000,,,50000.000
2500411,,,50000.000,,,50000.000
2550411,,,50000.000,,,50000.000
2600411,,,50000.000,,,50000.000
2650411,,,50000.000,,,50000.000
2700411,,,50000.000,,,50000.000
2750411,,,50000.000,,,50000.000
2800411,,,50000.000,,,50000.000
2850411,,,50000.000,,,50000.000
2900411,,,50000.000,,,50000.000
2950411,,,50000.000,,,50000.000
3000411,,,50000.000,,,50000.000
3050411,,,50000.000,,,50000.000
3100411,,,50000.000,,,50000.000
3150411,,,50000.000,,,50000.000
3200411,,,50000.000,,,50000.000
3250411,,,50000.000,,,50000.000
3300411,,,50000.000,,,50000.000
3350411,,,50000.000,,,50000.000
3400411,,,50000.000,,,50000.000
3450411,,,50000.000,,,50000.000
3500411,,,50000.000,,,50000.000
3550411,,,50000.000,,,50000.000
3600411,,,50000.000,,,50000.000
3650411,,,50000.000,,,50000.000
3700411,,,50000.000,,,50000.000
3750411,,,50000.000,,,50000.000
3800411,,,50000.000,,,50000.000
3850411,,,50000.000,,,50000.000
3900411,,,50000.000,,,50000.000
3950411,,,50000.000,,,50000.000
4000411,,,50000.000,,,50000.000
4050411,,,50000.000,,,50000.000
4100411,,,50000.000,,,50000.000
4150411,,,50000.000,,,50000.000
4200411,,,50000.000,,,50000.000
4250411,,,50000.000,,,50000.000
4300411,,,50000.000,,,50000.000
4350411,,,50000.000,,,50000.000
4400411,,,50000.000,,,50000.000
4450411,,,50000.000,,,50000.000
4500411,,,50000.000,,,50000.000
4550411,,,50000.000,,,50000.000
4600411,,,50000.000,,,50000.000
4650411,,,50000.000,,,50000.000
4700411,,,50000.000,,,50000.000
4750411,,,50000.000,,,50000.000
4800411,,,50000.000,,,50000.000
4850411,,,50000.000,,,50000.000
4900411,,,50000.000,,,50000.000
4950411,,,50000.000,,,50000.000
5000411,,,50000.000,,,50000.000
5050411,,,50000.000,,,50000.000
5100411,,,50000.000,,,50000.000
5150411,,,50000.000,,,50000.000
5200411,,,50000.000,,,50000.000
5250411,,,50000.000,,,50000.000
5300411,,,50000.000,,,50000.000
5350411,,,50000.000,,,50000.000
5400411,,,50000.000,,,50000.000
5450411,,,50000.000,,,50000.000
5500411,,,50000.000,,,50000.000
5550411,,,50000.000,,,50000.000
5600411,,,50000.000,,,50000.000
5650411,,,50000.000,,,50000.000
5700411,,,50000.000,,,50000.000
5750411,,,50000.000,,,50000.000
5800411,,,50000.000,,,50000.000
5850411,,,50000.000,,,50000.000
5900411,,,50000.000,,,50000.000
5950411,,,50000.000,,,50000.000
6000411,,,50000.000,,,50000.000
6050411,,,50000.000,,,50000.000
6100411,,,50000.000,,,50000.000
6150411,,,50000.000,,,50000.000
6200411,,,50000.000,,,50000.000
6250411,,,50000.000,,,50000.000
6300411,,,50000.000,,,50000.000
6350411,,,50000.000,,,50000.000
6400411,,,50000.000,,,50000.000
6450411,,,50000.000,,,50000.000
6500411,,,50000.000,,,50000.000
6550411,,,50000.000,,,50000.000
6600412,,,50000.000,,,50001.000
6650430,,,50001.000,,,50000.000
6700430,,,50000.000,,,50000.000
6750412,,,50000.000,,,50001.000
6800430,,,50000.000,,,50000.000
6850413,,,50000.000,,,50000.000
6900413,,,50000.000,,,50000.000
6950413,,,50000.000,,,50000.000
7000413,,,50000.000,,,50000.000
7050413,,,50000.000,,,50000.000
7100413,,,50000.000,,,50000.000
7150413,,,50000.000,,,49999.000
7200436,,,49999.000,,,50001.000
7250452,,,50000.000,,,50000.000
7300413,,,50000.000,,,50000.000
7350413,,,50000.000,,,50000.000
7400413,,,50000.000,,,50000.000
7450413,,,50000.000,,,50000.000
7500413,,,50000.000,,,50000.000
7550413,,,50000.000,,,50000.000
7600413,,,50000.000,,,50000.000
7650413,,,50000.000,,,50000.000
7700413,,,50000.000,,,50000.000
7750413,,,50000.000,,,50000.000
7800413,,,50000.000,,,50000.000
7850413,,,50000.000,,,50000.000
7900413,,,50000.000,,,50000.000
7950413,,,50000.000,,,50000.000
8000413,,,50000.000,,,50000.000
8050413,,,50000.000,,,50000.000
8100413,,,50000.000,,,50000.000
8150413,,,50000.000,,,50000.000
8200413,,,50000.000,,,50000.000
8250413,,,50000.000,,,50000.000
8300413,,,50000.000,,,50000.000
8350413,,,50000.000,,,50000.000
8400413,,,50000.000,,,50000.000
8450413,,,50000.000,,,50000.000
8500413,,,50000.000,,,50000.000
8550413,,,50000.000,,,50000.000
8600413,,,50000.000,,,50000.000
8650413,,,50000.000,,,50000.000
8700413,,,50000.000,,,50000.000
8750413,,,50000.000,,,50000.000
8800413,,,50000.000,,,50000.000
8850413,,,50000.000,,,50000.000
8900413,,,50000.000,,,50000.000
8950413,,,50000.000,,,50000.000
9000413,,,50000.000,,,50000.000
9050413,,,50000.000,,,50000.000
9100413,,,50000.000,,,50000.000
9150413,,,50000.000,,,50000.000
9200413,,,50000.000,,,50000.000
9250413,,,50000.000,,,50000.000
9300413,,,50000.000,,,50000.000
9350413,,,50000.000,,,50000.000
9400413,,,50000.000,,,50000.000
9450413,,,50000.000,,,50000.000
9500413,,,50000.000,,,50000.000
9550413,,,50000.000,,,50000.000
9600413,,,50000.000,,,50000.000
9650413,,,50000.000,,,50000.000
9700413,,,50000.000,,,50000.000
9750413,,,50000.000,,,50000.000
9800413,,,50000.000,,,50000.000
9850413,,,50000.000,,,50000.000
9900413,,,50000.000,,,50000.000
9950413,,,50000.000,,,50000.000
10000413,,,50000.000,,,50000.000
10050416,,,50000.000,,,50000.000
10100416,,,50000.000,,,50000.000
10150416,,,50000.000,,,50000.000
10200416,,,50000.000,,,50000.000
10250416,,,50000.000,,,50000.000
10300416,,,50000.000,,,50000.000
10350416,,,50000.000,,,50000.000
10400416,,,50000.000,,,50000.000
10450416,,,50000.000,,,50000.000
10500416,,,50000.000,,,50000.000
10550416,,,50000.000,,,50000.000
10600416,,,50000.000,,,50000.000
10650416,,,50000.000,,,50000.000
10700416,,,50000.000,,,50000.000
10750416,,,50000.000,,,50000.000
10800416,,,50000.000,,,50000.000
10850416,,,50000.000,,,50000.000
10900416,,,50000.000,,,50000.000
10950416,,,50000.000,,,50000.000
