timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],t=0.0510319995
2,0.000,0.000,549821.000,-1.992,-1.992,548584.000,t=0.1011399984
549094,0.000,0.000,656.000,-1.992,-1.992,1380.000,t=0.1512520074
550440,0.000,0.000,49466.000,-1.992,-1.992,48743.000,t=0.2013639926
599193,0.000,0.000,50129.000,-1.992,-1.992,50128.000,t=0.2514840126
649313,0.000,0.000,50126.000,-1.992,-1.992,50126.000,t=0.3016040086
699448,0.000,0.000,50134.000,-1.992,-1.992,50134.000,t=0.3517160177
749581,0.000,0.000,632.000,-1.992,-1.992,1380.000,t=0.4018320083
750947,0.000,0.000,49501.000,-1.992,-1.992,48754.000,t=0.4519520282
799714,0.000,0.000,50129.000,-1.992,-1.992,50129.000,t=0.5020719528
849835,0.000,0.000,50130.000,-1.992,-1.992,50129.000,t=0.5521919727
899971,0.000,0.000,630.000,-1.992,-1.992,1382.000,t=0.6023120403
901343,0.000,0.000,49505.000,-1.992,-1.992,48753.000,t=0.6524239540
950106,0.000,0.000,50134.000,-1.992,-1.992,50134.000,t=0.7025439739
1000242,0.000,0.000,50134.000,-1.992,-1.992,50134.000,t=0.7526599884
1050377,0.000,0.000,50134.000,-1.992,-1.992,50136.000,t=0.8027640342
1100509,0.000,0.000,50128.000,-1.992,-1.992,50126.000,t=0.8528719902
1150635,0.000,0.000,50134.000,-1.992,-1.992,50135.000,t=0.9029759407
1200773,0.000,0.000,50130.000,-1.992,-1.992,50129.000,t=0.9530839920
1250898,0.000,0.000,50122.000,-1.992,-1.992,50124.000,t=1.0031960010
1301022,0.000,0.000,631.000,-1.992,-1.992,1379.000,t=1.0533159971
1302388,0.000,0.000,49489.000,-1.992,-1.992,48739.000,t=1.1034359931
1351146,0.000,0.000,50121.000,-1.992,-1.992,50121.000,t=1.1535480022
1401258,0.000,0.000,625.000,-1.992,-1.992,1379.000,t=1.2036679983
1402613,0.000,0.000,49497.000,-1.992,-1.992,48743.000,t=1.2537879943
1451393,0.000,0.000,638.000,-1.992,-1.992,1379.000,t=1.3039000034
1452751,0.000,0.000,49489.000,-1.992,-1.992,48751.000,t=1.3540120124
1501515,0.000,0.000,50131.000,-1.992,-1.992,50129.000,t=1.4041279792
1551640,0.000,0.000,50137.000,-1.992,-1.992,50136.000,t=1.4542399406
1601774,0.000,0.000,50128.000,-1.992,-1.992,50128.000,t=1.5043560028
1651905,0.000,0.000,50133.000,-1.992,-1.992,50134.000,t=1.5544719696
1702041,0.000,0.000,630.000,-1.992,-1.992,1381.000,t=1.6045919418
1703410,0.000,0.000,49504.000,-1.992,-1.992,48752.000,t=1.6547000408
1752173,0.000,0.000,50129.000,-1.992,-1.992,50129.000,t=1.7048079967
1802299,0.000,0.000,50126.000,-1.992,-1.992,50126.000,t=1.7549200057
1852435,0.000,0.000,50130.000,-1.992,-1.992,50130.000,t=1.8050319671
1902563,0.000,0.000,50127.000,-1.992,-1.992,50128.000,t=1.8551399230
1952686,0.000,0.000,50130.000,-1.992,-1.992,50129.000,t=1.9052560806
2002816,0.000,0.000,629.000,-1.992,-1.992,1379.000,t=1.9553760528
2004179,0.000,0.000,49502.000,-1.992,-1.992,48752.000,t=2.0054960250
2052951,0.000,0.000,633.000,-1.992,-1.992,1379.000,t=2.0556120872
2054310,0.000,0.000,49500.000,-1.992,-1.992,48754.000,t=2.1057319641
2103081,0.000,0.000,50126.000,-1.992,-1.992,50126.000,t=2.1558520793
2153210,0.000,0.000,50120.000,-1.992,-1.992,50120.000,t=2.2059640884
2203330,0.000,0.000,633.000,-1.992,-1.992,1379.000,t=2.2560799121
2204688,0.000,0.000,49496.000,-1.992,-1.992,48750.000,t=2.3061959743
2253445,0.000,0.000,50127.000,-1.992,-1.992,50127.000,t=2.3563120365
2303585,0.000,0.000,633.000,-1.992,-1.992,1380.000,t=2.4064319133
2304951,0.000,0.000,49487.000,-1.992,-1.992,48740.000,t=2.4565401077
2353711,0.000,0.000,50131.000,-1.992,-1.992,50131.000,t=2.5066559314
2403831,0.000,0.000,50134.000,-1.992,-1.992,50134.000,t=2.5567679405
