timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
120000492,0.000,0.000,50160.000,0.000,22.412,50154.000
50591,29.882,-1509.059,50000.000,13454.528,-1030.941,50000.000
100774,97.118,-22.412,50000.000,-194.235,-74.706,50000.000
150742,149.412,-22.412,50000.000,-231.588,-209.176,50000.000
200757,127.000,-52.294,50000.000,-112.059,-119.529,50000.000
250758,29.882,-560.294,50000.000,-13596.470,-306.294,50000.000
300770,-889.000,-343.647,50000.000,1210.235,-52.294,50000.000
350762,343.647,-806.823,50000.000,276.412,-52.294,50000.000
400758,5573.059,-463.176,50000.000,246.529,-44.824,50000.000
450756,5849.470,5976.470,50000.000,971.176,-119.529,50000.000
500775,1464.235,1957.294,50000.000,418.353,283.882,50000.000
550770,97.118,194.235,50000.000,29.882,74.706,50000.000
600740,-283.882,216.647,50000.000,-134.471,-74.706,50000.000
650754,-5961.529,403.412,50000.000,-881.529,-74.706,50000.000
700758,156.882,164.353,50000.000,-500.529,-179.294,50000.000
750762,-22.412,119.529,50000.000,74.706,-29.882,50000.000
800743,-216.647,119.529,50000.000,7.471,-29.882,50000.000
850737,22.412,44.824,50000.000,141.941,22.412,50000.000
900738,29.882,44.824,50000.000,22.412,29.882,50000.000
950736,-104.588,-209.176,50000.000,89.647,156.882,50000.000
1000760,-844.176,-1568.823,50000.000,127.000,156.882,50000.000
1050774,-52.294,186.765,50000.000,179.294,134.471,50000.000
1100755,-164.353,246.529,50000.000,82.176,246.529,50000.000
1150751,836.706,1352.176,50000.000,-552.823,-141.941,50000.000
1200772,687.294,889.000,50000.000,-59.765,-231.588,50000.000
1250754,5737.411,-1501.588,50000.000,2853.764,358.588,50000.000
1300784,-5759.823,-127.000,50000.000,7.471,134.471,50000.000
1350741,104.588,1449.294,50000.000,246.529,52.294,50000.000
1400761,201.706,7.471,50000.000,52.294,37.353,50000.000
1450718,246.529,7.471,50000.000,14.941,37.353,50000.000
1500721,149.412,-59.765,50000.000,-14.941,-82.176,50000.000
1550750,97.118,-22.412,50000.000,-1486.647,-97.118,50000.000
1600748,515.471,-836.706,50000.000,-545.353,-59.765,50000.000
1650751,381.000,971.176,50000.000,-358.588,-59.765,50000.000
1700756,410.882,29.882,50000.000,-343.647,-44.824,50000.000
1750753,283.882,37.353,50000.000,-306.294,-29.882,50000.000
1800753,239.059,52.294,50000.000,-261.471,-22.412,50000.000
1850745,216.647,44.824,50000.000,-231.588,-7.471,50000.000
1900735,186.765,37.353,50000.000,-224.118,-29.882,50000.000
1950750,141.941,22.412,50000.000,-231.588,-22.412,50000.000
2000752,97.118,7.471,50000.000,-149.412,956.235,50000.000
2050730,67.235,7.471,50000.000,-13424.646,0.000,50000.000
2100679,37.353,0.000,50000.000,0.000,0.000,50000.000
2150552,7.471,0.000,50000.000,0.000,0.000,50000.000
2200533,0.000,0.000,50000.000,0.000,0.000,50000.000
2250491,0.000,0.000,50000.000,0.000,0.000,50000.000
2300491,0.000,0.000,50000.000,0.000,0.000,50000.000
2350491,0.000,0.000,50000.000,0.000,0.000,50000.000
2400491,0.000,0.000,50000.000,0.000,0.000,50000.000
2450491,0.000,0.000,50000.000,0.000,0.000,50000.000
2500491,0.000,0.000,50000.000,0.000,0.000,50000.000
2550491,0.000,0.000,50000.000,0.000,0.000,50000.000
2600491,0.000,0.000,50000.000,0.000,0.000,50000.000
2650491,0.000,0.000,50000.000,0.000,0.000,50000.000
2700491,0.000,0.000,50000.000,0.000,0.000,50000.000
2750491,0.000,0.000,50000.000,0.000,0.000,50000.000
2800491,0.000,0.000,50000.000,0.000,0.000,50000.000
2850491,0.000,0.000,50000.000,0.000,0.000,50000.000
2900491,0.000,0.000,50000.000,0.000,0.000,50000.000
2950491,0.000,0.000,50000.000,0.000,0.000,50000.000
3000491,0.000,0.000,50000.000,0.000,0.000,50000.000
3050491,0.000,0.000,50000.000,0.000,0.000,50000.000
3100491,0.000,0.000,50000.000,14.941,82.176,50000.000
3150618,0.000,-1441.823,50000.000,209.176,-89.647,50000.000
3200699,0.000,1434.353,50000.000,-7.471,29.882,50000.000
3250670,0.000,-1441.823,50000.000,-82.176,508.000,50000.000
3300696,0.000,-7.471,50000.000,-89.647,395.941,50000.000
3350663,0.000,-7.471,50000.000,67.235,-993.588,50000.000
3400669,0.000,1434.353,50000.000,209.176,-37.353,50000.000
3450693,13387.293,-1441.823,50000.000,866.588,-164.353,50000.000
