timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,-7651.875,0.000,50153.000,956.235,0.000,50153.000,0
51,0.000,0.000,50000.000,956.235,0.000,50000.000,0
101,0.000,0.000,50000.000,0.000,0.000,50000.000,0
151,0.000,31619.514,50000.000,5707.529,0.000,50000.000,0
201,-7651.875,-1529.976,50000.000,-7.471,-7.471,50000.000,0
251,-1.992,-7651.875,50000.000,0.000,0.000,50000.000,0
301,0.000,0.000,50000.000,-7.471,-7.471,50000.000,0
351,0.000,0.000,50000.000,-7.471,-7.471,50000.000,0
401,509.992,-33408.469,50000.000,-7.471,-7.471,50000.000,0
451,478.118,0.000,50000.000,0.000,0.000,50000.000,0
501,0.000,15809.757,50000.000,0.000,0.000,50000.000,0
551,0.000,48893.508,50000.000,-7.471,-7.471,50000.000,0
601,0.000,15809.757,50000.000,-7.471,-7.471,50000.000,0
651,-7651.875,-3059.953,50000.000,-7.471,-7.471,50000.000,0
701,-1.992,-7651.875,50000.000,0.000,0.000,50000.000,0
751,0.000,0.000,50000.000,0.000,0.000,50000.000,0
801,63754.996,63998.039,50000.000,-7.471,-7.471,50000.000,0
851,0.000,0.000,50000.000,0.000,0.000,50000.000,0
901,-7651.875,-3059.953,50000.000,-7.471,-7.471,50000.000,0
951,-1.992,-7651.875,50000.000,0.000,0.000,50000.000,0
1001,0.000,0.000,50000.000,0.000,0.000,50000.000,0
1051,63751.012,63998.039,50000.000,-7.471,-7.471,50000.000,0
1101,0.000,0.000,50000.000,0.000,0.000,50000.000,0
1151,-7651.875,-3059.953,50000.000,-7.471,-7.471,50000.000,0
1201,-1.992,-7141.882,50000.000,-7.471,-7.471,50000.000,0
1251,-1.992,-1.992,50000.000,-7.471,-7.471,50000.000,0
1301,0.000,0.000,50000.000,0.000,0.000,50000.000,0
1351,15809.757,-41215.734,50000.000,-7.471,-7.471,50000.000,0
1401,0.000,63998.039,50000.000,-7.471,-7.471,50000.000,0
1451,509.992,-256.988,50000.000,-7.471,-7.471,50000.000,0
1501,-7651.875,-509.992,50000.000,-7.471,-7.471,50000.000,0
1551,-1.992,478.118,50000.000,0.000,0.000,50000.000,0
1601,0.000,0.000,50000.000,-7.471,-7.471,50000.000,0
1651,-2577.851,-2569.882,50000.000,-7.471,-7.471,50000.000,0
1701,-1.992,-1.992,50000.000,-7.471,-7.471,50000.000,0
1751,-1.992,-1.992,50000.000,-7.471,-7.471,50000.000,0
1801,0.000,0.000,50000.000,0.000,0.000,50000.000,0
1851,-20863.859,-32338.682,50000.000,-7.471,-7.471,50000.000,0
1901,0.000,0.000,50000.000,0.000,0.000,50000.000,0
1951,0.000,-26983.766,50000.000,-7.471,-7.471,50000.000,0
2001,-2577.851,-27.890,50000.000,-7.471,-7.471,50000.000,0
2051,0.000,0.000,50000.000,0.000,0.000,50000.000,0
2101,-13747.875,-6683.686,50000.000,-7.471,-7.471,50000.000,0
2151,-27.890,-1.992,50000.000,-7.471,-7.471,50000.000,0
2201,-1.992,-1.992,50000.000,-7.471,-7.471,50000.000,0
2251,-1.992,-1.992,50000.000,-7.471,-7.471,50000.000,0
2301,-1.992,-1.992,50000.000,-7.471,-7.471,50000.000,0
2351,0.000,0.000,50000.000,0.000,0.000,50000.000,0
2401,5609.914,-6683.686,50000.000,0.000,0.000,50000.000,0
2451,-2577.851,-1.992,50000.000,-7.471,-7.471,50000.000,0
2501,-1.992,-1.992,50000.000,-7.471,-7.471,50000.000,0
2551,0.000,0.000,50000.000,0.000,0.000,50000.000,0
2601,0.000,-41215.734,50000.000,-7.471,-7.471,50000.000,0
2651,-2577.851,-3087.843,50000.000,0.000,0.000,50000.000,0
2701,0.000,0.000,50000.000,0.000,0.000,50000.000,0
2751,0.000,0.000,50000.000,0.000,0.000,50000.000,0
2801,0.000,48449.254,50000.000,-7.471,-7.471,50000.000,0
2851,-41215.734,-40960.738,50000.000,-7.471,-7.471,50000.000,0
2901,-1047.875,63998.039,50000.000,-7.471,-7.471,50000.000,0
2951,0.000,0.000,50000.000,0.000,0.000,50000.000,0
3001,-20863.859,-20481.365,50000.000,0.000,0.000,50000.000,0
3051,24413.883,41149.992,50000.000,-7.471,-7.471,50000.000,0
3101,-65.741,-40801.363,50000.000,0.000,0.000,50000.000,0
3151,0.000,0.000,50000.000,0.000,0.000,50000.000,0
3201,-20863.859,-10305.428,50000.000,0.000,0.000,50000.000,0
3251,-488.078,-1.992,50000.000,0.000,0.000,50000.000,0
3301,-32770.980,-1.992,50000.000,-7.471,-7.471,50000.000,0
3351,0.000,0.000,50000.000,0.000,0.000,50000.000,0
3401,0.000,509.992,50000.000,0.000,0.000,50000.000,0
3451,-2577.851,-2577.851,50000.000,0.000,0.000,50000.000,0
3501,0.000,0.000,50000.000,0.000,0.000,50000.000,0
3551,2549.961,-5101.914,50000.000,-7.471,-7.471,50000.000,0
3601,-2577.851,-1.992,50000.000,0.000,0.000,50000.000,0
3651,-1.992,-1.992,50000.000,-7.471,-7.471,50000.000,0
3701,-1.992,-1.992,50000.000,-7.471,-7.471,50000.000,0
3751,-1.992,-1.992,50000.000,-7.471,-7.471,50000.000,0
3801,-1.992,-1.992,50000.000,-7.471,-7.471,50000.000,0
3851,-1.992,-1.992,50000.000,-7.471,-7.471,50000.000,0
3901,0.000,0.000,50000.000,0.000,0.000,50000.000,0
3951,0.000,15809.757,50000.000,0.000,0.000,50000.000,0
4001,-2569.882,-2569.882,50000.000,-7.471,-7.471,50000.000,0
