timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,37.353,0.000,50158.000,37.353,-29.882,50156.000,0
51,10615.705,-3077.882,50000.000,7216.588,-5050.117,50000.000,0
101,10630.646,-5035.176,50000.000,9345.705,-4116.294,50000.000,0
151,10921.999,-5341.470,50000.000,10488.705,-3817.470,50000.000,0
201,11683.999,-3907.117,50000.000,9099.176,-6544.235,50000.000,0
251,12558.058,-612.588,50000.000,10690.411,-8352.117,50000.000,0
301,12513.234,2375.647,50000.000,11908.117,-7298.764,50000.000,0
351,12416.117,418.353,50000.000,11392.646,-7067.176,50000.000,0
401,10451.353,-2584.823,50000.000,8329.705,-6491.941,50000.000,0
451,10548.470,-4728.882,50000.000,6148.294,-3533.588,50000.000,0
501,10384.117,-4728.882,50000.000,4863.353,-1912.470,50000.000,0
551,10324.353,-4049.059,50000.000,7814.235,-4870.823,50000.000,0
601,11474.822,-2928.470,50000.000,5580.529,-3951.941,50000.000,0
651,12438.528,-836.706,50000.000,2525.059,-1524.000,50000.000,0
701,12864.353,724.647,50000.000,3578.412,-1792.941,50000.000,0
751,12864.353,-657.412,50000.000,5438.588,-3055.470,50000.000,0
801,12109.822,-3458.882,50000.000,4482.353,-2360.706,50000.000,0
851,10257.117,-3287.059,50000.000,9487.646,-2681.941,50000.000,0
901,11041.528,-2345.765,50000.000,9569.823,-1673.412,50000.000,0
951,12154.646,-1367.118,50000.000,4512.235,-1994.647,50000.000,0
1001,12259.234,-1016.000,50000.000,3683.000,-2465.294,50000.000,0
1051,12251.764,-29.882,50000.000,2286.000,-1397.000,50000.000,0
1101,11415.058,351.118,50000.000,3249.706,-2256.117,50000.000,0
1151,11056.470,-1098.176,50000.000,6940.176,-5595.470,50000.000,0
1201,10100.234,-3443.941,50000.000,3249.706,-2375.647,50000.000,0
1251,9532.470,-4198.470,50000.000,6305.176,-3010.647,50000.000,0
1301,8187.764,-2592.294,50000.000,8792.882,-3697.941,50000.000,0
1351,9995.646,-1299.882,50000.000,8822.764,-6529.293,50000.000,0
1401,11310.470,-649.941,50000.000,7560.235,-5744.882,50000.000,0
1451,10040.470,1621.118,50000.000,4669.117,-3018.117,50000.000,0
1501,10787.528,821.765,50000.000,7784.353,-5715.000,50000.000,0
1551,11220.823,-2898.588,50000.000,4684.059,-3914.588,50000.000,0
1601,9233.646,-4445.000,50000.000,2988.235,-2069.353,50000.000,0
1651,8576.234,-5319.059,50000.000,2689.412,-1546.412,50000.000,0
1701,9158.940,-5281.706,50000.000,2599.765,-2644.588,50000.000,0
1751,11220.823,-2786.529,50000.000,4452.470,-4318.000,50000.000,0
1801,11534.588,321.235,50000.000,7844.117,-4751.294,50000.000,0
1851,8845.176,1972.235,50000.000,5617.882,-2577.353,50000.000,0
1901,9293.411,-89.647,50000.000,1329.765,-769.471,50000.000,0
1951,8748.059,-2876.176,50000.000,3077.882,-1755.588,50000.000,0
2001,7739.529,-2891.117,50000.000,6133.353,-1822.823,50000.000,0
2051,8240.059,-1165.412,50000.000,7410.823,-276.412,50000.000,0
2101,7268.882,-1494.118,50000.000,7560.235,-874.059,50000.000,0
2151,7672.293,-3458.882,50000.000,5998.882,-1240.118,50000.000,0
2201,5423.646,-3533.588,50000.000,4108.823,515.471,50000.000,0
2251,4512.235,-3526.117,50000.000,4975.412,298.824,50000.000,0
2301,5954.059,-2129.117,50000.000,4205.941,-1247.588,50000.000,0
2351,6073.588,-612.588,50000.000,4728.882,-2622.176,50000.000,0
2401,5774.764,-1934.882,50000.000,3354.294,-2278.529,50000.000,0
2451,5244.353,-4908.176,50000.000,1344.706,-1972.235,50000.000,0
2501,3697.941,-6088.529,50000.000,1658.470,-3152.588,50000.000,0
2551,2779.059,-5199.529,50000.000,620.059,-597.647,50000.000,0
2601,1621.118,-2338.294,50000.000,851.647,358.588,50000.000,0
2651,1763.059,-2286.000,50000.000,1665.941,-702.235,50000.000,0
2701,2525.059,-2906.059,50000.000,1471.706,-4131.235,50000.000,0
2751,3533.588,-3272.117,50000.000,2293.470,-7149.353,50000.000,0
2801,4811.059,-2704.353,50000.000,2786.529,-7761.940,50000.000,0
2851,4474.882,-881.529,50000.000,3391.647,-8232.588,50000.000,0
2901,4572.000,-1852.706,50000.000,3869.764,-8105.588,50000.000,0
2951,4004.235,-2278.529,50000.000,2398.059,-3645.647,50000.000,0
3001,3914.588,-2950.882,50000.000,3249.706,-2764.117,50000.000,0
3051,4168.588,-3824.941,50000.000,3294.529,-3884.706,50000.000,0
3101,5886.823,-4205.941,50000.000,3406.588,-6589.059,50000.000,0
3151,4803.588,-1397.000,50000.000,5363.882,-7440.706,50000.000,0
3201,5124.823,2517.588,50000.000,6372.411,-4751.294,50000.000,0
3251,5453.529,3466.353,50000.000,6716.059,-3907.117,50000.000,0
3301,7821.706,-1232.647,50000.000,5969.000,-6850.529,50000.000,0
3351,6051.176,-4527.176,50000.000,3824.941,-6962.588,50000.000,0
3401,5363.882,-6364.941,50000.000,3242.235,-4833.470,50000.000,0
3451,4796.117,-6589.059,50000.000,1957.294,-2719.294,50000.000,0
3501,5371.353,-4325.470,50000.000,1583.765,-2599.765,50000.000,0
3551,6865.470,515.471,50000.000,3526.117,-3735.294,50000.000,0
3601,6611.470,3324.412,50000.000,3369.235,-2629.647,50000.000,0
3651,7993.529,1822.823,50000.000,1053.353,-866.588,50000.000,0
3701,8538.882,-1524.000,50000.000,1314.823,-1583.765,50000.000,0
3751,7874.000,-4131.235,50000.000,4370.294,-4474.882,50000.000,0
3801,6880.411,-5274.235,50000.000,2218.765,-1740.647,50000.000,0
3851,6260.353,-5685.117,50000.000,1479.176,-963.706,50000.000,0
3901,7164.293,-4796.117,50000.000,2151.529,-1837.765,50000.000,0
3951,8606.117,-1568.823,50000.000,4863.353,-3907.117,50000.000,0
4001,8725.646,1568.823,50000.000,5700.059,-3391.647,50000.000,0
4051,8979.646,3100.294,50000.000,6947.646,-4041.588,50000.000,0
4101,9076.764,657.412,50000.000,5281.706,-4564.529,50000.000,0
4151,8979.646,-1987.176,50000.000,3951.941,-3981.823,50000.000,0
4201,8292.353,-3892.176,50000.000,694.765,-642.471,50000.000,0
4251,7694.706,-4392.706,50000.000,1665.941,-1307.353,50000.000,0
4301,7672.293,-4654.176,50000.000,2681.941,-2554.941,50000.000,0
4351,8411.882,-3040.529,50000.000,1352.176,-1449.294,50000.000,0
4401,7276.353,776.941,50000.000,3765.176,-1778.000,50000.000,0
4451,6260.353,4721.412,50000.000,7836.646,-1165.412,50000.000,0
4501,6835.588,3003.176,50000.000,8606.117,-2853.764,50000.000,0
4551,8650.940,381.000,50000.000,7291.293,-4908.176,50000.000,0
4601,8837.705,1016.000,50000.000,4639.235,-2719.294,50000.000,0
4651,9069.294,903.941,50000.000,7082.117,-3578.412,50000.000,0
4701,8680.823,-97.118,50000.000,7403.353,-4019.176,50000.000,0
4751,7052.235,2263.588,50000.000,4863.353,-149.412,50000.000,0
4801,7089.588,4377.765,50000.000,8807.823,291.353,50000.000,0
4851,9584.764,5221.941,50000.000,10496.176,-2076.823,50000.000,0
4901,11400.117,4676.588,50000.000,11205.882,-3966.882,50000.000,0
4951,12094.882,4220.882,50000.000,10115.176,-3406.588,50000.000,0
5001,11788.588,4310.529,50000.000,7747.000,-1919.941,50000.000,0
5051,14149.293,3055.470,50000.000,11168.528,-2540.000,50000.000,0
5101,16763.998,455.706,50000.000,11579.411,-3563.470,50000.000,0
5151,15800.293,-388.471,50000.000,3316.941,-963.706,50000.000,0
5201,14171.705,-186.765,50000.000,9233.646,-74.706,50000.000,0
5251,12453.470,7.471,50000.000,9913.470,1561.353,50000.000,0
5301,10794.999,328.706,50000.000,7276.353,3473.823,50000.000,0
5351,8486.588,508.000,50000.000,10339.293,5311.588,50000.000,0
5401,7836.646,724.647,50000.000,7530.353,2398.059,50000.000,0
5451,6604.000,403.412,50000.000,6036.235,717.176,50000.000,0
5501,5072.529,239.059,50000.000,2278.529,89.647,50000.000,0
5551,2226.235,-7.471,50000.000,1098.176,104.588,50000.000,0
5601,545.353,-1426.882,50000.000,-74.706,-336.176,50000.000,0
5651,0.000,-4205.941,50000.000,-560.294,-978.647,50000.000,0
5701,-1090.706,-4616.823,50000.000,-2151.529,-1598.706,50000.000,0
5751,-2046.941,-4624.294,50000.000,-2689.412,-2084.294,50000.000,0
5801,-2002.118,-3974.353,50000.000,-3160.059,-2248.647,50000.000,0
5851,-2696.882,-2532.529,50000.000,-2726.764,-1718.235,50000.000,0
5901,-4071.470,-1740.647,50000.000,-5109.882,-1606.176,50000.000,0
5951,-5296.646,-3010.647,50000.000,-5192.059,-590.176,50000.000,0
6001,-5602.941,-3780.117,50000.000,-5475.941,-597.647,50000.000,0
6051,-5617.882,-1165.412,50000.000,-5602.941,-209.176,50000.000,0
6101,-4728.882,1710.765,50000.000,-3757.706,-127.000,50000.000,0
6151,-2151.529,2017.059,50000.000,-2465.294,-2054.412,50000.000,0
6201,-298.824,1949.823,50000.000,-567.765,-2749.176,50000.000,0
6251,216.647,1075.765,50000.000,-97.118,-2136.588,50000.000,0
6301,784.412,-216.647,50000.000,-7.471,-2420.470,50000.000,0
6351,1919.941,-2330.823,50000.000,590.176,-1882.588,50000.000,0
6401,3369.235,-5408.706,50000.000,1225.176,-2540.000,50000.000,0
6451,4362.823,-7993.529,50000.000,1187.823,-2398.059,50000.000,0
6501,4489.823,-7776.882,50000.000,1292.412,-2114.176,50000.000,0
6551,4138.706,-5886.823,50000.000,2106.706,-2487.706,50000.000,0
6601,5401.235,-3339.353,50000.000,2958.353,-3742.764,50000.000,0
6651,6970.059,-971.176,50000.000,4340.412,-4631.764,50000.000,0
6701,7253.941,-440.765,50000.000,4930.588,-5132.294,50000.000,0
6751,7358.529,-2816.412,50000.000,5655.235,-7089.588,50000.000,0
6801,5834.529,-4960.470,50000.000,3481.294,-3951.941,50000.000,0
