timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,0.000,0.000,50153.000,0.000,0.000,50153.000,0
51,-14.941,-29.882,50000.000,0.000,29.882,50000.000,0
101,14.941,-82.176,50000.000,0.000,-7.471,50000.000,0
151,29.882,37.353,50000.000,0.000,-29.882,50000.000,0
201,29.882,74.706,50000.000,22.412,-22.412,50000.000,0
251,0.000,0.000,50000.000,0.000,7.471,50002.000,0
301,-7.471,-119.529,50000.000,-44.824,37.353,50000.000,0
351,0.000,-29.882,50000.000,-22.412,-44.824,50000.000,0
401,-37.353,74.706,50000.000,7.471,0.000,50000.000,0
451,-164.353,-328.706,50000.000,-171.824,-29.882,50000.000,0
501,-74.706,-336.176,50000.000,-373.529,-156.882,50000.000,0
551,-246.529,313.765,50000.000,-74.706,44.824,50000.000,0
601,-358.588,395.941,50000.000,-67.235,97.118,50000.000,0
651,-156.882,-254.000,50000.000,-313.765,-112.059,50000.000,0
701,-164.353,-127.000,50000.000,-201.706,-97.118,50000.000,0
751,-306.294,156.882,50000.000,-52.294,74.706,50000.000,0
801,-134.471,-298.824,50000.000,-156.882,-37.353,50000.000,0
851,52.294,-463.176,50000.000,-283.882,-216.647,50000.000,0
901,-59.765,149.412,50000.000,22.412,82.176,50000.000,0
951,-104.588,388.471,50000.000,186.765,104.588,50000.000,0
1001,44.824,-104.588,50000.000,-67.235,-52.294,50000.000,0
1051,97.118,-127.000,50000.000,-37.353,-97.118,50000.000,0
1101,37.353,194.235,50000.000,186.765,74.706,50000.000,0
1151,7.471,-44.824,50000.000,59.765,59.765,50000.000,0
1201,127.000,-164.353,50000.000,-44.824,-209.176,50000.000,0
1251,74.706,104.588,50000.000,82.176,0.000,50000.000,0
1301,-82.176,112.059,50000.000,74.706,134.471,50000.000,0
1351,-22.412,-74.706,50000.000,-59.765,-7.471,50000.000,0
1401,-22.412,-29.882,50000.000,-119.529,-156.882,50000.000,0
1451,-171.824,67.235,50000.000,-97.118,52.294,50000.000,0
1501,-231.588,-14.941,50000.000,-171.824,74.706,50000.000,0
1551,-141.941,-141.941,50000.000,-239.059,-37.353,50000.000,0
1601,-156.882,-59.765,50000.000,-201.706,-37.353,50000.000,0
1651,-164.353,112.059,50000.000,-67.235,7.471,50000.000,0
1701,-127.000,14.941,50000.000,-52.294,14.941,50000.000,0
1751,-82.176,-127.000,50000.000,-67.235,7.471,50000.000,0
1801,-7.471,-59.765,50000.000,-14.941,0.000,50000.000,0
1851,14.941,59.765,50000.000,14.941,-7.471,50000.000,0
1901,82.176,74.706,50000.000,89.647,0.000,50000.000,0
1951,59.765,0.000,50000.000,82.176,37.353,50000.000,0
2001,141.941,-59.765,50000.000,52.294,7.471,50000.000,0
2051,194.235,52.294,50000.000,112.059,-44.824,50000.000,0
2101,179.294,141.941,50000.000,209.176,-7.471,50000.000,0
2151,82.176,0.000,50000.000,141.941,67.235,50000.000,0
2201,112.059,-112.059,50000.000,52.294,14.941,50000.000,0
2251,127.000,52.294,50000.000,74.706,-44.824,50000.000,0
2301,44.824,224.118,50000.000,89.647,-14.941,50000.000,0
2351,-246.529,112.059,50000.000,-67.235,0.000,50000.000,0
2401,-724.647,-268.941,50000.000,-717.176,0.000,50000.000,0
2451,-1972.235,-1016.000,50000.000,-1561.353,642.471,50000.000,0
2501,-2913.529,-1837.765,50000.000,-2816.412,306.294,50000.000,0
2551,-3481.294,-2173.941,50000.000,-3399.117,179.294,50000.000,0
2601,-4728.882,-3152.588,50002.000,-3772.647,732.118,50000.000,0
2651,-6947.646,-5864.411,49998.000,-6372.411,2263.588,49999.000,0
2701,-7993.529,-11556.999,50000.000,-9024.470,44.824,49999.000,0
2751,-8927.353,-16801.352,50000.000,-11078.882,-963.706,50000.000,0
2801,-10899.588,-15897.411,50000.000,-10070.353,1591.235,50000.000,0
2851,-13006.293,-13342.470,50000.000,-12550.587,5035.176,50000.000,0
2901,-14425.705,-10152.528,50000.000,-12729.882,3451.412,50000.000,0
2951,-16046.822,-9726.705,50000.000,-15441.705,508.000,50000.000,0
3001,-16958.234,-11101.293,50000.000,-17481.176,381.000,50000.000,0
3051,-17787.469,-12050.058,50000.000,-19162.057,-283.882,50000.000,0
3101,-18392.588,-10839.823,50000.000,-19423.527,537.882,50000.000,0
3151,-19976.352,-9958.293,50000.000,-20267.705,1337.235,50000.000,0
3201,-20125.764,-10212.293,50000.000,-21836.527,1270.000,50000.000,0
3251,-20663.646,-13611.411,50000.000,-25945.352,-1733.176,50000.000,0
3301,-21470.469,-15195.176,50000.000,-24794.881,-5042.646,50000.000,0
3351,-21037.176,-12662.646,50000.000,-22165.234,-6364.941,50000.000,0
3401,-20596.410,-11743.764,50000.000,-20954.998,-6028.764,50000.000,0
3451,-20962.469,-12520.705,50000.000,-21477.939,-3705.412,50000.000,0
3501,-21716.998,-13051.117,50000.000,-21903.764,-1882.588,50000.000,0
3551,-20992.352,-13028.705,50000.000,-22053.176,-4818.529,50000.000,0
3601,-19774.646,-12662.646,50000.000,-20992.352,-6514.353,50000.000,0
3651,-21186.586,-12177.058,50000.000,-19318.939,-5475.941,50000.000,0
3701,-24047.822,-14881.411,50000.000,-21380.822,-4512.235,50000.000,0
3751,-25385.057,-16704.234,50000.000,-25444.822,-2540.000,50000.000,0
3801,-27043.527,-16412.881,50000.000,-26423.469,-2420.470,50000.000,0
