timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
0,29.882,7.471,50156.000,22.412,7.471,50154.000
50734,10115.176,3518.647,50000.000,9315.823,4146.176,50000.000
100785,10361.705,3369.235,50000.000,9285.940,5072.529,50000.000
150787,9734.176,2465.294,50000.000,9173.882,6357.470,50000.000
200777,9995.646,1643.529,50000.000,8882.529,5199.529,50000.000
250789,9069.294,-97.118,50000.000,9778.999,1994.647,50000.000
300768,8591.176,-1546.412,50000.000,9861.176,-552.823,50000.000
350778,8314.764,-1576.294,50000.000,9472.705,478.118,50000.000
400776,8292.353,-866.588,50000.000,8919.882,2173.941,50000.000
450774,7201.646,410.882,50000.000,7156.823,1157.941,50000.000
500777,5565.588,1807.882,50000.000,5737.411,-963.706,50000.000
550775,4191.000,2173.941,50000.000,4489.823,-1890.059,50000.000
600773,2980.764,2114.176,50000.000,2973.294,-1703.294,50000.000
650780,1695.823,1987.176,50000.000,1725.706,-2002.118,50000.000
700778,485.588,956.235,50000.000,821.765,-2540.000,50000.000
750767,-410.882,112.059,50000.000,0.000,-2076.823,50000.000
800696,-2054.412,-239.059,50000.000,-1486.647,-4706.470,50000.000
850778,-4572.000,-1374.588,50000.000,-2749.176,-7067.176,50000.000
900793,-5109.882,-2764.117,50000.000,-3735.294,-5050.117,50000.000
950788,-4699.000,-1830.294,50000.000,-4512.235,-1314.823,50000.000
1000791,-5632.823,-97.118,50000.000,-6327.588,-590.176,50000.000
1050776,-7022.353,1150.470,50000.000,-7694.706,-1060.823,50000.000
1100781,-7358.529,1105.647,50000.000,-8501.529,-747.059,50000.000
1150778,-7276.353,776.941,50000.000,-8658.411,-14.941,50000.000
1200776,-7522.882,-141.941,50000.000,-8621.059,164.353,50000.000
1250777,-8337.176,-552.823,50000.000,-8718.176,-373.529,50000.000
1300784,-8352.117,-567.765,50000.000,-9218.705,-276.412,50000.000
1350780,-8404.411,-254.000,50000.000,-9480.176,-276.412,50000.000
1400776,-8501.529,141.941,50000.000,-10003.117,-194.235,50000.000
1450784,-8949.764,194.235,50000.000,-10025.528,-1105.647,50000.000
1500788,-9278.470,313.765,50000.000,-9891.059,-1561.353,50000.000
1550779,-8987.117,515.471,50000.000,-9861.176,-986.118,50000.000
1600772,-8613.588,313.765,50000.000,-9562.353,-545.353,50000.000
1650777,-8105.588,-194.235,50000.000,-9196.294,-515.471,50000.000
1700776,-8262.470,-74.706,50000.000,-8942.294,-530.412,50000.000
1750769,-7978.588,89.647,50000.000,-8762.999,-687.294,50000.000
1800776,-7709.646,127.000,50000.000,-8389.470,-694.765,50000.000
1850778,-7358.529,59.765,50000.000,-7829.176,-762.000,50000.000
1900764,-6910.293,-67.235,50000.000,-7395.882,-784.412,50000.000
1950774,-6447.117,22.412,50000.000,-7067.176,-627.529,50000.000
2000767,-5894.294,29.882,50000.000,-6559.176,-448.235,50000.000
2050773,-5468.470,-127.000,50000.000,-5939.117,-381.000,50000.000
2100777,-4280.647,-127.000,50000.000,-5475.941,-440.765,50000.000
2150769,-3810.000,-112.059,50000.000,-4990.353,-522.941,50000.000
2200773,-4078.941,-119.529,50000.000,-4549.588,-448.235,50000.000
2250777,-3615.764,-112.059,50000.000,-3854.823,-351.118,50000.000
2300779,-3077.882,-97.118,50000.000,-3324.412,-351.118,50000.000
2350771,-2114.176,-29.882,50000.000,-2831.353,-425.823,50000.000
2400779,-1509.059,0.000,50000.000,-2271.059,-351.118,50000.000
2450696,-1509.059,-59.765,50000.000,-1621.118,-171.824,50000.000
2500766,-993.588,-67.235,50000.000,-1038.412,-97.118,50000.000
