timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
0,0.000,0.000,50156.000,0.000,0.000,50156.000
50539,769.471,-59.765,50000.000,971.176,29.882,50000.000
100747,776.941,22.412,50000.000,889.000,59.765,50000.000
150740,799.353,89.647,50000.000,769.471,14.941,50000.000
200747,403.412,-14.941,50000.000,866.588,7.471,50000.000
250730,649.941,-97.118,50000.000,829.235,7.471,49998.000
300758,694.765,-89.647,50000.000,754.529,52.294,50000.000
350754,552.823,0.000,50000.000,649.941,29.882,50000.000
400692,470.647,82.176,50000.000,522.941,74.706,50000.000
450747,463.176,82.176,50000.000,470.647,52.294,50000.000
500752,336.176,-82.176,50000.000,500.529,-59.765,50000.000
550751,366.059,-97.118,50000.000,440.765,29.882,50000.000
600741,328.706,0.000,50000.000,321.235,291.353,50000.000
650688,336.176,29.882,50000.000,231.588,732.118,50000.000
700756,440.765,52.294,50000.000,171.824,2173.941,50000.000
750751,395.941,7.471,50000.000,-179.294,2084.294,50000.000
800736,-844.176,74.706,50000.000,-702.235,-112.059,50000.000
850753,-1157.941,620.059,50000.000,-1322.294,-986.118,50000.000
900769,-926.353,896.471,50000.000,-1576.294,-67.235,50000.000
950763,-724.647,381.000,50000.000,-1068.294,425.823,50000.000
1000767,-993.588,-410.882,50000.000,-649.941,-336.176,50000.000
1050772,-470.647,-216.647,50000.000,-590.176,926.353,50000.000
1100765,59.765,44.824,50000.000,-844.176,2032.000,50000.000
1150751,-926.353,-470.647,50000.000,-776.941,-500.529,50000.000
1200765,-1740.647,-508.000,50000.000,-1068.294,-2525.059,50000.000
1250778,-1045.882,806.823,50000.000,-1135.529,-186.765,50000.000
1300781,201.706,986.118,50000.000,-956.235,1718.235,50000.000
1350758,-209.176,-530.412,50001.000,37.353,194.235,50000.000
1400770,-306.294,-1464.235,49999.000,455.706,-903.941,50000.000
1450790,-186.765,-1016.000,50000.000,149.412,-1008.529,50000.000
1500773,-149.412,-164.353,50000.000,179.294,-336.176,50000.000
