timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,-7.471,-29.882,50156.000,50.00,-14.941,-22.412,50153.000,45.00,0
51,-3182.470,-9861.176,50000.000,54.00,-5199.529,-6320.117,50000.000,63.00,0
101,-3742.764,-10511.117,50000.000,44.00,-5169.646,-4153.647,50000.000,72.00,0
151,-3802.529,-10832.353,50000.000,51.00,-5446.059,-3802.529,50000.000,71.00,0
201,-4101.353,-9360.646,50000.000,41.00,-5774.764,-5408.706,50000.000,59.00,0
251,-4295.588,-7276.353,50000.000,56.00,-5588.000,-6813.176,50000.000,77.00,0
301,-4400.176,-7351.058,50000.000,47.00,-6021.294,-6678.706,50000.000,43.00,0
351,-3660.588,-8015.940,50000.000,43.00,-5348.941,-4609.353,50000.000,45.00,0
401,-3563.470,-6252.882,50000.000,41.00,-4445.000,-2353.235,50000.000,38.00,0
451,-3458.882,-3638.176,50000.000,36.00,-3690.470,-1755.588,50000.000,80.00,0
501,-3727.823,-3204.882,50000.000,38.00,-4826.000,-3391.647,50000.000,45.00,0
551,-3757.706,-2315.882,50000.000,36.00,-4198.470,-4579.470,50000.000,80.00,0
601,-2771.588,-3929.529,50000.000,42.00,-4176.059,-6290.235,50000.000,69.00,0
651,-1882.588,-5543.176,50000.000,62.00,-3376.706,-6514.353,50000.000,72.00,0
701,-1591.235,-7231.529,50000.000,44.00,-3100.294,-6663.764,50000.000,72.00,0
751,-1001.059,-10451.353,50000.000,49.00,-3548.529,-8240.059,50000.000,59.00,0
801,-747.059,-9808.882,50000.000,58.00,-4250.765,-10780.058,50000.000,72.00,0
851,-373.529,-4826.000,50000.000,51.00,-3234.764,-12953.999,50000.000,51.00,0
901,-171.824,-5842.000,50000.000,33.00,-3339.353,-13312.587,50000.000,44.00,0
951,-321.235,-12124.764,50000.000,37.00,-4198.470,-11601.822,50000.000,19.00,0
1001,-672.353,-14104.470,50000.000,38.00,-4564.529,-11258.176,50000.000,39.00,0
1051,-1606.176,-12371.293,50000.000,13.00,-5042.646,-10481.234,50000.000,23.00,0
1101,-2853.764,-12767.234,50000.000,25.00,-6021.294,-10130.117,50000.000,41.00,0
1151,-2674.470,-13850.470,50000.000,43.00,-6125.882,-8344.646,50000.000,37.00,0
1201,-3578.412,-13110.882,50000.000,29.00,-5827.059,-6215.529,50000.000,29.00,0
1251,-4392.706,-11586.882,50000.000,36.00,-6843.059,-7926.293,50000.000,45.00,0
1301,-4258.235,-9076.764,50000.000,39.00,-6454.588,-9920.940,50000.000,59.00,0
1351,-4758.764,-9016.999,50000.000,31.00,-6514.353,-9450.294,50000.000,61.00,0
1401,-5296.646,-10780.058,50000.000,41.00,-7470.588,-6977.529,50000.000,46.00,0
1451,-6768.353,-10047.940,50000.000,32.00,-8277.411,-3795.059,50000.000,42.00,0
1501,-7926.293,-9427.882,50000.000,45.00,-9353.176,-4773.706,50000.000,32.00,0
1551,-8150.411,-8792.882,50000.000,45.00,-10122.646,-7747.000,50000.000,44.00,0
1601,-8105.588,-9069.294,50000.000,31.00,-10361.705,-9943.353,50000.000,67.00,0
1651,-8038.353,-9256.059,50000.000,44.00,-10145.059,-7440.706,50000.000,46.00,0
1701,-8553.823,-6574.117,50000.000,58.00,-9622.117,-4549.588,50000.000,45.00,0
1751,-8591.176,-5886.823,50000.000,35.00,-9502.588,-5647.764,50000.000,45.00,0
1801,-7941.235,-3570.941,50000.000,46.00,-9487.646,-6551.706,50000.000,79.00,0
1851,-7776.882,246.529,50000.000,83.00,-7709.646,-6297.706,50000.000,55.00,0
1901,-5856.941,-1389.529,50000.000,49.00,-6865.470,-7971.117,50000.000,73.00,0
1951,-4056.529,-2629.647,50000.000,87.00,-5229.412,-7448.176,50000.000,77.00,0
2001,-2831.353,-4355.353,50000.000,68.00,-4153.647,-8217.646,50000.000,77.00,0
2051,-1905.000,-4624.294,50000.000,55.00,-4661.647,-9958.293,50000.000,40.00,0
2101,-1852.706,-186.765,50000.000,62.00,-3481.294,-7888.940,50000.000,41.00,0
2151,-2659.529,2159.000,50000.000,76.00,-2756.647,-5722.470,50000.000,79.00,0
2201,-1665.941,-3406.588,50000.000,70.00,-3010.647,-6574.117,50000.000,58.00,0
2251,-2540.000,-9054.353,50000.000,59.00,-4542.117,-7903.882,50000.000,39.00,0
2301,-3115.235,-10055.411,50000.000,51.00,-5229.412,-7403.353,50000.000,49.00,0
2351,-4699.000,-9218.705,50000.000,60.00,-6066.117,-5109.882,50000.000,46.00,0
2401,-5565.588,-9532.470,50000.000,62.00,-7179.235,-5610.412,50000.000,34.00,0
2451,-5983.941,-10204.823,50000.000,72.00,-8090.646,-4370.294,50000.000,45.00,0
2501,-7545.293,-12378.764,50000.000,43.00,-9016.999,-2159.000,50000.000,60.00,0
2551,-8426.823,-11011.646,50000.000,49.00,-9637.059,-717.176,50000.000,68.00,0
2601,-10032.999,-8426.823,50000.000,33.00,-9950.823,231.588,50000.000,74.00,0
2651,-10809.940,-5976.470,50000.000,67.00,-10847.293,-410.882,50000.000,54.00,0
2701,-11549.528,-4198.470,50000.000,60.00,-10772.588,104.588,50000.000,63.00,0
2751,-12348.882,-5334.000,50000.000,55.00,-11781.117,1591.235,50000.000,59.00,0
2801,-12849.411,-7425.764,50000.000,53.00,-13028.705,799.353,50000.000,40.00,0
2851,-13760.822,-8516.470,50000.000,48.00,-14238.940,-2786.529,50000.000,65.00,0
2901,-14515.352,-8598.646,50000.000,32.00,-14687.176,-3839.882,50000.000,68.00,0
2951,-14888.881,-8987.117,50000.000,60.00,-15210.116,-4609.353,50000.000,72.00,0
3001,-14956.116,-10780.058,50000.000,53.00,-15083.116,-1613.647,50000.000,71.00,0
3051,-15837.646,-12595.411,50000.000,42.00,-15576.176,2129.117,50000.000,61.00,0
3101,-15725.587,-11728.822,50000.000,61.00,-15718.116,246.529,50000.000,68.00,0
3151,-15120.470,-10615.705,50000.000,53.00,-15785.352,-2891.117,50000.000,39.00,0
3201,-15404.352,-10309.411,50000.000,52.00,-16016.940,-2532.529,50000.000,74.00,0
3251,-15314.705,-9614.646,50000.000,81.00,-15695.705,-1538.941,50000.000,67.00,0
3301,-15284.822,-10354.234,50000.000,63.00,-15501.470,582.706,50000.000,36.00,0
3351,-15277.352,-11198.411,50000.000,47.00,-16614.588,-1710.765,50000.000,55.00,0
3401,-15710.646,-11116.234,50000.000,77.00,-16823.764,-5535.706,50000.000,78.00,0
3451,-15987.058,-11153.588,50000.000,68.00,-17115.117,-6581.588,50000.000,63.00,0
3501,-16420.352,-11579.411,50000.000,72.00,-17533.469,-3772.647,50000.000,52.00,0
3551,-16741.588,-11519.646,50000.000,49.00,-17981.705,-2846.294,50000.000,31.00,0
3601,-16876.059,-10660.528,50000.000,55.00,-18325.352,-5132.294,50000.000,57.00,0
3651,-16749.059,-10197.353,50000.000,53.00,-17660.469,-6163.235,50000.000,61.00,0
3701,-16861.117,-11452.411,50000.000,45.00,-17667.939,-6245.411,50000.000,68.00,0
3751,-17809.881,-15202.646,50000.000,31.00,-18198.352,-4310.529,50000.000,63.00,0
3801,-17720.234,-14657.293,50000.000,43.00,-18609.234,-3511.176,50000.000,56.00,0
3851,-17406.469,-10772.588,50000.000,40.00,-18198.352,-4362.823,50000.000,57.00,0
3901,-18138.588,-9383.059,50000.000,47.00,-18982.764,-3959.411,50000.000,54.00,0
3951,-18773.588,-9517.528,50000.000,57.00,-19072.410,-687.294,50000.000,66.00,0
4001,-19169.527,-7874.000,50000.000,60.00,-18766.117,1382.059,50000.000,58.00,0
4051,-18429.939,-5453.529,50000.000,49.00,-18437.410,-2218.765,50000.000,65.00,0
4101,-18586.822,-2256.117,50000.000,54.00,-17884.588,-4489.823,50000.000,59.00,0
4151,-18818.410,-754.529,50000.000,76.00,-17242.117,-6252.882,50000.000,64.00,0
4201,-18407.527,-3981.823,50000.000,92.00,-17130.059,-7963.646,50000.000,76.00,0
4251,-17899.527,-9457.764,50000.000,46.00,-18048.939,-8994.588,50000.000,76.00,0
4301,-17242.117,-10428.940,50000.000,56.00,-18534.527,-9539.940,50000.000,65.00,0
4351,-17959.293,-8919.882,50000.000,38.00,-18519.588,-7463.117,50000.000,41.00,0
4401,-18317.881,-7911.353,50000.000,40.00,-18818.410,-4728.882,50000.000,33.00,0
4451,-18564.410,-9196.294,50000.000,41.00,-19266.646,-2420.470,50000.000,71.00,0
4501,-18549.469,-12475.882,50000.000,51.00,-20267.705,-1509.059,50000.000,63.00,0
4551,-18676.469,-12752.293,50000.000,37.00,-20999.822,-769.471,50000.000,47.00,0
4601,-18467.293,-8546.353,50000.000,48.00,-20043.586,-1195.294,50000.000,50.00,0
4651,-19289.057,-6387.353,50000.000,51.00,-19931.527,-3496.235,50000.000,60.00,0
4701,-19707.410,-8090.646,50000.000,75.00,-19983.822,-4377.765,50000.000,70.00,0
4751,-21492.881,-11624.234,50000.000,37.00,-21858.939,-2390.588,50000.000,83.00,0
4801,-21074.527,-12289.117,50000.000,37.00,-22172.705,-2211.294,50000.000,65.00,0
4851,-21477.939,-7896.411,50000.000,59.00,-22150.293,-1486.647,50000.000,58.00,0
4901,-21970.998,-4258.235,50000.000,93.00,-21313.586,-3025.588,50000.000,73.00,0
4951,-21716.998,-8172.823,50000.000,73.00,-20618.822,-6648.823,50000.000,63.00,0
5001,-22299.705,-14007.352,50000.000,42.00,-22942.176,-7627.470,50000.000,52.00,0
5051,-21821.586,-14888.881,50000.000,54.00,-22807.705,-6604.000,50000.000,68.00,0
5101,-21455.527,-11527.117,50000.000,37.00,-22045.705,-3608.294,50000.000,83.00,0
5151,-21806.646,-11116.234,50000.000,42.00,-22703.115,-2711.823,50000.000,67.00,0
5201,-23233.527,-14037.234,50000.000,27.00,-23233.527,-179.294,50000.000,69.00,0
5251,-22501.410,-12916.646,50000.000,52.00,-23905.881,298.824,50000.000,50.00,0
5301,-23196.176,-8957.234,50000.000,54.00,-23973.115,-1434.353,50000.000,57.00,0
5351,-25885.586,-8210.176,50000.000,82.00,-25101.174,-2532.529,50000.000,44.00,0
5401,-27170.527,-10458.823,50000.000,93.00,-25482.174,-1397.000,50000.000,66.00,0
5451,-27581.410,-11908.117,50000.000,41.00,-26049.939,-627.529,50000.000,59.00,0
5501,-26094.764,-10264.588,50000.000,58.00,-26259.115,-2375.647,50000.000,63.00,0
5551,-26782.057,-8075.706,50000.000,55.00,-26094.764,-2823.882,50000.000,72.00,0
5601,-27080.881,-7164.293,50000.000,67.00,-26453.352,-2584.823,50000.000,50.00,0
5651,-26229.234,-10145.059,50000.000,43.00,-26079.822,-2764.117,50000.000,50.00,0
5701,-24122.527,-12109.822,50000.000,34.00,-26109.705,-3212.353,50000.000,19.00,0
5751,-22269.822,-9151.470,50000.000,32.00,-24750.057,-3697.941,50000.000,46.00,0
5801,-22516.352,-4250.765,50000.000,40.00,-23039.293,-672.353,50000.000,51.00,0
5851,-22239.939,-1531.470,50000.000,41.00,-21970.998,-1464.235,50000.000,56.00,0
5901,-21276.234,-1501.588,50000.000,64.00,-20850.410,-918.882,50000.000,68.00,0
5951,-21649.764,-993.588,50000.000,58.00,-20798.117,-37.353,50000.000,53.00,0
6001,-21806.646,-418.353,50000.000,54.00,-19924.057,-2554.941,50000.000,47.00,0
6051,-19475.822,373.529,50000.000,62.00,-18474.764,-4176.059,50000.000,28.00,0
6101,-17369.117,2554.941,50000.000,69.00,-15725.587,-2779.059,50000.000,55.00,0
6151,-14582.587,3548.529,50000.000,69.00,-13514.293,-3025.588,50000.000,49.00,0
6201,-13775.764,3996.764,50000.000,74.00,-11915.588,-2181.412,50000.000,82.00,0
6251,-11542.058,-642.471,50000.000,83.00,-11093.823,-8456.705,50000.000,81.00,0
6301,-8389.470,-3765.176,50000.000,96.00,-11078.882,-13514.293,50000.000,38.00,0
6351,-9099.176,-4684.059,50000.000,89.00,-10570.882,-10780.058,50000.000,61.00,0
6401,-9928.411,-5513.294,50000.000,68.00,-10413.999,-5550.646,50000.000,61.00,0
6451,-10145.059,-7179.235,50000.000,89.00,-10712.823,-4601.882,50000.000,72.00,0
6501,-10682.940,-11243.234,50000.000,59.00,-11840.882,-4168.588,50000.000,37.00,0
6551,-10765.117,-11923.058,50000.000,54.00,-12490.822,-4594.412,50000.000,37.00,0
6601,-10914.528,-10032.999,50000.000,50.00,-12744.822,-5819.588,50000.000,51.00,0
6651,-11325.411,-8912.411,50000.000,40.00,-12826.999,-6760.882,50000.000,76.00,0
6701,-11019.117,-9614.646,50000.000,41.00,-12752.293,-5774.764,50000.000,49.00,0
6751,-12139.705,-10234.705,50000.000,37.00,-12856.882,-3257.176,50000.000,74.00,0
6801,-12939.058,-9771.528,50000.000,35.00,-14141.822,-2218.765,50000.000,76.00,0
6851,-14358.470,-8247.529,50000.000,37.00,-14380.882,-2413.000,50000.000,73.00,0
6901,-15262.411,-9270.999,50000.000,44.00,-15665.822,-3824.941,50000.000,60.00,0
6951,-15792.822,-10324.353,50000.000,67.00,-16308.293,-3473.823,50000.000,60.00,0
7001,-16442.764,-11639.176,50000.000,68.00,-16435.293,-597.647,50000.000,71.00,0
7051,-16928.352,-11676.528,50000.000,53.00,-17862.176,-164.353,50000.000,67.00,0
7101,-17234.646,-10174.940,50000.000,48.00,-18116.176,-3780.117,50000.000,53.00,0
7151,-17286.939,-8441.764,50000.000,54.00,-17877.117,-5505.823,50000.000,59.00,0
7201,-16749.059,-8972.176,50000.000,101.00,-17398.998,-5289.176,50000.000,82.00,0
7251,-16226.116,-11482.293,50000.000,59.00,-17623.117,-5513.294,50000.000,47.00,0
7301,-15964.646,-11288.058,50000.000,70.00,-17174.881,-6163.235,50000.000,64.00,0
7351,-16136.470,-10570.882,50000.000,49.00,-17085.234,-6312.646,50000.000,55.00,0
7401,-16442.764,-11400.117,50000.000,38.00,-17638.059,-6372.411,50000.000,73.00,0
7451,-17055.352,-14687.176,50000.000,47.00,-18220.764,-3757.706,50000.000,90.00,0
7501,-17630.588,-15718.116,50000.000,35.00,-18452.352,-1471.706,50000.000,49.00,0
7551,-17346.705,-12953.999,50000.000,45.00,-17765.059,-3160.059,50000.000,76.00,0
7601,-17346.705,-12520.705,50000.000,48.00,-18160.998,-5005.294,50000.000,73.00,0
7651,-17690.352,-13842.999,50000.000,67.00,-18332.822,-2330.823,50000.000,65.00,0
7701,-17899.527,-13753.352,50000.000,48.00,-18571.881,328.706,50000.000,38.00,0
7751,-17974.234,-12535.646,50000.000,54.00,-19087.352,-2629.647,50000.000,71.00,0
7801,-18048.939,-11415.058,50000.000,52.00,-19221.822,-4034.117,50000.000,59.00,0
7851,-18228.234,-11683.999,50000.000,53.00,-19124.705,-2248.647,50000.000,65.00,0
7901,-18818.410,-11280.588,50000.000,34.00,-19147.117,1284.941,50000.000,79.00,0
7951,-18818.410,-10115.176,50000.000,45.00,-19430.998,-313.765,50000.000,79.00,0
8001,-18751.176,-7881.470,50000.000,48.00,-19311.469,-2465.294,50000.000,56.00,0
8051,-19289.057,-5453.529,50000.000,61.00,-19513.176,-2861.235,50000.000,43.00,0
8101,-18265.588,-4833.470,50000.000,56.00,-18295.469,-2988.235,50000.000,48.00,0
8151,-16816.293,-2988.235,50000.000,57.00,-15972.116,-1001.059,50000.000,51.00,0
8201,-15650.881,-515.471,50000.000,52.00,-14477.999,1187.823,50000.000,40.00,0
8251,-15299.764,388.471,50000.000,45.00,-13910.234,537.882,50000.000,53.00,0
8301,-15299.764,605.118,50000.000,54.00,-14044.705,-440.765,50000.000,56.00,0
8351,-15396.881,-216.647,50000.000,44.00,-14291.234,-687.294,50000.000,73.00,0
8401,-14515.352,-732.118,50000.000,37.00,-14171.705,-1770.529,50000.000,63.00,0
8451,-12819.528,22.412,50000.000,43.00,-11512.176,-590.176,50000.000,53.00,0
8501,-10070.353,1247.588,50000.000,40.00,-8875.059,-1419.412,50000.000,58.00,0
8551,-6917.764,2876.176,50000.000,40.00,-6753.411,-2779.059,50000.000,76.00,0
8601,-5124.823,4362.823,50000.000,61.00,-4034.117,-903.941,50000.000,30.00,0
8651,-2188.882,1800.412,50000.000,58.00,-2584.823,-5446.059,50000.000,57.00,0
8701,373.529,-3048.000,50000.000,52.00,-3025.588,-11706.411,50000.000,58.00,0
8751,1598.706,-3824.941,50000.000,56.00,-2308.412,-13297.646,50000.000,67.00,0
