timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,,,50156.000,0.000,0.000,50153.000,0
51,,,50000.000,0.000,0.000,50000.000,0
101,,,50000.000,0.000,0.000,50000.000,0
151,,,50000.000,0.000,0.000,50000.000,0
201,,,50000.000,0.000,0.000,50000.000,0
251,,,50000.000,0.000,0.000,50000.000,0
301,,,50000.000,0.000,0.000,50000.000,0
351,,,50000.000,0.000,0.000,50000.000,0
401,,,50000.000,0.000,0.000,50000.000,0
451,,,50000.000,0.000,0.000,50000.000,0
501,,,50000.000,0.000,0.000,50000.000,0
551,,,50000.000,0.000,0.000,50000.000,0
601,,,50000.000,0.000,0.000,50000.000,0
651,,,50000.000,0.000,0.000,50000.000,0
701,,,50000.000,0.000,0.000,50000.000,0
751,,,50000.000,0.000,0.000,50000.000,0
801,,,50000.000,0.000,0.000,50000.000,0
851,,,50000.000,0.000,0.000,50000.000,0
901,,,50000.000,0.000,0.000,50000.000,0
951,,,50000.000,0.000,0.000,50000.000,0
1001,,,50000.000,0.000,0.000,50000.000,0
1051,,,50000.000,0.000,0.000,50000.000,0
1101,,,50000.000,0.000,0.000,50000.000,0
1151,,,50000.000,0.000,0.000,50000.000,0
1201,,,50000.000,0.000,0.000,50000.000,0
1251,,,50000.000,0.000,0.000,50000.000,0
1301,,,50000.000,0.000,0.000,50000.000,0
1351,,,50000.000,0.000,0.000,50000.000,0
1401,,,50000.000,0.000,0.000,50000.000,0
1451,,,50000.000,0.000,0.000,50000.000,0
1501,,,50000.000,0.000,0.000,50000.000,0
1551,,,50000.000,0.000,0.000,50000.000,0
1601,,,50000.000,0.000,0.000,50000.000,0
1651,,,50000.000,0.000,0.000,50000.000,0
1701,,,50000.000,0.000,0.000,50000.000,0
1751,,,50000.000,0.000,0.000,50000.000,0
1801,,,50000.000,0.000,0.000,50000.000,0
1851,,,50000.000,0.000,0.000,50000.000,0
1901,,,50000.000,0.000,0.000,50000.000,0
1951,,,50000.000,0.000,0.000,50000.000,0
2001,,,50000.000,0.000,0.000,50000.000,0
2051,,,50000.000,0.000,0.000,50000.000,0
2101,,,50000.000,0.000,0.000,50000.000,0
2151,,,50000.000,0.000,0.000,50000.000,0
2201,,,50000.000,0.000,0.000,50000.000,0
2251,,,50000.000,0.000,0.000,50000.000,0
2301,,,50000.000,0.000,0.000,50000.000,0
2351,,,50000.000,0.000,0.000,50000.000,0
2401,,,50000.000,0.000,0.000,50000.000,0
