timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,0.000,0.000,50156.000,0.000,0.000,50153.000,0
51,-7.471,0.000,50000.000,-7.471,0.000,50000.000,0
101,29.882,52.294,50000.000,0.000,0.000,50000.000,0
151,44.824,22.412,50000.000,0.000,0.000,50000.000,0
201,-37.353,-37.353,50000.000,0.000,0.000,50000.000,0
251,-22.412,-7.471,50000.000,0.000,0.000,50000.000,0
301,82.176,119.529,50000.000,0.000,0.000,50000.000,0
351,89.647,89.647,50000.000,0.000,0.000,50000.000,0
401,-7.471,-29.882,50000.000,0.000,0.000,50000.000,0
451,-89.647,-164.353,50000.000,0.000,0.000,50000.000,0
501,-22.412,-29.882,50000.000,0.000,0.000,50000.000,0
551,52.294,59.765,50000.000,0.000,0.000,50000.000,0
601,14.941,0.000,50000.000,0.000,0.000,50000.000,0
651,-52.294,-52.294,50000.000,0.000,0.000,50000.000,0
701,-29.882,-52.294,50000.000,-7.471,0.000,50000.000,0
751,0.000,7.471,50000.000,-29.882,14.941,50000.000,0
801,37.353,14.941,50000.000,0.000,0.000,50000.000,0
851,0.000,-22.412,50000.000,0.000,0.000,50000.000,0
901,-37.353,-74.706,50000.000,-7.471,-22.412,50000.000,0
951,0.000,-14.941,50000.000,0.000,22.412,50000.000,0
1001,22.412,44.824,50000.000,0.000,37.353,50000.000,0
1051,14.941,0.000,50000.000,0.000,22.412,50000.000,0
1101,-22.412,-52.294,50000.000,-44.824,0.000,50000.000,0
1151,-7.471,7.471,50000.000,-29.882,14.941,50000.000,0
1201,29.882,52.294,50000.000,0.000,22.412,50000.000,0
1251,29.882,14.941,50000.000,0.000,0.000,50000.000,0
1301,-37.353,-37.353,50000.000,0.000,-22.412,50000.000,0
1351,-14.941,0.000,50000.000,0.000,0.000,50000.000,0
1401,37.353,37.353,50000.000,37.353,29.882,50000.000,0
1451,7.471,7.471,50000.000,-14.941,22.412,50000.000,0
1501,-14.941,-22.412,50000.000,-44.824,-7.471,50000.000,0
1551,-7.471,0.000,50000.000,0.000,7.471,50000.000,0
1601,37.353,37.353,50000.000,22.412,7.471,50000.000,0
1651,7.471,0.000,50000.000,14.941,0.000,50000.000,0
1701,-44.824,-52.294,50000.000,-14.941,0.000,50000.000,0
1751,-7.471,7.471,50000.000,0.000,14.941,50000.000,0
1801,59.765,74.706,50000.000,74.706,7.471,50000.000,0
1851,14.941,0.000,50000.000,0.000,0.000,50000.000,0
1901,14.941,0.000,50000.000,14.941,7.471,50000.000,0
1951,14.941,44.824,50000.000,0.000,22.412,50000.000,0
2001,52.294,74.706,50000.000,59.765,29.882,50000.000,0
2051,29.882,22.412,50000.000,22.412,29.882,50000.000,0
2101,-22.412,-29.882,50000.000,-37.353,14.941,50000.000,0
2151,-14.941,-7.471,50000.000,-44.824,29.882,50000.000,0
2201,74.706,104.588,50000.000,59.765,44.824,50000.000,0
2251,67.235,59.765,50000.000,7.471,7.471,50000.000,0
2301,-29.882,-52.294,50000.000,0.000,0.000,50000.000,0
2351,-59.765,-104.588,50000.000,-14.941,29.882,50000.000,0
2401,22.412,59.765,50000.000,7.471,0.000,50000.000,0
2451,67.235,59.765,50000.000,82.176,37.353,50000.000,0
2501,-14.941,-37.353,50000.000,14.941,0.000,50000.000,0
2551,-44.824,-29.882,50000.000,-67.235,0.000,50000.000,0
2601,37.353,104.588,50000.000,44.824,0.000,50000.000,0
2651,29.882,22.412,50000.000,29.882,7.471,50000.000,0
2701,0.000,-7.471,50000.000,0.000,0.000,50000.000,0
2751,-37.353,-44.824,50000.000,7.471,14.941,50000.000,0
2801,-14.941,-7.471,50000.000,14.941,74.706,50000.000,0
2851,37.353,37.353,50000.000,37.353,37.353,50000.000,0
2901,7.471,0.000,50000.000,14.941,0.000,50000.000,0
2951,0.000,7.471,50000.000,7.471,0.000,50000.000,0
3001,-7.471,14.941,50000.000,14.941,7.471,50000.000,0
3051,149.412,410.882,50000.000,14.941,14.941,50000.000,0
3101,283.882,261.471,50000.000,0.000,0.000,50000.000,0
3151,29.882,37.353,50000.000,0.000,0.000,50000.000,0
3201,-14.941,97.118,50000.000,0.000,0.000,50000.000,0
3251,52.294,22.412,50000.000,0.000,0.000,50000.000,0
3301,37.353,104.588,50000.000,0.000,0.000,50000.000,0
3351,179.294,283.882,50000.000,0.000,0.000,50000.000,0
3401,194.235,209.176,50000.000,0.000,0.000,50000.000,0
3451,52.294,112.059,50000.000,0.000,0.000,50000.000,0
3501,22.412,22.412,50000.000,0.000,0.000,50000.000,0
3551,7.471,-149.412,50000.000,0.000,0.000,50000.000,0
3601,-52.294,-119.529,50000.000,0.000,0.000,50000.000,0
3651,22.412,52.294,50000.000,0.000,0.000,50000.000,0
3701,74.706,14.941,50000.000,0.000,0.000,50000.000,0
3751,-37.353,-112.059,50000.000,0.000,0.000,50000.000,0
3801,-44.824,-7.471,50000.000,0.000,0.000,50000.000,0
3851,22.412,-14.941,50000.000,0.000,0.000,50000.000,0
3901,-22.412,-261.471,50000.000,0.000,0.000,50000.000,0
3951,-186.765,-149.412,50000.000,0.000,0.000,50000.000,0
4001,89.647,366.059,50000.000,0.000,0.000,50000.000,0
4051,321.235,425.823,50000.000,0.000,0.000,50000.000,0
4101,44.824,59.765,50000.000,0.000,0.000,50000.000,0
4151,-201.706,-224.118,50000.000,0.000,0.000,50000.000,0
4201,-119.529,-291.353,50000.000,0.000,0.000,50000.000,0
4251,-134.471,-261.471,50000.000,0.000,0.000,50000.000,0
4301,-89.647,7.471,50000.000,0.000,0.000,50000.000,0
4351,37.353,231.588,50000.000,0.000,0.000,50000.000,0
4401,-59.765,246.529,50000.000,0.000,0.000,50000.000,0
4451,-694.765,-605.118,50000.000,-164.353,179.294,50000.000,0
4501,-948.765,-1613.647,50000.000,-1135.529,291.353,50000.000,0
4551,-1397.000,-1651.000,50000.000,-2121.647,209.176,50000.000,0
4601,-2009.588,-1449.294,50000.000,-941.294,246.529,50000.000,0
4651,-1792.941,-1187.823,50000.000,-1292.412,425.823,50000.000,0
4701,-1240.118,-1045.882,50000.000,-254.000,52.294,50000.000,0
4751,-986.118,-620.059,50000.000,-171.824,59.765,50000.000,0
4801,-903.941,-388.471,50000.000,-754.529,306.294,50000.000,0
4851,-440.765,-156.882,50000.000,-194.235,14.941,50000.000,0
4901,-268.941,-179.294,50000.000,-112.059,-52.294,50000.000,0
4951,164.353,739.588,50000.000,7.471,0.000,50000.000,0
5001,926.353,1621.118,50000.000,799.353,-171.824,50000.000,0
5051,1292.412,2039.470,50000.000,201.706,-59.765,50000.000,0
5101,1367.118,1636.059,50000.000,485.588,-186.765,50000.000,0
5151,1068.294,1105.647,50000.000,620.059,-283.882,50000.000,0
5201,881.529,14.941,50000.000,522.941,-478.118,50000.000,0
5251,366.059,366.059,50000.000,97.118,-127.000,50000.000,0
5301,821.765,1471.706,50000.000,246.529,-7.471,50000.000,0
5351,1397.000,1568.823,50000.000,1001.059,-231.588,50000.000,0
5401,1053.353,52.294,50000.000,522.941,-343.647,50000.000,0
5451,-74.706,-799.353,50000.000,-373.529,-224.118,50000.000,0
5501,-552.823,-1270.000,50000.000,-515.471,-231.588,50000.000,0
5551,-328.706,-2584.823,50000.000,-687.294,-1755.588,50000.000,0
5601,-164.353,-5311.588,50000.000,-1419.412,-4467.412,50000.000,0
5651,-37.353,-9808.882,50000.000,-1748.118,-5558.117,50000.000,0
5701,-239.059,-6155.764,50000.000,-903.941,-2271.059,50000.000,0
5751,-134.471,1045.882,50000.000,-7.471,-470.647,50000.000,0
5801,575.235,2532.529,50000.000,403.412,-821.765,50000.000,0
5851,1501.588,1494.118,50000.000,687.294,-2353.235,50000.000,0
5901,1292.412,-567.765,50000.000,149.412,-3107.764,50000.000,0
5951,1636.059,-5012.764,50000.000,-134.471,-4422.588,50000.000,0
6001,986.118,-10316.882,50000.000,-1307.353,-5580.529,50000.000,0
6051,821.765,-9405.470,50000.000,-1240.118,-5147.235,50000.000,0
6101,926.353,-2674.470,50000.000,-97.118,-2188.882,50000.000,0
6151,1404.470,1150.470,50000.000,687.294,-1949.823,50000.000,0
6201,2024.529,1972.235,50000.000,933.823,-2711.823,50000.000,0
6251,3107.764,-881.529,50000.000,963.706,-7709.646,50000.000,0
6301,2846.294,-3937.000,50000.000,0.000,-6805.706,50000.000,0
6351,926.353,-5797.176,50000.000,-395.941,-2562.412,50000.000,0
