timestamp[ms],left_dx[um],left_dy[um],left_dt[us],motL,right_dx[um],right_dy[um],right_dt[us],motR,waterPin
0,0.000,0.000,20153.000,32,0.000,0.000,20153.000,32,0
21,7.471,-29.882,20000.000,160,0.000,-7.471,20000.000,160,0
41,7.471,-22.412,20000.000,160,0.000,-7.471,20000.000,160,0
61,7.471,-29.882,20000.000,160,0.000,-7.471,20000.000,160,0
81,7.471,-22.412,20000.000,160,0.000,-7.471,20000.000,160,0
101,7.471,-29.882,20000.000,160,0.000,-7.471,20000.000,160,0
121,7.471,-29.882,20000.000,160,0.000,-7.471,20000.000,160,0
141,7.471,-29.882,20000.000,160,7.471,-7.471,20000.000,160,0
161,7.471,-29.882,20000.000,160,0.000,-14.941,20000.000,160,0
181,7.471,-29.882,20000.000,160,0.000,-7.471,20000.000,160,0
201,7.471,-29.882,20000.000,160,0.000,-7.471,20000.000,160,0
221,7.471,-37.353,20000.000,160,7.471,-14.941,20000.000,160,0
241,0.000,-37.353,20000.000,160,0.000,-7.471,20000.000,160,0
261,0.000,-37.353,20000.000,160,0.000,-7.471,20000.000,160,0
281,0.000,-29.882,20000.000,160,0.000,0.000,20000.000,32,0
301,0.000,-37.353,20000.000,160,0.000,-7.471,20000.000,160,0
321,22.412,-29.882,20000.000,160,0.000,-14.941,20000.000,160,0
341,7.471,-29.882,20000.000,160,0.000,-14.941,20000.000,160,0
361,14.941,-22.412,20000.000,160,0.000,-7.471,20000.000,160,0
381,7.471,-22.412,20000.000,160,0.000,-14.941,20000.000,160,0
401,7.471,-29.882,20000.000,160,0.000,0.000,20000.000,32,0
421,14.941,-37.353,20000.000,160,0.000,-7.471,20000.000,160,0
441,14.941,-29.882,20000.000,160,0.000,-7.471,20000.000,160,0
461,7.471,-22.412,20000.000,160,0.000,-7.471,20000.000,160,0
481,0.000,-14.941,20000.000,160,0.000,-14.941,20000.000,160,0
501,0.000,-7.471,20000.000,160,0.000,-14.941,20000.000,160,0
521,0.000,-22.412,20000.000,160,0.000,-14.941,20000.000,160,0
541,14.941,-37.353,20000.000,160,7.471,-14.941,20000.000,160,0
561,14.941,-44.824,20000.000,160,7.471,-14.941,20000.000,160,0
581,22.412,-44.824,20000.000,160,0.000,-7.471,20000.000,160,0
601,22.412,-37.353,20000.000,160,0.000,-7.471,20000.000,160,0
621,7.471,-29.882,20000.000,160,7.471,-14.941,20000.000,160,0
641,7.471,-37.353,20000.000,160,0.000,-14.941,20000.000,160,0
661,14.941,-44.824,20000.000,160,7.471,-22.412,20000.000,160,0
681,22.412,-52.294,20000.000,160,0.000,-14.941,20000.000,160,0
701,14.941,-44.824,20000.000,160,0.000,-7.471,20000.000,160,0
721,14.941,-44.824,20000.000,160,7.471,-7.471,20000.000,160,0
741,22.412,-44.824,20000.000,160,0.000,-7.471,20000.000,160,0
761,14.941,-44.824,20000.000,160,0.000,-7.471,20000.000,160,0
781,29.882,-52.294,20000.000,160,0.000,0.000,20000.000,32,0
801,22.412,-52.294,20000.000,160,0.000,-7.471,20000.000,160,0
821,22.412,-37.353,20000.000,160,0.000,-7.471,20000.000,160,0
841,29.882,-37.353,20000.000,160,0.000,-7.471,20000.000,160,0
861,22.412,-52.294,20000.000,160,0.000,-22.412,20000.000,160,0
881,22.412,-44.824,20000.000,160,7.471,-14.941,20000.000,160,0
901,22.412,-52.294,20000.000,160,0.000,-14.941,20000.000,160,0
921,7.471,-52.294,20000.000,160,0.000,0.000,20000.000,32,0
941,14.941,-37.353,20000.000,160,0.000,-14.941,20000.000,160,0
961,22.412,-37.353,20000.000,160,0.000,-14.941,20000.000,160,0
981,22.412,-44.824,20000.000,160,0.000,-14.941,20000.000,160,0
1001,22.412,-37.353,20000.000,160,0.000,-7.471,20000.000,160,0
1021,7.471,-37.353,20000.000,160,0.000,-7.471,20000.000,160,0
1041,7.471,-29.882,20000.000,160,0.000,-14.941,20000.000,160,0
1061,7.471,-44.824,20000.000,160,0.000,-7.471,20000.000,160,0
1081,14.941,-59.765,20000.000,160,0.000,-7.471,20000.000,160,0
1101,22.412,-67.235,20000.000,160,0.000,-7.471,20000.000,160,0
1121,14.941,-59.765,20000.000,160,7.471,-14.941,20000.000,160,0
1141,22.412,-52.294,20000.000,160,0.000,-14.941,20000.000,160,0
1161,14.941,-52.294,20000.000,160,0.000,-7.471,20000.000,160,0
