timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,0.000,0.000,50153.000,0.000,0.000,50153.000,0
51,7.471,14.941,50000.000,7.471,14.941,50000.000,0
101,0.000,29.882,50000.000,7.471,37.353,50000.000,0
151,0.000,14.941,50000.000,0.000,29.882,50000.000,0
201,-14.941,22.412,50000.000,0.000,44.824,50000.000,0
251,-7.471,7.471,50000.000,7.471,52.294,50000.000,0
301,-7.471,22.412,50000.000,0.000,37.353,50000.000,0
351,0.000,7.471,50000.000,7.471,52.294,50000.000,0
401,0.000,0.000,50000.000,14.941,37.353,50000.000,0
451,0.000,0.000,50000.000,0.000,44.824,50000.000,0
501,0.000,0.000,50000.000,0.000,22.412,50000.000,0
551,0.000,-1464.235,50000.000,0.000,14.941,50000.000,0
601,7.471,-29.882,50000.000,0.000,7.471,50000.000,0
651,7.471,-22.412,50000.000,0.000,0.000,50000.000,0
701,7.471,-7.471,50000.000,14.941,-7.471,50000.000,0
751,22.412,-14.941,50000.000,7.471,-14.941,50000.000,0
801,7.471,-7.471,50000.000,0.000,-37.353,50000.000,0
851,22.412,-14.941,50000.000,7.471,-37.353,50000.000,0
901,7.471,-14.941,50000.000,14.941,-44.824,50000.000,0
951,14.941,-14.941,50000.000,14.941,-37.353,50000.000,0
1001,14.941,-7.471,50000.000,7.471,-37.353,50000.000,0
1051,29.882,-14.941,50000.000,7.471,-44.824,50000.000,0
1101,7.471,-7.471,50000.000,14.941,-37.353,50000.000,0
1151,7.471,-7.471,50000.000,0.000,-14.941,50000.000,0
1201,0.000,-7.471,50000.000,0.000,-7.471,50000.000,0
1251,7.471,0.000,50000.000,0.000,-7.471,50000.000,0
1301,0.000,0.000,50000.000,0.000,0.000,50000.000,0
1351,0.000,0.000,50000.000,0.000,0.000,50000.000,0
1401,-7.471,0.000,50000.000,0.000,0.000,50000.000,0
1451,0.000,0.000,50000.000,0.000,0.000,50002.000,0
1501,0.000,0.000,50000.000,0.000,-14.941,50000.000,0
1551,-7.471,7.471,50000.000,0.000,-29.882,50000.000,0
1601,-7.471,7.471,50000.000,-7.471,14.941,50000.000,0
1651,-22.412,22.412,50000.000,0.000,22.412,50000.000,0
1701,-14.941,0.000,50000.000,-7.471,22.412,50000.000,0
1751,-22.412,22.412,50000.000,-7.471,22.412,50000.000,0
1801,-7.471,0.000,50000.000,-7.471,44.824,50000.000,0
1851,-7.471,7.471,50000.000,-14.941,14.941,50000.000,0
1901,-7.471,14.941,50000.000,-7.471,14.941,50000.000,0
1951,-7.471,14.941,50000.000,-7.471,0.000,50000.000,0
2001,-7.471,7.471,50000.000,0.000,0.000,50000.000,0
2051,0.000,7.471,50000.000,0.000,0.000,50000.000,0
2101,0.000,0.000,50000.000,-7.471,-14.941,50000.000,0
2151,0.000,0.000,50000.000,-7.471,-29.882,50000.000,0
2201,0.000,0.000,50000.000,-14.941,-14.941,50000.000,0
2251,0.000,0.000,50000.000,0.000,-22.412,50000.000,0
2301,0.000,0.000,50000.000,-7.471,-29.882,50000.000,0
2351,0.000,0.000,50000.000,-7.471,-44.824,50000.000,0
2401,0.000,0.000,50000.000,-7.471,-29.882,50000.000,0
2451,0.000,0.000,50000.000,0.000,-37.353,50000.000,0
2501,0.000,-7.471,50000.000,-7.471,0.000,50000.000,0
2551,7.471,-29.882,50000.000,-7.471,-7.471,50000.000,0
2601,-7.471,-22.412,50000.000,-7.471,-14.941,50000.000,0
2651,0.000,-7.471,50000.000,0.000,-7.471,50000.000,0
2701,7.471,-29.882,50000.000,-22.412,0.000,50000.000,0
2751,0.000,-7.471,50000.000,-7.471,0.000,50000.000,0
2801,0.000,-29.882,50000.000,-7.471,0.000,50000.000,0
2851,-7.471,-7.471,50000.000,-7.471,14.941,50000.000,0
2901,-7.471,-7.471,50000.000,-7.471,14.941,50000.000,0
2951,-7.471,-7.471,50000.000,-7.471,22.412,50000.000,0
3001,0.000,0.000,50000.000,-14.941,7.471,50000.000,0
3051,-7.471,0.000,50000.000,0.000,14.941,50000.000,0
3101,-22.412,0.000,50000.000,-7.471,29.882,50000.000,0
3151,0.000,0.000,50000.000,0.000,7.471,50000.000,0
3201,-14.941,22.412,50000.000,-14.941,22.412,50000.000,0
3251,-7.471,14.941,50000.000,0.000,14.941,50000.000,0
3301,0.000,0.000,50000.000,0.000,0.000,50000.000,0
3351,-7.471,22.412,50000.000,0.000,0.000,50000.000,0
3401,0.000,7.471,50000.000,0.000,0.000,50000.000,0
3451,-7.471,14.941,50000.000,0.000,0.000,50000.000,0
3501,0.000,14.941,50000.000,7.471,-1680.882,50000.000,0
3551,14.941,29.882,50000.000,37.353,-7.471,50000.000,0
3601,7.471,22.412,50000.000,44.824,-22.412,50000.000,0
3651,14.941,14.941,50000.000,0.000,-7.471,50000.000,0
3701,22.412,14.941,50000.000,0.000,-14.941,50000.000,0
3751,0.000,7.471,50002.000,0.000,-14.941,50000.000,0
3801,0.000,0.000,49999.000,7.471,-7.471,49999.000,0
3851,14.941,0.000,49999.000,7.471,-14.941,49999.000,0
3901,7.471,0.000,50000.000,7.471,0.000,50000.000,0
3951,0.000,0.000,50000.000,0.000,0.000,50000.000,0
4001,22.412,-14.941,50000.000,0.000,0.000,50000.000,0
4051,7.471,-14.941,50000.000,0.000,0.000,50000.000,0
4101,7.471,-29.882,50000.000,1912.470,52.294,50000.000,0
4151,7.471,-14.941,50000.000,-14.941,52.294,50000.000,0
4201,0.000,-7.471,50000.000,-29.882,22.412,50000.000,0
4251,7.471,-29.882,50000.000,-37.353,22.412,50000.000,0
4301,14.941,-14.941,50000.000,-7.471,-22.412,50000.000,0
4351,0.000,-22.412,50000.000,-7.471,-7.471,50000.000,0
4401,0.000,0.000,50000.000,0.000,0.000,50000.000,0
4451,0.000,-7.471,50000.000,0.000,0.000,50000.000,0
4501,0.000,-7.471,50000.000,0.000,0.000,50000.000,0
4551,0.000,0.000,50000.000,0.000,7.471,50000.000,0
4601,0.000,0.000,50000.000,0.000,7.471,50000.000,0
4651,0.000,0.000,50000.000,-22.412,-1807.882,50000.000,0
4701,7.471,22.412,50000.000,-14.941,-14.941,50000.000,0
4751,0.000,22.412,50000.000,14.941,-7.471,50000.000,0
4801,7.471,0.000,50000.000,7.471,0.000,50000.000,0
4851,0.000,7.471,50000.000,0.000,0.000,50000.000,0
4901,0.000,7.471,50000.000,0.000,0.000,50000.000,0
4951,0.000,0.000,50000.000,7.471,-14.941,50000.000,0
5001,0.000,14.941,50000.000,0.000,-7.471,50000.000,0
5051,0.000,22.412,50000.000,0.000,0.000,50000.000,0
5101,0.000,14.941,50000.000,0.000,0.000,50000.000,0
5151,0.000,14.941,50000.000,0.000,0.000,50000.000,0
5201,-7.471,14.941,50000.000,0.000,0.000,50000.000,0
5251,0.000,7.471,50000.000,0.000,0.000,50000.000,0
5301,0.000,0.000,50000.000,0.000,0.000,50000.000,0
5351,-7.471,0.000,50000.000,7.471,0.000,50000.000,0
5401,0.000,-7.471,50000.000,7.471,14.941,50000.000,0
5451,-14.941,-7.471,50000.000,0.000,7.471,50000.000,0
5501,-7.471,-7.471,50000.000,-7.471,22.412,50000.000,0
5551,-14.941,-29.882,50000.000,-7.471,7.471,50000.000,0
5601,-7.471,-29.882,50000.000,-14.941,7.471,50000.000,0
5651,-7.471,-7.471,50000.000,0.000,7.471,50000.000,0
5701,0.000,-22.412,50000.000,0.000,0.000,50000.000,0
5751,0.000,-7.471,50000.000,-14.941,0.000,50000.000,0
5801,-7.471,-14.941,50000.000,-7.471,0.000,50000.000,0
5851,0.000,-7.471,50000.000,0.000,0.000,50000.000,0
5901,0.000,-7.471,50000.000,-14.941,-14.941,50000.000,0
5951,-7.471,0.000,50000.000,0.000,-14.941,50000.000,0
6001,0.000,-242891.219,50000.000,0.000,-14.941,50000.000,0
6051,0.000,0.000,50000.000,0.000,-22.412,50000.000,0
6101,0.000,0.000,50000.000,-7.471,-7.471,50000.000,0
6151,0.000,0.000,50000.000,-7.471,-7.471,50000.000,0
6201,0.000,0.000,50000.000,0.000,-22.412,50000.000,0
6251,0.000,0.000,50000.000,0.000,0.000,50000.000,0
6301,0.000,7.471,50000.000,0.000,-7.471,50000.000,0
