timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,0.000,0.000,50159.000,-7.471,0.000,50153.000,0
51,-7082.117,-9196.294,50000.000,-2263.588,231.588,50000.000,0
101,-6798.235,-11609.293,50000.000,-3697.941,-567.765,50000.000,0
151,-5991.411,-11377.705,50000.000,-3526.117,-1143.000,50000.000,0
201,-7567.706,-8987.117,50000.000,-8307.294,-694.765,50000.000,0
251,-9368.117,-5423.646,50000.000,-8426.823,1606.176,50000.000,0
301,-9651.999,-4123.765,50000.000,-5371.353,433.294,49999.000,0
351,-7642.411,-6955.117,50000.000,-4280.647,-1157.941,50000.000,0
401,-5341.470,-10526.059,50000.000,-1292.412,-889.000,50001.000,0
451,-4108.823,-10018.059,50000.000,-1471.706,-1673.412,50000.000,0
501,-5154.706,-7537.823,50000.000,-4736.353,-4078.941,50000.000,0
551,-6858.000,-8621.059,50000.000,-6768.353,-3331.882,49999.000,0
601,-6417.235,-9569.823,50000.000,-6275.293,-2106.706,50000.000,0
651,-6305.176,-12102.353,50000.000,-3533.588,-2061.882,50000.000,0
701,-5453.529,-12998.822,50000.000,-3683.000,-3585.882,50000.000,0
751,-3541.059,-10234.705,50000.000,-2181.412,-3077.882,50001.000,0
801,-3757.706,-10264.588,50000.000,-1359.647,-1867.647,50000.000,0
851,-4758.764,-10981.764,50000.000,-149.412,-112.059,50000.000,0
901,-6013.823,-11594.353,50000.000,-2203.823,-1165.412,50000.000,0
951,-4930.588,-11519.646,50000.000,-4743.823,-3473.823,50000.000,0
1001,-4265.706,-10720.293,50000.000,-5035.176,-4721.412,49999.000,0
1051,-4549.588,-10794.999,50000.000,-1165.412,-1471.706,50000.000,0
1101,-3660.588,-10115.176,50000.000,-1516.529,-1643.529,50001.000,0
1151,-3608.294,-11243.234,50000.000,-4893.235,-3085.353,50000.000,0
1201,-5416.176,-11818.470,50000.000,-4900.706,-1344.706,49999.000,0
1251,-6140.823,-11997.764,50000.000,-2943.412,-1322.294,50001.000,0
1301,-4019.176,-9480.176,50000.000,-2121.647,-1897.529,50000.000,0
1351,-4071.470,-9106.646,50000.000,-2614.706,-2928.470,50000.000,0
1401,-5139.764,-10399.059,50000.000,-3421.529,-2637.117,50000.000,0
1451,-5901.764,-9965.764,50000.000,-4459.941,-1053.353,50000.000,0
1501,-6282.764,-9241.117,50000.000,-6887.882,104.588,50000.000,0
1551,-6678.706,-9644.528,50000.000,-5319.059,-1486.647,49999.000,0
1601,-5341.470,-9719.234,50000.000,-3996.764,-3279.588,50001.000,0
1651,-4310.529,-9532.470,50000.000,-5348.941,-5281.706,50000.000,0
1701,-4280.647,-9778.999,50000.000,-4131.235,-4131.235,50000.000,0
1751,-5169.646,-11295.528,50000.000,-2427.941,-1329.765,50000.000,0
1801,-5722.470,-10511.117,50000.000,-3511.176,-627.529,50000.000,0
1851,-5834.529,-10533.528,50000.000,-7201.646,-3130.176,50000.000,0
1901,-4303.059,-9084.234,50000.000,-5849.470,-4840.941,50000.000,0
1951,-3660.588,-7328.646,50000.000,-1651.000,-1949.823,50000.000,0
2001,-3302.000,-6327.588,50000.000,-2330.823,-3167.529,50000.000,0
2051,-3137.647,-8359.588,50000.000,-2457.823,-3249.706,50000.000,0
2101,-4235.823,-10003.117,50000.000,-2652.059,-1546.412,50000.000,0
2151,-4572.000,-10847.293,50000.000,-1815.353,-762.000,49999.000,0
2201,-4654.176,-9435.353,50000.000,-164.353,-59.765,50001.000,0
2251,-3593.353,-7814.235,50000.000,-575.235,-635.000,49999.000,0
2301,-3182.470,-6618.941,50000.000,-1680.882,-2024.529,50000.000,0
2351,-2921.000,-7418.293,50000.000,-3189.941,-4123.765,50001.000,0
2401,-3668.059,-9405.470,50000.000,-4191.000,-2667.000,49999.000,0
2451,-5311.588,-9510.059,50000.000,-4803.588,-1060.823,50000.000,0
2501,-5005.294,-10675.470,50000.000,-1292.412,-209.176,50001.000,0
2551,-3668.059,-9816.353,50000.000,-104.588,-52.294,50000.000,0
2601,-3466.353,-9577.294,50000.000,-1636.059,-1449.294,50000.000,0
2651,-4161.117,-9069.294,50000.000,-2831.353,-2652.059,50000.000,0
2701,-4773.706,-11258.176,50000.000,-4318.000,-2786.529,50000.000,0
2751,-5080.000,-11205.882,50000.000,-6491.941,-2420.470,50000.000,0
2801,-6096.000,-10533.528,50000.000,-5729.941,-948.765,50000.000,0
2851,-6163.235,-10047.940,50000.000,-4213.412,-2024.529,50000.000,0
2901,-4512.235,-9995.646,50000.000,-3219.823,-2540.000,50000.000,0
2951,-4624.294,-10488.705,50000.000,-866.588,-918.882,49999.000,0
3001,-5102.412,-11220.823,50000.000,-881.529,-814.294,50000.000,0
3051,-5983.941,-10488.705,50000.000,-366.059,-254.000,50000.000,0
3101,-5565.588,-9211.234,50000.000,-1994.647,-351.118,50001.000,0
3151,-5804.646,-8964.705,50000.000,-6820.646,-4123.765,49999.000,0
3201,-3966.882,-7806.764,50000.000,-5520.764,-5229.412,50001.000,0
3251,-3615.764,-6036.235,50000.000,-1352.176,-1651.000,50000.000,0
3301,-3488.764,-6312.646,50000.000,-2233.706,-2906.059,50000.000,0
3351,-4295.588,-8904.940,50000.000,-3189.941,-2801.470,50000.000,0
3401,-5319.059,-8568.764,50000.000,-3570.941,-1382.059,50000.000,0
3451,-5722.470,-8411.882,50000.000,-2353.235,-321.235,50000.000,0
3501,-4400.176,-8777.940,50000.000,-119.529,-22.412,50000.000,0
3551,-3369.235,-7911.353,50000.000,-1083.235,-1217.706,50000.000,0
3601,-3697.941,-5752.353,50000.000,-2681.941,-3167.529,50000.000,0
3651,-3160.059,-6409.764,50000.000,-1277.470,-1516.529,50000.000,0
3701,-3660.588,-9166.411,50000.000,-4131.235,-3249.706,50000.000,0
3751,-5042.646,-9651.999,50000.000,-4601.882,-1292.412,50000.000,0
3801,-5819.588,-8546.353,50000.000,-5961.529,-1292.412,49999.000,0
