timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]waterPin
1,,,10153.000,,,10154.000,0
10463,,,10000.000,,,10000.000,0
20426,,,10000.000,,,10000.000,0
30426,,,10000.000,,,10000.000,0
40426,,,10000.000,,,10000.000,0
50426,,,10000.000,,,10000.000,0
60426,,,10000.000,,,10000.000,0
70426,,,10000.000,,,10000.000,0
80426,,,10000.000,,,10000.000,0
90426,,,10000.000,,,10000.000,0
100426,,,10000.000,,,10000.000,0
110431,,,10000.000,,,10000.000,0
120431,,,10000.000,,,10000.000,0
130431,,,10000.000,,,10000.000,0
140431,,,10000.000,,,10000.000,0
150431,,,10000.000,,,10000.000,0
160431,,,10000.000,,,10000.000,0
170431,,,10000.000,,,10000.000,0
180431,,,10000.000,,,10000.000,0
190431,,,10000.000,,,10000.000,0
200431,,,10000.000,,,10000.000,0
210431,,,10000.000,,,10000.000,0
220431,,,10000.000,,,10000.000,0
230431,,,10000.000,,,10000.000,0
240431,,,10000.000,,,10000.000,0
250431,,,10000.000,,,10000.000,0
260431,,,10000.000,,,10000.000,0
270431,,,10000.000,,,10000.000,0
280431,,,10000.000,,,10000.000,0
290431,,,10000.000,,,10000.000,0
300431,,,10000.000,,,10000.000,0
310431,,,10000.000,,,10000.000,0
320431,,,10000.000,,,10000.000,0
330431,,,10000.000,,,10000.000,0
340431,,,10000.000,,,10000.000,0
350431,,,10000.000,,,10000.000,0
360431,,,10000.000,,,10000.000,0
370431,,,10000.000,,,10000.000,0
380431,,,10000.000,,,10000.000,0
390431,,,10000.000,,,10000.000,0
400431,,,10000.000,,,10000.000,0
410431,,,10000.000,,,10000.000,0
420431,,,10000.000,,,10000.000,0
430431,,,10000.000,,,10000.000,0
440431,,,10000.000,,,10000.000,0
450431,,,10000.000,,,10000.000,0
460431,,,10000.000,,,10000.000,0
470431,,,10000.000,,,10000.000,0
480431,,,10000.000,,,10000.000,0
490431,,,10000.000,,,10000.000,0
500431,,,10000.000,,,10000.000,0
510431,,,10000.000,,,10000.000,0
520431,,,10000.000,,,10000.000,0
530431,,,10000.000,,,10000.000,0
540431,,,10000.000,,,10000.000,0
550431,,,10000.000,,,10000.000,0
560431,,,10000.000,,,10000.000,0
570431,,,10000.000,,,10000.000,0
580431,,,10000.000,,,10000.000,0
590431,,,10000.000,,,10000.000,0
600431,,,10000.000,,,10000.000,0
610431,,,10000.000,,,10000.000,0
620431,,,10000.000,,,10000.000,0
630431,,,10000.000,,,10000.000,0
640431,,,10000.000,,,10000.000,0
650431,,,10000.000,,,10000.000,0
660431,,,10000.000,,,10000.000,0
670431,,,10000.000,,,10000.000,0
680431,,,10000.000,,,10000.000,0
690431,,,10000.000,,,10000.000,0
700431,,,10000.000,,,10000.000,0
710431,,,10000.000,,,10000.000,0
720431,,,10000.000,,,10000.000,0
730431,,,10000.000,,,10000.000,0
740431,,,10000.000,,,10000.000,0
750431,,,10000.000,,,10000.000,0
760431,,,10000.000,,,10000.000,0
770431,,,10000.000,,,10000.000,0
780431,,,10000.000,,,10000.000,0
