timestamp[ms],left_dx[um],left_dy[um],left_dt[us],motL,right_dx[um],right_dy[um],right_dt[us],motR,waterPin
0,89.647,-164.353,20309.000,0,0.000,0.000,20307.000,0,0
21,89.647,-164.353,40309.000,0,0.000,0.000,40307.000,0,0
41,89.647,-164.353,60309.000,0,0.000,0.000,60307.000,0,0
61,89.647,-164.353,80309.000,0,0.000,0.000,80307.000,0,0
81,89.647,-164.353,100309.000,0,0.000,0.000,100307.000,0,0
101,89.647,-164.353,120309.000,0,0.000,0.000,120307.000,0,0
121,89.647,-164.353,140309.000,0,0.000,0.000,140307.000,0,0
141,89.647,-164.353,160309.000,0,0.000,0.000,160307.000,0,0
161,89.647,-164.353,180309.000,0,0.000,0.000,180307.000,0,0
181,89.647,-164.353,200309.000,0,0.000,0.000,200307.000,0,0
201,89.647,-164.353,220309.000,0,0.000,0.000,220307.000,0,0
221,89.647,-164.353,240309.000,0,0.000,0.000,240307.000,0,0
241,89.647,-164.353,260309.000,0,0.000,0.000,260307.000,0,0
261,89.647,-164.353,280309.000,0,0.000,0.000,280307.000,0,0
281,89.647,-164.353,300309.000,0,0.000,0.000,300307.000,0,0
301,89.647,-164.353,320309.000,0,0.000,0.000,320307.000,0,0
321,89.647,-164.353,340309.000,0,0.000,0.000,340307.000,0,0
341,89.647,-164.353,360309.000,0,0.000,0.000,360307.000,0,0
361,89.647,-164.353,380309.000,0,0.000,0.000,380307.000,0,0
381,89.647,-164.353,400309.000,0,0.000,0.000,400307.000,0,0
401,89.647,-164.353,420309.000,0,0.000,0.000,420307.000,0,0
421,89.647,-164.353,440309.000,0,0.000,0.000,440307.000,0,0
441,89.647,-164.353,460309.000,0,0.000,0.000,460307.000,0,0
461,89.647,-164.353,480309.000,0,0.000,0.000,480307.000,0,0
481,89.647,-164.353,500309.000,0,0.000,0.000,500307.000,0,0
501,89.647,-164.353,520309.000,0,0.000,0.000,520307.000,0,0
521,89.647,-164.353,540309.000,0,0.000,0.000,540307.000,0,0
541,89.647,-164.353,560309.000,0,0.000,0.000,560307.000,0,0
561,89.647,-164.353,580309.000,0,0.000,0.000,580307.000,0,0
581,89.647,-164.353,600309.000,0,0.000,0.000,600307.000,0,0
601,89.647,-164.353,620309.000,0,0.000,0.000,620307.000,0,0
621,89.647,-164.353,640309.000,0,0.000,0.000,640307.000,0,0
641,89.647,-164.353,660309.000,0,0.000,0.000,660307.000,0,0
