timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]waterPin
1,,,50154.000,,,50153.000,0
50485,,,50000.000,,,50000.000,0
100428,,,50000.000,,,50000.000,0
150432,,,50000.000,,,50000.000,0
200432,,,50000.000,,,50000.000,0
250432,,,50000.000,,,50000.000,0
300432,,,50000.000,,,50000.000,0
350432,,,50000.000,,,50000.000,0
400432,,,50000.000,,,50000.000,0
450432,,,50000.000,,,50000.000,0
500432,,,50000.000,,,50000.000,0
550432,,,50000.000,,,50000.000,0
600432,,,50000.000,,,50000.000,0
650432,,,50000.000,,,50000.000,0
700432,,,50000.000,,,50000.000,0
750432,,,50000.000,,,50000.000,0
800432,,,50000.000,,,50000.000,0
850432,,,50000.000,,,50000.000,0
900432,,,50000.000,,,50000.000,0
950432,,,50000.000,,,50000.000,0
1000432,,,50000.000,,,50000.000,0
1050433,,,50000.000,,,50000.000,0
1100433,,,50000.000,,,50000.000,0
1150433,,,50000.000,,,50000.000,0
1200433,,,50000.000,,,50000.000,0
1250433,,,50000.000,,,50000.000,0
1300433,,,50000.000,,,50000.000,0
1350433,,,50000.000,,,50000.000,0
1400433,,,50000.000,,,50000.000,0
1450433,,,50000.000,,,50000.000,0
1500433,,,50000.000,,,50000.000,0
1550433,,,50000.000,,,50000.000,0
1600433,,,50000.000,,,50000.000,0
1650433,,,50000.000,,,50000.000,0
1700433,,,50000.000,,,50000.000,0
1750433,,,50000.000,,,50000.000,0
1800433,,,50000.000,,,50000.000,0
1850433,,,50000.000,,,50000.000,0
1900433,,,50000.000,,,50000.000,0
1950433,,,50000.000,,,50000.000,0
2000433,,,50000.000,,,50000.000,0
2050433,,,50000.000,,,50000.000,0
2100433,,,50000.000,,,50000.000,0
2150433,,,50000.000,,,50000.000,0
2200433,,,50000.000,,,50000.000,0
2250433,,,50000.000,,,50000.000,0
2300433,,,50000.000,,,50000.000,0
2350433,,,50000.000,,,50000.000,0
2400433,,,50000.000,,,50000.000,0
2450433,,,50000.000,,,50000.000,0
2500433,,,50000.000,,,50000.000,0
2550433,,,50000.000,,,50000.000,0
2600433,,,50000.000,,,50000.000,0
2650433,,,50000.000,,,50000.000,0
2700433,,,50000.000,,,50000.000,0
2750433,,,50000.000,,,50000.000,0
2800433,,,50000.000,,,50000.000,0
2850433,,,50000.000,,,50000.000,0
2900433,,,50000.000,,,50000.000,0
2950433,,,50000.000,,,50000.000,0
3000433,,,50000.000,,,50000.000,0
3050433,,,50000.000,,,50000.000,0
3100433,,,50000.000,,,50000.000,0
3150433,,,50000.000,,,50000.000,0
3200433,,,50000.000,,,50000.000,0
