timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]waterPin
1,,,50154.000,,,50153.000,0
50472,,,50000.000,,,50000.000,0
100430,,,50000.000,,,50000.000,0
150435,,,50000.000,,,50000.000,0
200435,,,50000.000,,,50000.000,0
250435,,,50000.000,,,50000.000,0
300435,,,50000.000,,,50000.000,0
350435,,,50000.000,,,50000.000,0
400435,,,50000.000,,,50000.000,0
450435,,,50000.000,,,50000.000,0
500435,,,50000.000,,,50000.000,0
550435,,,50000.000,,,50000.000,0
600435,,,50000.000,,,50000.000,0
650435,,,50000.000,,,50000.000,0
700435,,,50000.000,,,50000.000,0
750435,,,50000.000,,,50000.000,0
800435,,,50000.000,,,50000.000,0
850435,,,50000.000,,,50000.000,0
900435,,,50000.000,,,50000.000,0
950435,,,50000.000,,,50000.000,0
1000435,,,50000.000,,,50000.000,0
1050435,,,50000.000,,,50000.000,0
1100435,,,50000.000,,,50000.000,0
1150435,,,50000.000,,,50000.000,0
1200435,,,50000.000,,,50000.000,0
1250435,,,50000.000,,,50000.000,0
1300435,,,50000.000,,,50000.000,0
1350435,,,50000.000,,,50000.000,0
1400435,,,50000.000,,,50000.000,0
1450435,,,50000.000,,,50000.000,0
1500435,,,50000.000,,,50000.000,0
1550435,,,50000.000,,,50000.000,0
1600435,,,50000.000,,,50000.000,0
1650435,,,50000.000,,,50000.000,0
1700435,,,50000.000,,,50000.000,0
1750435,,,50000.000,,,50000.000,0
1800435,,,50000.000,,,50000.000,0
1850436,,,50000.000,,,50000.000,0
1900435,,,50000.000,,,50000.000,0
1950435,,,50000.000,,,50000.000,0
2000435,,,50000.000,,,50000.000,0
2050435,,,50000.000,,,50000.000,0
2100435,,,50000.000,,,50000.000,0
2150435,,,50000.000,,,50000.000,0
2200435,,,50000.000,,,50000.000,0
2250436,,,50000.000,,,50000.000,0
2300436,,,50000.000,,,50000.000,0
2350435,,,50000.000,,,50000.000,0
2400435,,,50000.000,,,50000.000,0
2450436,,,50000.000,,,50000.000,0
2500436,,,50000.000,,,50000.000,0
2550435,,,50000.000,,,50000.000,0
2600435,,,50000.000,,,50000.000,0
2650436,,,50000.000,,,50000.000,0
2700435,,,50000.000,,,50000.000,0
2750435,,,50000.000,,,50000.000,0
2800436,,,50000.000,,,50000.000,0
2850435,,,50000.000,,,50000.000,0
2900435,,,50000.000,,,50000.000,0
2950436,,,50000.000,,,50000.000,0
3000435,,,50000.000,,,50000.000,0
3050435,,,50000.000,,,50000.000,0
3100435,,,50000.000,,,50000.000,0
3150436,,,50000.000,,,50000.000,0
3200435,,,50000.000,,,50000.000,0
3250435,,,50000.000,,,50000.000,0
3300435,,,50000.000,,,50000.000,0
3350435,,,50000.000,,,50000.000,0
3400435,,,50000.000,,,50000.000,0
3450435,,,50000.000,,,50000.000,0
3500435,,,50000.000,,,50000.000,0
3550435,,,50000.000,,,50000.000,0
3600435,,,50000.000,,,50000.000,0
3650435,,,50000.000,,,50000.000,0
3700435,,,50000.000,,,50000.000,0
3750435,,,50000.000,,,50000.000,0
3800435,,,50000.000,,,50000.000,0
3850436,,,50000.000,,,50000.000,0
3900435,,,50000.000,,,50000.000,0
3950435,,,50000.000,,,50000.000,0
4000435,,,50000.000,,,50000.000,0
4050435,,,50000.000,,,50000.000,0
4100435,,,50000.000,,,50000.000,0
4150435,,,50000.000,,,50000.000,0
4200435,,,50000.000,,,50000.000,0
4250435,,,50000.000,,,50000.000,0
4300435,,,50000.000,,,50000.000,0
4350435,,,50000.000,,,50000.000,0
4400435,,,50000.000,,,50000.000,0
4450435,,,50000.000,,,50000.000,0
4500435,,,50000.000,,,50000.000,0
4550435,,,50000.000,,,50000.000,0
4600435,,,50000.000,,,50000.000,0
4650435,,,50000.000,,,50000.000,0
4700435,,,50000.000,,,50000.000,0
4750435,,,50000.000,,,50000.000,0
4800435,,,50000.000,,,50000.000,0
4850435,,,50000.000,,,50000.000,0
4900435,,,50000.000,,,50000.000,0
4950435,,,50000.000,,,50000.000,0
5000435,,,50000.000,,,50000.000,0
5050436,,,50000.000,,,50002.000,0
5100450,,,50000.000,,,50000.000,0
5150435,,,50000.000,,,50000.000,0
5200435,,,50000.000,,,50000.000,0
5250436,,,50000.000,,,50000.000,0
5300436,,,50000.000,,,50000.000,0
5350436,,,50000.000,,,50000.000,0
5400436,,,50000.000,,,50000.000,0
5450436,,,50000.000,,,50000.000,0
5500436,,,50000.000,,,50000.000,0
5550436,,,50000.000,,,50000.000,0
5600436,,,50000.000,,,50000.000,0
5650436,,,50000.000,,,50000.000,0
5700436,,,50000.000,,,50000.000,0
5750436,,,50000.000,,,50000.000,0
5800436,,,50000.000,,,50000.000,0
5850436,,,50000.000,,,50000.000,0
5900436,,,50000.000,,,50000.000,0
5950436,,,50000.000,,,50000.000,0
6000436,,,50000.000,,,50000.000,0
6050436,,,50000.000,,,50000.000,0
6100436,,,50000.000,,,50000.000,0
6150436,,,50000.000,,,50000.000,0
6200436,,,50000.000,,,50000.000,0
6250436,,,50000.000,,,50000.000,0
6300436,,,50000.000,,,50000.000,0
6350436,,,50000.000,,,50000.000,0
6400436,,,50000.000,,,50000.000,0
6450436,,,50000.000,,,50000.000,0
6500436,,,50000.000,,,50000.000,0
6550436,,,50000.000,,,50000.000,0
6600436,,,50000.000,,,50000.000,0
6650436,,,50000.000,,,50000.000,0
6700436,,,50000.000,,,50000.000,0
6750436,,,50000.000,,,50000.000,0
6800436,,,50000.000,,,50000.000,0
6850436,,,50000.000,,,50000.000,0
6900436,,,50000.000,,,50000.000,0
6950436,,,50000.000,,,50000.000,0
7000436,,,50000.000,,,50000.000,0
7050436,,,50000.000,,,50000.000,0
7100436,,,50000.000,,,50000.000,0
7150436,,,50000.000,,,50000.000,0
7200436,,,50000.000,,,50000.000,0
7250436,,,50000.000,,,50000.000,0
7300436,,,50000.000,,,50000.000,0
7350436,,,50000.000,,,50000.000,0
7400436,,,50000.000,,,50000.000,0
7450436,,,50000.000,,,50000.000,0
7500436,,,50000.000,,,50000.000,0
7550436,,,50000.000,,,50000.000,0
7600436,,,50000.000,,,50000.000,0
