timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,0.000,0.000,20157.000,25.00,0.000,0.000,20153.000,45.00,0
21,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,45.00,0
41,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,45.00,0
61,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,41.00,0
81,0.000,0.000,20000.000,31.00,0.000,0.000,20000.000,46.00,0
101,0.000,0.000,20000.000,32.00,0.000,0.000,20000.000,46.00,0
121,0.000,0.000,20000.000,29.00,0.000,0.000,20000.000,42.00,0
141,0.000,0.000,20000.000,29.00,0.000,0.000,20000.000,45.00,0
161,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,45.00,0
181,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,44.00,0
201,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,46.00,0
221,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,46.00,0
241,0.000,0.000,20000.000,32.00,0.000,0.000,20000.000,46.00,0
261,0.000,0.000,20000.000,31.00,0.000,0.000,20000.000,43.00,0
281,0.000,0.000,20000.000,30.00,0.000,0.000,20000.000,40.00,0
301,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,40.00,0
321,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,43.00,0
341,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,41.00,0
361,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,41.00,0
381,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,41.00,0
401,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,40.00,0
421,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,43.00,0
441,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,43.00,0
461,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,50.00,0
481,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,44.00,0
501,0.000,0.000,20000.000,23.00,0.000,0.000,20000.000,44.00,0
521,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,43.00,0
541,0.000,0.000,20000.000,30.00,0.000,0.000,20000.000,44.00,0
561,0.000,0.000,20000.000,30.00,0.000,0.000,20000.000,44.00,0
581,0.000,0.000,20000.000,23.00,0.000,0.000,20000.000,44.00,0
601,0.000,0.000,20000.000,19.00,0.000,0.000,20000.000,42.00,0
621,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,44.00,0
641,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,45.00,0
661,0.000,0.000,20000.000,31.00,0.000,0.000,20000.000,45.00,0
681,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,46.00,0
701,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,48.00,0
721,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,48.00,0
741,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,44.00,0
761,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,46.00,0
781,0.000,0.000,20000.000,21.00,0.000,0.000,20000.000,43.00,0
801,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,43.00,0
821,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,46.00,0
841,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,43.00,0
861,0.000,0.000,20000.000,30.00,0.000,0.000,20000.000,43.00,0
881,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,50.00,0
901,0.000,0.000,20000.000,24.00,0.000,0.000,20000.000,41.00,0
921,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,46.00,0
941,0.000,0.000,20000.000,21.00,0.000,0.000,20000.000,46.00,0
961,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,47.00,0
981,0.000,0.000,20000.000,22.00,0.000,0.000,20000.000,45.00,0
1001,0.000,0.000,20000.000,22.00,0.000,0.000,20000.000,45.00,0
1021,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,40.00,0
1041,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,45.00,0
1061,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,46.00,0
1081,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,46.00,0
1101,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,48.00,0
1121,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,46.00,0
1141,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,46.00,0
1161,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,45.00,0
1181,0.000,0.000,20000.000,30.00,0.000,0.000,20000.000,44.00,0
1201,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,43.00,0
1221,0.000,0.000,20000.000,29.00,0.000,0.000,20000.000,43.00,0
1241,0.000,0.000,20000.000,29.00,0.000,0.000,20000.000,45.00,0
1261,0.000,0.000,20000.000,29.00,0.000,0.000,20000.000,45.00,0
1281,0.000,0.000,20000.000,28.00,0.000,0.000,20000.000,45.00,0
1301,0.000,0.000,20000.000,23.00,0.000,0.000,20000.000,40.00,0
1321,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,46.00,0
1341,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,44.00,0
1361,0.000,0.000,20000.000,25.00,0.000,0.000,20000.000,44.00,0
1381,0.000,0.000,20000.000,23.00,0.000,0.000,20000.000,45.00,0
1401,0.000,0.000,20000.000,30.00,0.000,0.000,20000.000,46.00,0
1421,0.000,0.000,20000.000,30.00,0.000,0.000,20000.000,46.00,0
1441,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,44.00,0
1461,0.000,0.000,20000.000,27.00,0.000,0.000,20000.000,43.00,0
1481,0.000,0.000,20000.000,26.00,0.000,0.000,20000.000,49.00,0
