timestamp[ms],left_dx[um],left_dy[um],left_dt[us],leftmotion,right_dx[um],right_dy[um],right_dt[us],rightmotion,waterPin
0,0.000,14.941,50156.000,32,0.000,0.000,50155.000,32,0
51,0.000,22.412,50000.000,160,-14.941,7.471,50000.000,160,0
101,7.471,22.412,50000.000,160,-14.941,22.412,50000.000,160,0
151,14.941,14.941,50000.000,160,-14.941,14.941,50000.000,160,0
201,14.941,22.412,50000.000,160,-29.882,22.412,50000.000,160,0
251,0.000,0.000,50000.000,32,14.941,0.000,50000.000,160,0
301,0.000,-29.882,50000.000,160,29.882,-7.471,50000.000,160,0
351,-14.941,-52.294,50000.000,160,22.412,-37.353,50000.000,160,0
401,0.000,7.471,50002.000,160,0.000,0.000,50000.000,32,0
451,7.471,14.941,50000.000,160,-14.941,29.882,50000.000,160,0
501,7.471,7.471,49998.000,160,0.000,7.471,49999.000,160,0
551,0.000,0.000,50000.000,32,-14.941,7.471,49999.000,160,0
601,0.000,0.000,50000.000,160,-22.412,14.941,50000.000,160,0
651,7.471,0.000,50000.000,160,0.000,7.471,50000.000,160,0
701,0.000,0.000,50000.000,32,14.941,-7.471,50000.000,160,0
751,0.000,-14.941,50000.000,160,22.412,-14.941,50000.000,160,0
801,-7.471,-7.471,50000.000,160,22.412,-7.471,50000.000,160,0
851,-7.471,0.000,50000.000,160,29.882,-14.941,50000.000,160,0
901,0.000,44.824,50000.000,160,-74.706,52.294,50000.000,160,0
951,0.000,0.000,50000.000,32,-14.941,7.471,50000.000,160,0
1001,-7.471,-14.941,50000.000,160,14.941,-14.941,50000.000,160,0
1051,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
1101,5737.411,1441.823,50000.000,160,0.000,-7.471,50000.000,160,0
1151,-7.471,7.471,50000.000,160,-7.471,0.000,50000.000,160,0
1201,0.000,7.471,50000.000,160,0.000,7.471,50000.000,160,0
1251,0.000,0.000,50000.000,160,0.000,0.000,50000.000,32,0
1301,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
1351,0.000,1434.353,50000.000,160,7.471,-7.471,50000.000,160,0
1401,0.000,-1860.176,50000.000,32,14.941,-7.471,50000.000,160,0
1451,0.000,-7.471,50000.000,160,7.471,-7.471,50000.000,160,0
1501,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
1551,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
1601,7.471,0.000,50000.000,160,-7.471,7.471,50000.000,160,0
1651,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
1701,7.471,0.000,50000.000,160,0.000,-1680.882,50000.000,32,0
1751,0.000,0.000,50000.000,32,7.471,-7.471,50000.000,160,0
1801,0.000,14.941,50000.000,32,7.471,-7.471,50000.000,160,0
1851,22.412,14.941,50000.000,160,-29.882,22.412,50000.000,160,0
1901,7.471,7.471,50000.000,160,-7.471,0.000,50000.000,160,0
1951,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
2001,0.000,0.000,50000.000,32,7.471,-7.471,50000.000,160,0
2051,7.471,-7.471,50000.000,160,14.941,0.000,50000.000,160,0
2101,0.000,-14.941,50000.000,160,14.941,-14.941,50000.000,160,0
2151,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
2201,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
2251,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
2301,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
2351,-5744.882,7.471,50000.000,160,0.000,7.471,50000.000,160,0
2401,0.000,7.471,50000.000,160,-22.412,7.471,50000.000,160,0
2451,0.000,7.471,50000.000,160,0.000,0.000,50000.000,32,0
2501,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
2551,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
2601,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
2651,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
2701,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
2751,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
2801,14.941,0.000,50000.000,160,0.000,0.000,50000.000,32,0
