timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,0.000,0.000,50153.000,18.00,0.000,0.000,50153.000,36.000,0
51,358.588,0.000,50000.000,25.00,343.647,-22.412,50000.000,38.000,0
101,291.353,44.824,50000.000,14.00,343.647,0.000,50000.000,38.000,0
151,209.176,59.765,50000.000,22.00,366.059,44.824,50000.000,35.000,0
201,268.941,-14.941,50000.000,16.00,283.882,37.353,50000.000,36.000,0
251,239.059,-22.412,50000.000,19.00,261.471,-14.941,50000.000,33.000,0
301,209.176,29.882,50000.000,19.00,283.882,0.000,50000.000,32.000,0
351,186.765,29.882,50000.000,12.00,171.824,14.941,50000.000,33.000,0
401,179.294,22.412,50000.000,21.00,141.941,22.412,50000.000,36.000,0
451,112.059,52.294,50000.000,12.00,164.353,37.353,50000.000,36.000,0
501,104.588,-7.471,50000.000,17.00,104.588,0.000,50000.000,31.000,0
551,74.706,-22.412,50000.000,16.00,59.765,-7.471,50000.000,39.000,0
601,59.765,0.000,50000.000,16.00,67.235,7.471,50000.000,32.000,0
651,29.882,0.000,50000.000,14.00,22.412,-7.471,50000.000,28.000,0
701,22.412,0.000,50000.000,18.00,0.000,-14.941,50000.000,31.000,0
751,-14.941,29.882,50000.000,13.00,0.000,29.882,50000.000,38.000,0
801,-52.294,-37.353,50000.000,18.00,-52.294,0.000,50000.000,39.000,0
851,-44.824,-52.294,50000.000,14.00,-82.176,-37.353,50000.000,38.000,0
901,-59.765,0.000,50000.000,16.00,-52.294,0.000,50000.000,30.000,0
951,-67.235,0.000,50000.000,17.00,-82.176,-22.412,50000.000,31.000,0
1001,-67.235,7.471,50000.000,16.00,-104.588,-14.941,50000.000,31.000,0
1051,-112.059,37.353,50000.000,13.00,-74.706,0.000,50000.000,32.000,0
1101,-134.471,-14.941,50000.000,16.00,-82.176,-7.471,50000.000,22.000,0
1151,-67.235,-52.294,50000.000,23.00,-104.588,-52.294,50000.000,30.000,0
1201,-112.059,0.000,50000.000,17.00,-82.176,-14.941,50000.000,31.000,0
1251,-74.706,7.471,50000.000,21.00,-74.706,-29.882,50000.000,27.000,0
1301,-29.882,0.000,50000.000,19.00,-74.706,-14.941,50000.000,30.000,0
1351,-59.765,14.941,50000.000,13.00,-22.412,14.941,50000.000,36.000,0
1401,-59.765,-14.941,50000.000,22.00,-59.765,7.471,50000.000,37.000,0
1451,-14.941,-59.765,50000.000,20.00,-29.882,-29.882,50000.000,28.000,0
1501,0.000,7.471,50000.000,19.00,0.000,-14.941,50000.000,32.000,0
1551,0.000,7.471,50000.000,15.00,-7.471,0.000,50000.000,26.000,0
1601,0.000,7.471,50000.000,18.00,14.941,37.353,50000.000,31.000,0
1651,0.000,7.471,50000.000,15.00,14.941,14.941,50000.000,34.000,0
1701,37.353,-22.412,50000.000,14.00,7.471,-7.471,50000.000,32.000,0
1751,74.706,-7.471,50000.000,18.00,59.765,-7.471,50000.000,30.000,0
1801,52.294,0.000,50000.000,17.00,67.235,0.000,50000.000,23.000,0
1851,52.294,-14.941,50000.000,18.00,59.765,-7.471,50000.000,29.000,0
1901,82.176,0.000,50000.000,19.00,44.824,-14.941,50000.000,36.000,0
1951,29.882,59.765,50000.000,17.00,74.706,44.824,50000.000,37.000,0
2001,22.412,-7.471,50000.000,13.00,22.412,7.471,50000.000,32.000,0
2051,52.294,-59.765,50000.000,14.00,7.471,-14.941,50000.000,27.000,0
