timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,0.000,0.000,50153.000,0.000,0.000,50153.000,0
51,134.471,67.235,50000.000,209.176,59.765,50000.000,0
101,149.412,-22.412,50000.000,97.118,-22.412,50000.000,0
151,59.765,-59.765,50000.000,29.882,-67.235,50000.000,0
201,-37.353,-7.471,50000.000,-7.471,-7.471,50000.000,0
251,-59.765,-29.882,50000.000,-119.529,-67.235,50000.000,0
301,-67.235,-59.765,50000.000,-194.235,-127.000,50000.000,0
351,-179.294,0.000,50000.000,-224.118,0.000,50000.000,0
401,-298.824,-7.471,50000.000,-254.000,37.353,50000.000,0
451,-209.176,-44.824,50000.000,-321.235,-67.235,50000.000,0
501,-179.294,-29.882,50000.000,-306.294,-97.118,50000.000,0
551,-306.294,-7.471,50000.000,-343.647,-29.882,50000.000,0
601,-291.353,29.882,50000.000,-298.824,-67.235,50000.000,0
651,-246.529,-7.471,50000.000,-351.118,-37.353,50000.000,0
701,-336.176,-14.941,50000.000,-343.647,0.000,50000.000,0
751,-261.471,-52.294,50000.000,-373.529,-37.353,50000.000,0
801,-261.471,-74.706,50000.000,-373.529,-82.176,50000.000,0
851,-276.412,-22.412,50000.000,-343.647,-52.294,50000.000,0
901,-224.118,-29.882,50000.000,-321.235,-89.647,50000.000,0
951,-224.118,37.353,50000.000,-246.529,-37.353,50000.000,0
1001,-246.529,0.000,50000.000,-246.529,22.412,50000.000,0
1051,-186.765,-52.294,50000.000,-261.471,-22.412,50000.000,0
1101,-127.000,-89.647,50000.000,-239.059,-82.176,50000.000,0
1151,-156.882,-37.353,50000.000,-231.588,22.412,50000.000,0
1201,-112.059,29.882,50000.000,-104.588,-37.353,50000.000,0
1251,-82.176,59.765,50000.000,-67.235,14.941,50000.000,0
1301,-89.647,0.000,50000.000,-59.765,29.882,50000.000,0
1351,-14.941,-29.882,50000.000,-59.765,-7.471,50000.000,0
1401,0.000,-37.353,50000.000,-29.882,-59.765,50000.000,0
1451,0.000,0.000,50000.000,0.000,-14.941,50000.000,0
1501,7.471,0.000,50000.000,29.882,-44.824,50000.000,0
1551,52.294,29.882,50000.000,52.294,-14.941,50000.000,0
1601,22.412,14.941,50000.000,82.176,44.824,50000.000,0
1651,29.882,-7.471,50000.000,52.294,22.412,50000.000,0
1701,97.118,-37.353,50000.000,-14.941,22.412,50000.000,0
1751,67.235,-14.941,50000.000,97.118,-29.882,50000.000,0
1801,89.647,7.471,50000.000,89.647,-52.294,50000.000,0
1851,119.529,22.412,50000.000,82.176,-22.412,50000.000,0
1901,29.882,14.941,50000.000,97.118,37.353,50000.000,0
1951,29.882,0.000,50000.000,59.765,14.941,50000.000,0
2001,59.765,-29.882,50000.000,37.353,-29.882,50000.000,0
2051,22.412,-7.471,50000.000,29.882,-22.412,50000.000,0
2101,0.000,-7.471,50000.000,7.471,-44.824,50000.000,0
2151,22.412,-22.412,50000.000,0.000,-67.235,50000.000,0
2201,0.000,0.000,50000.000,-7.471,0.000,50000.000,0
2251,-52.294,0.000,50000.000,0.000,37.353,50000.000,0
2301,-14.941,-7.471,50000.000,-52.294,-14.941,50000.000,0
2351,-22.412,-52.294,50000.000,-59.765,-59.765,50000.000,0
2401,-67.235,-44.824,50000.000,-29.882,-37.353,50000.000,0
2451,-37.353,-22.412,50000.000,-74.706,-52.294,50000.000,0
2501,-67.235,0.000,50000.000,-82.176,14.941,50000.000,0
2551,-104.588,0.000,50000.000,-67.235,37.353,50000.000,0
2601,-52.294,-37.353,50000.000,-104.588,-29.882,50000.000,0
2651,-59.765,-37.353,50000.000,-89.647,-74.706,50000.000,0
2701,-67.235,-22.412,50000.000,-67.235,-44.824,50000.000,0
2751,-89.647,22.412,50000.000,-127.000,0.000,50000.000,0
2801,-119.529,-22.412,50000.000,-112.059,29.882,50000.000,0
2851,-74.706,-44.824,50000.000,-89.647,-22.412,50000.000,0
2901,-67.235,-52.294,50000.000,-112.059,-97.118,50000.000,0
2951,-67.235,-7.471,50000.000,-89.647,-82.176,50000.000,0
3001,-112.059,0.000,50000.000,-89.647,44.824,50000.000,0
3051,-149.412,-29.882,50000.000,-127.000,74.706,50000.000,0
3101,-112.059,-52.294,50000.000,-179.294,-97.118,50000.000,0
3151,-97.118,7.471,50000.000,-216.647,-179.294,50000.000,0
3201,-321.235,89.647,50000.000,-216.647,0.000,50000.000,0
3251,-276.412,-67.235,50000.000,-321.235,-127.000,50000.000,0
3301,-186.765,-97.118,50000.000,-463.176,-14.941,50000.000,0
3351,-418.353,-29.882,50000.000,-321.235,14.941,50000.000,0
3401,-328.706,-67.235,50000.000,-298.824,-52.294,50000.000,0
3451,-216.647,-246.529,50000.000,-433.294,-52.294,50000.000,0
3501,-336.176,14.941,50000.000,-261.471,59.765,50000.000,0
3551,-283.882,156.882,50000.000,-156.882,29.882,50000.000,0
3601,-171.824,0.000,50000.000,-246.529,-82.176,50000.000,0
3651,-194.235,-59.765,50000.000,-276.412,-104.588,50000.000,0
3701,-313.765,-44.824,50000.000,-306.294,29.882,50000.000,0
3751,-388.471,-44.824,50000.000,-358.588,82.176,50000.000,0
3801,-268.941,-82.176,50000.000,-343.647,-119.529,50000.000,0
3851,-186.765,-89.647,50000.000,-366.059,-179.294,50000.000,0
3901,-366.059,-22.412,50000.000,-388.471,89.647,50000.000,0
3951,-381.000,14.941,50000.000,-336.176,89.647,50000.000,0
4001,-224.118,-22.412,50000.000,-328.706,-74.706,50000.000,0
4051,-179.294,-44.824,50000.000,-366.059,-149.412,50000.000,0
4101,-306.294,0.000,50000.000,-283.882,0.000,50000.000,0
4151,-328.706,0.000,50000.000,-276.412,74.706,50000.000,0
4201,-171.824,0.000,50000.000,-298.824,-14.941,50000.000,0
4251,-112.059,-37.353,50000.000,-298.824,-97.118,50000.000,0
4301,-194.235,-22.412,50000.000,-186.765,-22.412,50000.000,0
4351,-179.294,-22.412,50000.000,-171.824,-37.353,50000.000,0
4401,-97.118,-29.882,50000.000,-179.294,-97.118,50000.000,0
4451,-82.176,0.000,50000.000,-112.059,67.235,50000.000,0
4501,-164.353,7.471,50000.000,-89.647,44.824,50000.000,0
4551,-37.353,-37.353,50000.000,-127.000,-156.882,50000.000,0
4601,-37.353,-52.294,50000.000,-141.941,0.000,50000.000,0
4651,-134.471,52.294,50000.000,-22.412,119.529,50000.000,0
4701,-29.882,14.941,50000.000,-29.882,-44.824,50000.000,0
4751,29.882,-29.882,50000.000,-82.176,-186.765,50000.000,0
4801,-44.824,7.471,50000.000,-37.353,97.118,50000.000,0
4851,-74.706,44.824,50000.000,22.412,97.118,50000.000,0
4901,52.294,-7.471,50000.000,0.000,-134.471,50000.000,0
4951,52.294,-52.294,50000.000,14.941,-119.529,50000.000,0
5001,-29.882,22.412,50000.000,14.941,134.471,50000.000,0
5051,7.471,22.412,50000.000,67.235,44.824,50000.000,0
5101,119.529,-22.412,50000.000,44.824,-67.235,50000.000,0
5151,59.765,-37.353,50000.000,67.235,-14.941,50000.000,0
5201,14.941,0.000,50000.000,97.118,59.765,50000.000,0
5251,97.118,-14.941,50000.000,89.647,-74.706,50000.000,0
5301,104.588,0.000,50000.000,89.647,-37.353,50000.000,0
5351,0.000,7.471,50000.000,89.647,74.706,50000.000,0
5401,22.412,14.941,50000.000,67.235,59.765,50000.000,0
5451,67.235,-22.412,50000.000,44.824,-52.294,50000.000,0
5501,44.824,-22.412,50000.000,59.765,-22.412,50000.000,0
5551,14.941,0.000,50000.000,59.765,0.000,50000.000,0
5601,59.765,0.000,50000.000,37.353,-29.882,50000.000,0
5651,52.294,-7.471,50000.000,22.412,0.000,50000.000,0
5701,7.471,0.000,50000.000,59.765,44.824,50000.000,0
5751,37.353,0.000,50000.000,29.882,0.000,50000.000,0
5801,67.235,0.000,50000.000,44.824,-37.353,50000.000,0
5851,22.412,0.000,50000.000,52.294,0.000,50000.000,0
5901,37.353,0.000,50000.000,52.294,0.000,50000.000,0
5951,59.765,0.000,50000.000,59.765,-59.765,50000.000,0
6001,29.882,14.941,50000.000,59.765,44.824,50000.000,0
6051,22.412,22.412,50000.000,67.235,52.294,50000.000,0
6101,89.647,0.000,50000.000,59.765,-14.941,50000.000,0
6151,52.294,-7.471,50000.000,82.176,-37.353,50000.000,0
6201,37.353,7.471,50000.000,67.235,0.000,50000.000,0
6251,67.235,0.000,50000.000,59.765,-22.412,50000.000,0
6301,59.765,7.471,50000.000,59.765,7.471,50000.000,0
6351,0.000,0.000,50000.000,67.235,67.235,50000.000,0
6401,44.824,0.000,50000.000,44.824,14.941,50000.000,0
6451,67.235,-14.941,50000.000,44.824,-22.412,50000.000,0
6501,37.353,7.471,50000.000,59.765,0.000,50000.000,0
6551,7.471,7.471,50000.000,22.412,0.000,50000.000,0
6601,37.353,-14.941,50000.000,7.471,-74.706,50000.000,0
6651,14.941,7.471,50000.000,14.941,14.941,50000.000,0
6701,-22.412,14.941,50000.000,7.471,89.647,50000.000,0
6751,0.000,-7.471,50000.000,0.000,0.000,50000.000,0
6801,0.000,-22.412,50000.000,-7.471,-22.412,50000.000,0
6851,-14.941,-7.471,50000.000,-7.471,0.000,50000.000,0
6901,-7.471,-7.471,50000.000,0.000,-14.941,50000.000,0
6951,0.000,0.000,50000.000,-29.882,-22.412,50000.000,0
7001,-29.882,14.941,50000.000,-14.941,52.294,50000.000,0
7051,-14.941,0.000,50000.000,-14.941,14.941,50000.000,0
7101,14.941,-22.412,50000.000,-37.353,-22.412,50000.000,0
7151,0.000,0.000,50000.000,-14.941,-44.824,50000.000,0
7201,-7.471,0.000,50000.000,-7.471,-7.471,50000.000,0
7251,0.000,14.941,50000.000,-14.941,7.471,50000.000,0
7301,-7.471,0.000,50000.000,-14.941,44.824,50000.000,0
7351,-14.941,-14.941,50000.000,-14.941,14.941,50000.000,0
7401,0.000,0.000,50000.000,-7.471,0.000,50000.000,0
7451,14.941,-7.471,50000.000,7.471,-37.353,50000.000,0
7501,7.471,0.000,50000.000,7.471,-29.882,50000.000,0
7551,0.000,0.000,50000.000,0.000,22.412,50000.000,0
7601,0.000,0.000,50000.000,0.000,7.471,50000.000,0
7651,7.471,-29.882,50000.000,-14.941,-7.471,50000.000,0
7701,14.941,0.000,50000.000,-7.471,-52.294,50000.000,0
7751,0.000,29.882,50000.000,7.471,44.824,50000.000,0
7801,0.000,7.471,50000.000,22.412,52.294,50000.000,0
7851,22.412,-22.412,50000.000,0.000,-14.941,50000.000,0
7901,29.882,-22.412,50000.000,0.000,-44.824,50000.000,0
7951,0.000,0.000,50000.000,37.353,-22.412,50000.000,0
8001,29.882,14.941,50000.000,22.412,0.000,50000.000,0
8051,7.471,0.000,50000.000,0.000,22.412,50000.000,0
8101,7.471,0.000,50000.000,0.000,22.412,50000.000,0
8151,37.353,-22.412,50000.000,14.941,-22.412,50000.000,0
8201,37.353,-7.471,50000.000,14.941,-29.882,50000.000,0
8251,29.882,14.941,50000.000,52.294,-37.353,50000.000,0
8301,14.941,14.941,50000.000,29.882,29.882,50000.000,0
8351,0.000,0.000,50000.000,22.412,29.882,50000.000,0
8401,37.353,-29.882,50000.000,14.941,0.000,50000.000,0
8451,37.353,-22.412,50000.000,29.882,-59.765,50000.000,0
8501,44.824,7.471,50000.000,44.824,22.412,50000.000,0
8551,7.471,7.471,50000.000,74.706,67.235,50000.000,0
8601,97.118,-44.824,50000.000,119.529,-44.824,50000.000,0
8651,156.882,-29.882,50000.000,134.471,67.235,50000.000,0
8701,149.412,89.647,50000.000,276.412,127.000,50000.000,0
8751,313.765,104.588,50000.000,381.000,-89.647,50000.000,0
