timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,14.941,0.000,50155.000,37.353,0.000,50155.000,0
51,4116.294,-2039.470,50000.000,5094.941,560.294,50000.000,0
101,3937.000,-1314.823,50000.000,4138.706,-1516.529,50000.000,0
151,5363.882,-194.235,50000.000,5162.176,-5647.764,50000.000,0
201,5767.294,-2173.941,50000.000,4489.823,-6178.176,50000.000,0
251,4168.588,-4878.294,50000.000,2913.529,-1845.235,50000.000,0
301,3384.176,-5931.646,50000.000,2532.529,1927.412,50000.000,0
351,3645.647,-3615.764,50000.000,3130.176,-358.588,50000.000,0
401,5446.059,545.353,50000.000,4579.470,-6088.529,50000.000,0
451,6073.588,2435.412,50000.000,5602.941,-8038.353,50000.000,0
501,6514.353,1643.529,50000.000,5490.882,-6828.117,50000.000,0
551,7321.176,784.412,50000.000,6850.529,-5341.470,50000.000,0
601,8479.117,-1411.941,50000.000,8292.353,-5094.941,50000.000,0
651,9876.117,-3697.941,50000.000,9009.528,-5446.059,50000.000,0
701,11870.764,-2801.470,50000.000,11175.999,-5580.529,50000.000,0
751,12901.705,-470.647,50000.000,12535.646,-5334.000,50000.000,0
801,13424.646,597.647,50000.000,13148.234,-5461.000,50000.000,0
851,12789.646,2532.529,50000.000,13372.352,-3787.588,50000.000,0
901,13252.822,2876.176,50000.000,15157.822,-3847.353,50000.000,0
951,15299.764,-859.118,50000.000,15202.646,-4213.412,50000.000,0
1001,14350.999,-2928.470,50000.000,13476.940,-1651.000,50000.000,0
1051,13902.764,-1531.470,50000.000,16069.234,-291.353,50000.000,0
1101,16375.528,911.412,50000.000,18295.469,-59.765,50000.000,0
1151,16143.940,2017.059,50000.000,18527.057,-941.294,50000.000,0
1201,15897.411,2256.117,50000.000,19244.234,-1501.588,50000.000,0
1251,14731.999,1673.412,50000.000,19117.234,-851.647,50000.000,0
1301,17384.059,-82.176,50000.000,20275.176,-3152.588,50000.000,0
1351,19124.705,-1255.059,50000.000,20163.117,-6081.059,50000.000,0
1401,14993.470,-672.353,50000.000,20760.764,-5274.235,50000.000,0
1451,13723.470,1135.529,50000.000,21716.998,-1949.823,50000.000,0
1501,16913.410,2293.470,50000.000,20671.117,1397.000,50000.000,0
1551,13984.940,1299.882,50000.000,19012.646,5468.470,50000.000,0
1601,11997.764,1837.765,50000.000,18332.822,6611.470,50000.000,0
1651,12072.470,4459.941,50000.000,16793.881,2756.647,50000.000,0
1701,11153.588,3802.529,50000.000,13902.764,-358.588,50000.000,0
1751,8404.411,1180.353,50000.000,9592.234,-1277.470,50000.000,0
1801,3772.647,141.941,50000.000,4288.117,112.059,50000.000,0
1851,-1561.353,-672.353,50000.000,-1135.529,1165.412,50000.000,0
1901,-5782.235,-1337.235,50000.000,-7478.058,948.765,50000.000,0
1951,-10653.058,-1583.765,50000.000,-12707.470,134.471,50000.000,0
2001,-13678.646,-2121.647,50000.000,-16980.646,-784.412,49999.000,0
2051,-17600.705,-6925.235,50000.000,-20319.998,-5483.412,50000.000,0
2101,-15994.528,-9024.470,50000.000,-22807.705,-5289.176,50000.000,0
