timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,0.000,0.000,50156.000,16.00,-37.353,-22.412,50153.000,30.000,0
51,-7739.529,-13693.587,50000.000,10.00,-13036.176,-7769.411,50000.000,34.000,0
101,-7926.293,-14791.764,50000.000,13.00,-12251.764,-6245.411,50000.000,16.000,0
151,-7642.411,-16345.646,50000.000,15.00,-12528.176,-7463.117,50000.000,25.000,0
201,-7283.823,-14216.528,50000.000,11.00,-12259.234,-7874.000,50000.000,29.000,0
251,-7134.411,-10316.882,50000.000,14.00,-11325.411,-5983.941,50000.000,25.000,0
301,-7522.882,-7239.000,50000.000,17.00,-11250.705,522.941,50000.000,31.000,0
351,-8150.411,-5864.411,50000.000,15.00,-10458.823,7224.058,50000.000,24.000,0
401,-11220.823,-5132.294,50000.000,11.00,-10996.705,8001.000,50000.000,28.000,0
451,-12722.411,-5087.470,50000.000,17.00,-12864.353,5715.000,50000.000,31.000,0
501,-12558.058,-5027.706,50000.000,19.00,-15202.646,2696.882,50000.000,29.000,0
551,-12274.176,-4288.117,50000.000,14.00,-16084.176,-620.059,50000.000,31.000,0
601,-11078.882,-2076.823,50000.000,14.00,-17159.939,-3615.764,50000.000,34.000,0
651,-11459.882,-1591.235,50000.000,10.00,-17929.410,-1897.529,50000.000,25.000,0
701,-12483.353,-6843.059,50000.000,16.00,-18228.234,694.765,50000.000,34.000,0
751,-13178.117,-8337.176,50000.000,13.00,-18414.998,2667.000,50000.000,23.000,0
801,-12378.764,-7836.646,50000.000,18.00,-16136.470,1822.823,50000.000,22.000,0
851,-12931.587,-6798.235,50000.000,11.00,-16681.822,1919.941,50000.000,21.000,0
901,-12864.353,-4422.588,50000.000,17.00,-15635.940,381.000,50000.000,29.000,0
951,-12064.999,-1591.235,50000.000,19.00,-15157.822,-1165.412,50000.000,27.000,0
1001,-12304.058,-2345.765,50000.000,16.00,-14388.352,-1770.529,50000.000,29.000,0
1051,-12692.528,-4504.764,50000.000,18.00,-15015.881,-3369.235,50000.000,26.000,0
1101,-12094.882,-3630.706,50000.000,13.00,-14186.646,-3458.882,50000.000,24.000,0
1151,-12333.940,-1090.706,50000.000,17.00,-12804.587,-1150.470,50000.000,29.000,0
1201,-13148.234,224.118,50000.000,15.00,-13432.117,201.706,50000.000,31.000,0
1251,-11855.822,463.176,50000.000,24.00,-12797.117,-3003.176,50000.000,25.000,0
1301,-8807.823,-2039.470,50000.000,21.00,-10981.764,-9315.823,50000.000,25.000,0
1351,-6820.646,-5147.235,50000.000,19.00,-11235.764,-11056.470,50000.000,23.000,0
1401,-7201.646,-8135.470,50000.000,18.00,-11564.470,-7747.000,50000.000,35.000,0
1451,-7380.941,-8837.705,50000.000,18.00,-12169.588,-6110.941,50000.000,27.000,0
1501,-6947.646,-5162.176,50000.000,18.00,-11758.705,-3055.470,50000.000,32.000,0
1551,-8352.117,-4355.353,50000.000,20.00,-9726.705,-956.235,50000.000,34.000,0
1601,-7993.529,-6850.529,50000.000,21.00,-10847.293,-485.588,50000.000,31.000,0
