timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,0.000,0.000,50153.000,16.00,0.000,-7.471,50153.000,31.000,0
51,321.235,-37.353,50000.000,21.00,298.824,-366.059,50000.000,28.000,0
101,67.235,-119.529,50000.000,11.00,134.471,67.235,50000.000,32.000,0
151,52.294,-134.471,50000.000,11.00,29.882,388.471,50000.000,29.000,0
201,52.294,-209.176,50000.000,18.00,127.000,672.353,50000.000,26.000,0
251,-141.941,-291.353,50000.000,17.00,7.471,1202.765,50000.000,27.000,0
301,-82.176,-306.294,50000.000,11.00,-14.941,1456.765,50000.000,30.000,0
351,-119.529,-268.941,50000.000,20.00,-37.353,1778.000,50000.000,30.000,0
401,-224.118,-283.882,50001.000,16.00,-89.647,2166.470,50000.000,29.000,0
451,-194.235,-388.471,49999.000,12.00,-22.412,2435.412,50000.000,38.000,0
501,-224.118,-381.000,50000.000,19.00,-29.882,2779.059,50000.000,39.000,0
551,-410.882,-321.235,50000.000,7.00,-74.706,3070.412,50000.000,30.000,0
601,-216.647,-321.235,50000.000,7.00,-141.941,3294.529,50000.000,31.000,0
651,-216.647,-298.824,50000.000,15.00,-171.824,3429.000,50000.000,27.000,0
701,-366.059,-433.294,50000.000,17.00,-156.882,3712.882,50000.000,35.000,0
751,-410.882,-395.941,50001.000,8.00,-171.824,3884.706,50000.000,30.000,0
801,-403.412,-470.647,49999.000,16.00,-216.647,3899.647,50000.000,24.000,0
851,-522.941,-642.471,50000.000,11.00,-186.765,3511.176,50000.000,35.000,0
901,164.353,-239.059,50001.000,15.00,134.471,776.941,50000.000,31.000,0
951,7.471,-112.059,49999.000,13.00,-14.941,-1322.294,50000.000,29.000,0
1001,14.941,-179.294,50001.000,17.00,-14.941,-1001.059,50000.000,26.000,0
1051,328.706,-231.588,49999.000,16.00,112.059,-351.118,50000.000,30.000,0
1101,22.412,-179.294,50000.000,17.00,-14.941,44.824,50000.000,26.000,0
1151,67.235,-194.235,50000.000,11.00,37.353,82.176,50000.000,31.000,0
1201,104.588,-194.235,50000.000,18.00,59.765,37.353,50000.000,32.000,0
1251,37.353,-171.824,50000.000,13.00,29.882,59.765,50000.000,39.000,0
1301,52.294,-134.471,50000.000,20.00,59.765,44.824,50000.000,34.000,0
1351,59.765,-171.824,50000.000,18.00,44.824,59.765,50000.000,37.000,0
1401,37.353,-119.529,50000.000,15.00,29.882,14.941,50000.000,35.000,0
1451,59.765,-82.176,50001.000,16.00,37.353,-29.882,50000.000,25.000,0
1501,52.294,-89.647,49999.000,13.00,37.353,-44.824,50000.000,35.000,0
1551,44.824,-74.706,50000.000,16.00,29.882,-7.471,50000.000,32.000,0
1601,22.412,-82.176,50000.000,14.00,22.412,-14.941,50000.000,30.000,0
1651,14.941,-52.294,50000.000,15.00,14.941,-7.471,50000.000,35.000,0
1701,44.824,-52.294,50000.000,18.00,0.000,0.000,50000.000,35.000,0
1751,29.882,-44.824,50000.000,17.00,7.471,0.000,50000.000,34.000,0
1801,0.000,-14.941,50001.000,17.00,7.471,0.000,50000.000,38.000,0
1851,0.000,-7.471,49999.000,13.00,0.000,0.000,50000.000,37.000,0
1901,0.000,0.000,50001.000,20.00,0.000,0.000,50000.000,35.000,0
1951,0.000,0.000,49999.000,19.00,0.000,0.000,50000.000,33.000,0
2001,-22.412,52.294,50001.000,14.00,-7.471,0.000,50000.000,33.000,0
2051,-44.824,52.294,50000.000,23.00,-7.471,14.941,50000.000,29.000,0
2101,-29.882,59.765,49999.000,13.00,-22.412,44.824,50000.000,38.000,0
2151,-29.882,59.765,50000.000,18.00,-14.941,52.294,50000.000,35.000,0
2201,-44.824,89.647,50000.000,17.00,-22.412,59.765,50000.000,25.000,0
2251,-37.353,104.588,50001.000,15.00,-29.882,37.353,50000.000,29.000,0
