timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
3,0.000,0.000,4324.000,0.000,0.000,4317.000
4709,0.000,0.000,4166.000,0.000,0.000,4167.000
8859,0.000,0.000,4166.000,0.000,0.000,4165.000
13020,0.000,0.000,4166.000,0.000,0.000,4166.000
17181,0.000,0.000,4166.000,0.000,0.000,4166.000
21350,0.000,0.000,4166.000,0.000,0.000,4166.000
25518,0.000,0.000,4166.000,0.000,0.000,4166.000
29689,0.000,0.000,4166.000,0.000,0.000,4167.000
33855,0.000,0.000,4166.000,0.000,0.000,4165.000
38015,0.000,0.000,4166.000,0.000,0.000,4166.000
42178,0.000,0.000,4166.000,0.000,0.000,4166.000
46345,0.000,0.000,4166.000,0.000,0.000,4166.000
50514,0.000,0.000,4166.000,0.000,0.000,4166.000
54685,0.000,0.000,4166.000,0.000,0.000,4167.000
58851,0.000,0.000,4166.000,0.000,0.000,4165.000
63011,0.000,0.000,4166.000,0.000,0.000,4166.000
67174,0.000,0.000,4166.000,0.000,0.000,4166.000
71341,0.000,0.000,4166.000,0.000,0.000,4166.000
75510,0.000,0.000,4166.000,0.000,0.000,4166.000
79681,0.000,0.000,4166.000,0.000,0.000,4167.000
83847,0.000,0.000,4166.000,0.000,0.000,4165.000
88007,0.000,0.000,4166.000,0.000,0.000,4166.000
92170,0.000,0.000,4166.000,0.000,0.000,4166.000
96337,0.000,0.000,4166.000,0.000,0.000,4166.000
100506,0.000,0.000,4166.000,0.000,0.000,4166.000
104679,0.000,0.000,4166.000,0.000,0.000,4167.000
108845,0.000,0.000,4166.000,0.000,0.000,4165.000
113005,0.000,0.000,4166.000,0.000,0.000,4166.000
117170,0.000,0.000,4166.000,0.000,0.000,4166.000
121332,0.000,0.000,4166.000,0.000,0.000,4166.000
125503,0.000,0.000,4166.000,0.000,0.000,4166.000
129675,0.000,0.000,4166.000,0.000,0.000,4167.000
133841,0.000,0.000,4166.000,0.000,0.000,4165.000
138001,0.000,0.000,4166.000,0.000,0.000,4166.000
142166,0.000,0.000,4166.000,0.000,0.000,4166.000
146328,0.000,0.000,4166.000,0.000,0.000,4166.000
150499,0.000,0.000,4166.000,0.000,0.000,4166.000
154671,0.000,0.000,4166.000,0.000,0.000,4167.000
158837,0.000,0.000,4166.000,0.000,0.000,4165.000
162997,0.000,0.000,4166.000,0.000,0.000,4166.000
167162,0.000,0.000,4166.000,0.000,0.000,4166.000
171325,0.000,0.000,4166.000,0.000,0.000,4166.000
175495,0.000,0.000,4166.000,0.000,0.000,4166.000
179667,0.000,0.000,4166.000,0.000,0.000,4167.000
183833,0.000,0.000,4166.000,0.000,0.000,4165.000
187993,0.000,0.000,4166.000,0.000,0.000,4166.000
192158,0.000,0.000,4166.000,0.000,0.000,4166.000
196320,0.000,0.000,4166.000,0.000,0.000,4166.000
200492,0.000,0.000,4166.000,0.000,0.000,4166.000
204663,0.000,0.000,4166.000,0.000,0.000,4167.000
208829,0.000,0.000,4166.000,0.000,0.000,4165.000
212989,0.000,0.000,4166.000,0.000,0.000,4166.000
