timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,-52.294,-44.824,50156.000,43.00,-134.471,22.412,50153.000,54.00,0
51,-15008.411,-14821.646,50000.000,40.00,-21313.586,4019.176,50000.000,58.00,0
101,-15837.646,-16397.939,50000.000,42.00,-23039.293,-97.118,50000.000,62.00,0
151,-14791.764,-16584.705,50000.000,47.00,-22972.057,-3062.941,50000.000,68.00,0
201,-15038.293,-17854.705,50000.000,40.00,-24182.293,-605.118,50000.000,71.00,0
251,-15374.470,-18795.998,50000.000,41.00,-24443.764,-246.529,50000.000,67.00,0
301,-14575.116,-17047.881,50000.000,46.00,-23958.176,-2525.059,50000.000,34.00,0
351,-14597.528,-16741.588,50000.000,40.00,-22964.586,-2360.706,50000.000,47.00,0
401,-13290.176,-16741.588,50000.000,44.00,-21649.764,-2256.117,50000.000,65.00,0
451,-13432.117,-17032.939,50000.000,50.00,-21313.586,-5632.823,50000.000,57.00,0
501,-13581.528,-16450.234,50000.000,47.00,-21702.057,-4422.588,50000.000,75.00,0
551,-15165.293,-17742.646,50000.000,44.00,-21806.646,3384.176,50000.000,93.00,0
601,-14956.116,-17660.469,50000.000,43.00,-19938.998,6350.000,50000.000,77.00,0
651,-14350.999,-16689.293,50000.000,46.00,-20506.764,5020.235,50000.000,68.00,0
701,-14126.882,-15628.470,50000.000,53.00,-19274.117,7156.823,50000.000,61.00,0
751,-13066.058,-16980.646,50000.000,60.00,-19162.057,8464.176,50000.000,62.00,0
801,-11870.764,-20813.057,50000.000,42.00,-21014.764,3048.000,50000.000,60.00,0
851,-12214.411,-19580.410,50000.000,56.00,-20417.117,1740.647,50000.000,55.00,0
901,-11923.058,-19259.176,50000.000,43.00,-19587.881,3249.706,50000.000,63.00,0
951,-12042.588,-22994.469,50000.000,39.00,-21970.998,186.765,50000.000,76.00,0
1001,-12685.058,-20753.293,50000.000,35.00,-21179.117,-590.176,50000.000,53.00,0
