timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,0.000,0.000,50153.000,0.000,0.000,50153.000,0
51,418.353,18594.293,50000.000,7814.235,22337.057,50000.000,0
101,971.176,20611.352,50000.000,8262.470,22688.176,50000.000,0
151,515.471,21223.939,50000.000,11728.822,28552.586,50000.000,0
201,762.000,23076.645,50000.000,11078.882,27775.645,50000.000,0
251,829.235,22934.705,50000.000,11407.588,28014.703,50000.000,0
301,1098.176,22464.057,50000.000,12184.528,27910.115,50000.000,0
351,1270.000,21716.998,50000.000,10847.293,25825.822,50000.000,0
401,1329.765,20148.176,50000.000,10361.705,24832.234,50000.000,0
451,1501.588,16749.059,50000.000,10802.470,25840.764,50000.000,0
501,1434.353,18160.998,50000.000,10159.999,25624.115,50000.000,0
551,657.412,18885.646,50000.000,10391.588,26161.998,50000.000,0
601,627.529,19266.646,50000.000,11034.058,27304.998,50000.000,0
651,313.765,20895.234,50000.000,11071.411,29135.293,50000.000,0
701,530.412,21283.705,50000.000,11594.353,29703.057,50000.000,0
751,791.882,20185.527,50000.000,11205.882,28858.881,50000.000,0
801,649.941,21589.998,50000.000,10413.999,28724.410,50000.000,0
851,306.294,19819.469,50000.000,10996.705,28903.703,50000.000,0
901,672.353,20536.646,50000.000,10115.176,26931.469,50000.000,0
951,739.588,19109.764,50000.000,7448.176,22703.115,50000.000,0
1001,687.294,19692.469,50000.000,6491.941,19416.057,50000.000,0
1051,440.765,21119.352,50000.000,10555.940,27095.822,50000.000,0
1101,963.706,21963.527,50000.000,10526.059,27424.527,50000.000,0
1151,209.176,20715.939,50000.000,10653.058,27297.527,50000.000,0
1201,1045.882,22389.352,50000.000,11429.999,27319.939,50000.000,0
1251,933.823,20910.176,50000.000,10757.646,25990.174,50000.000,0
1301,836.706,17144.998,50000.000,10645.588,25258.057,50000.000,0
1351,627.529,16442.764,50000.000,10839.823,25922.939,50000.000,0
1401,1090.706,16965.705,50000.000,10167.470,25018.998,50000.000,0
1451,911.412,17182.352,50000.000,9031.940,24525.939,50000.000,0
1501,702.235,18482.234,50000.000,10003.117,25840.764,50000.000,0
1551,418.353,19774.646,50000.000,9920.940,27417.057,50000.000,0
1601,186.765,19535.588,50000.000,10466.293,28515.232,50000.000,0
1651,694.765,20686.057,50000.000,11108.764,28335.939,50000.000,0
1701,784.412,20835.469,50000.000,10399.059,27917.586,50000.000,0
1751,-201.706,18713.822,50000.000,10100.234,27947.469,50000.000,0
1801,201.706,19968.881,50000.000,10608.234,27768.174,50000.000,0
1851,694.765,18609.234,50000.000,9405.470,25556.881,50000.000,0
1901,493.059,17839.764,50000.000,6163.235,17271.998,50000.000,0
1951,149.412,20043.586,50000.000,7926.293,20984.881,50000.000,0
2001,1008.529,20887.764,50000.000,9988.176,26020.057,50000.000,0
2051,702.235,22030.764,50000.000,9651.999,26124.645,50000.000,0
2101,478.118,21306.115,50000.000,10555.940,26871.703,50000.000,0
2151,762.000,21791.705,50000.000,10540.999,25683.881,50000.000,0
2201,1023.471,18803.469,50000.000,9808.882,25213.234,50000.000,0
2251,747.059,18265.588,50000.000,9980.705,24772.469,50000.000,0
2301,657.412,19154.588,50000.000,10413.999,24428.822,50000.000,0
2351,1419.412,16831.234,50000.000,9211.234,23816.234,50000.000,0
2401,911.412,16524.939,50000.000,8628.529,23263.410,50000.000,0
2451,881.529,17600.705,50000.000,9681.882,25235.645,50000.000,0
2501,903.941,19371.234,50000.000,9539.940,25893.057,50000.000,0
2551,149.412,18205.822,50000.000,9696.823,27304.998,50000.000,0
2601,-52.294,19699.939,50000.000,10563.411,27656.115,50000.000,0
2651,485.588,19266.646,50000.000,9644.528,26692.410,50000.000,0
2701,313.765,18818.410,50000.000,9263.528,27125.703,50000.000,0
2751,112.059,16741.588,50000.000,9965.764,27364.764,50000.000,0
2801,485.588,18295.469,50000.000,9741.646,25952.822,50000.000,0
2851,635.000,16046.822,50000.000,7440.706,21589.998,50000.000,0
2901,59.765,17623.117,50000.000,5998.882,17481.176,50000.000,0
2951,82.176,18302.939,50000.000,9368.117,25145.998,50000.000,0
3001,679.823,19670.057,50000.000,9143.999,25317.822,50000.000,0
3051,717.176,18631.646,50000.000,9203.764,25317.822,50000.000,0
3101,448.235,20954.998,50000.000,10212.293,24682.822,50000.000,0
3151,1008.529,20051.057,50000.000,9883.588,24107.586,50000.000,0
3201,500.529,16509.998,50000.000,9786.470,24413.881,50000.000,0
3251,381.000,17466.234,50000.000,10585.823,24510.998,50000.000,0
3301,747.059,17951.822,50000.000,10413.999,23532.352,50001.000,0
3351,1135.529,17047.881,50000.000,8411.882,22195.115,49999.000,0
3401,403.412,16502.527,50000.000,8845.176,23069.176,50000.000,0
3451,784.412,16734.117,50000.000,9637.059,24294.352,50000.000,0
3501,866.588,18101.234,50000.000,9121.588,24376.527,50000.000,0
3551,478.118,18160.998,50000.000,9383.059,25840.764,50000.000,0
3601,567.765,19662.586,50000.000,9771.528,25571.822,50000.000,0
3651,530.412,19879.234,50000.000,9622.117,25444.822,50000.000,0
3701,336.176,17772.527,50000.000,8897.470,25609.174,50000.000,0
3751,-216.647,16831.234,50000.000,9315.823,25556.881,50000.000,0
3801,552.823,18691.410,50000.000,9129.059,24772.469,50000.000,0
3851,254.000,15680.764,50000.000,7463.117,22337.057,50000.000,0
3901,911.412,17481.176,50000.000,6671.235,20446.998,50000.000,0
3951,493.059,18019.057,50000.000,8718.176,23592.115,50000.000,0
4001,791.882,18758.646,50000.000,9002.059,24443.764,50000.000,0
4051,366.059,18019.057,50000.000,8845.176,24339.176,50000.000,0
4101,478.118,19729.822,50000.000,9614.646,24421.352,50000.000,0
4151,575.235,20073.469,50000.000,9517.528,23793.822,50000.000,0
4201,410.882,17174.881,50000.000,9510.059,23517.410,50000.000,0
4251,283.882,17115.117,50000.000,9876.117,23166.293,50000.000,0
4301,806.823,17533.469,50000.000,10003.117,22912.293,50000.000,0
4351,1053.353,17092.705,50000.000,8979.646,22015.822,50000.000,0
4401,963.706,16360.587,50000.000,7836.646,20842.939,50000.000,0
4451,672.353,17712.764,50000.000,8352.117,21881.352,50000.000,0
4501,791.882,16226.116,50000.000,8875.059,22284.764,50000.000,0
4551,522.941,17025.469,50000.000,8531.411,23412.822,50000.000,0
4601,433.294,17533.469,50000.000,9472.705,25004.057,50000.000,0
4651,911.412,19677.527,50000.000,9002.059,24070.234,50000.000,0
4701,620.059,18654.057,50000.000,9084.234,25018.998,50000.000,0
4751,859.118,17578.293,50000.000,9061.823,24787.410,50000.000,0
4801,515.471,17167.410,50000.000,9114.117,24421.352,50001.000,0
4851,410.882,17092.705,50000.000,8927.353,24376.527,49999.000,0
4901,276.412,16741.588,50000.000,7448.176,21246.352,50000.000,0
4951,179.294,17525.998,50000.000,6297.706,19094.822,50000.000,0
5001,470.647,18205.822,50000.000,8733.117,23300.764,50000.000,0
5051,605.118,18243.176,50000.000,8882.529,23046.764,50000.000,0
5101,313.765,18332.822,50000.000,9069.294,23958.176,50000.000,0
5151,336.176,19117.234,50000.000,9495.117,23562.234,50000.000,0
5201,687.294,19401.117,50000.000,9256.059,22568.646,50000.000,0
5251,836.706,18646.588,50000.000,9368.117,23031.822,50000.000,0
5301,709.706,17921.939,50000.000,9465.234,22695.646,50000.000,0
5351,874.059,18497.176,50000.000,9823.823,22262.352,50000.000,0
5401,1307.353,17115.117,50000.000,9158.940,21634.822,50000.000,0
5451,911.412,14687.176,50000.000,8792.882,21485.410,50000.000,0
5501,821.765,14171.705,50000.000,8643.470,21537.705,50000.000,0
5551,889.000,16106.587,50000.000,8755.529,21664.705,50000.000,0
5601,381.000,16711.705,50000.000,8650.940,22673.234,50000.000,0
5651,455.706,17936.881,50000.000,9091.705,23681.764,50000.000,0
5701,627.529,18863.234,50000.000,9166.411,23905.881,50000.000,0
5751,687.294,19094.822,50000.000,8837.705,23838.645,50000.000,0
5801,216.647,18803.469,50000.000,9024.470,24197.234,50000.000,0
5851,-283.882,16726.646,50000.000,9016.999,23719.115,50000.000,0
5901,-52.294,16584.705,50000.000,9002.059,23607.057,50000.000,0
5951,186.765,17720.234,50000.000,8404.411,22994.469,50000.000,0
6001,508.000,17085.234,50000.000,7664.823,21462.998,50000.000,0
6051,112.059,15987.058,50000.000,8090.646,21709.527,50000.000,0
6101,29.882,17085.234,50000.000,8606.117,22762.881,50000.000,0
6151,448.235,17481.176,50000.000,8449.234,22277.293,50000.000,0
6201,537.882,18258.117,50000.000,8613.588,22613.469,50000.000,0
6251,859.118,18900.588,50000.000,8927.353,21985.939,50000.000,0
6301,567.765,18444.881,50000.000,9338.234,22441.646,50000.000,0
6351,732.118,17772.527,50000.000,9427.882,22008.352,50000.000,0
6401,702.235,17757.588,50000.000,9666.940,21567.586,50000.000,0
6451,1030.941,17675.410,50000.000,9517.528,21067.057,50000.000,0
6501,1083.235,16763.998,50000.000,9143.999,20708.469,50000.000,0
6551,926.353,14799.234,50000.000,8591.176,20110.822,50000.000,0
6601,470.647,14926.234,50000.000,8822.764,21052.117,50000.000,0
6651,762.000,14814.176,50000.000,8785.411,21776.764,50000.000,0
6701,657.412,15508.940,50000.000,8374.529,21575.057,50000.000,0
6751,627.529,16457.705,50000.000,8613.588,22703.115,50000.000,0
