timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,0.000,67.235,50153.000,13.00,0.000,0.000,50153.000,30.000,0
51,-373.529,21059.586,50000.000,15.00,3608.294,-2480.235,50000.000,31.000,0
101,-134.471,20902.705,50000.000,21.00,3160.059,-2308.412,50000.000,35.000,0
151,-425.823,20850.410,50000.000,12.00,2779.059,-1964.765,50000.000,34.000,0
201,-321.235,20230.352,50000.000,18.00,2995.706,-1830.294,50000.000,27.000,0
251,-463.176,20110.822,50000.000,14.00,2846.294,-1553.882,50001.000,42.000,0
301,-552.823,19356.293,50000.000,12.00,2779.059,-1591.235,49999.000,34.000,0
351,-463.176,18937.939,50000.000,15.00,2525.059,-1068.294,50000.000,30.000,0
401,-605.118,17906.998,50000.000,12.00,2114.176,-732.118,50000.000,35.000,0
451,-709.706,18123.646,50000.000,21.00,2009.588,-642.471,50000.000,30.000,0
501,-784.412,17862.176,50000.000,15.00,2166.470,-582.706,50000.000,41.000,0
551,-709.706,18183.410,50000.000,16.00,2308.412,-418.353,50000.000,38.000,0
601,-709.706,18280.527,50000.000,10.00,2300.941,-351.118,50000.000,31.000,0
651,-560.294,18235.705,50000.000,21.00,2413.000,-14.941,50000.000,31.000,0
701,-851.647,19199.410,50000.000,14.00,2704.353,127.000,50000.000,37.000,0
751,-739.588,19087.352,50000.000,18.00,2577.353,149.412,50000.000,31.000,0
801,-926.353,19572.939,50000.000,19.00,2652.059,67.235,50000.000,31.000,0
851,-978.647,20051.057,50000.000,21.00,2584.823,29.882,50000.000,32.000,0
901,-747.059,20342.410,50000.000,24.00,2487.706,268.941,50000.000,30.000,0
951,-418.353,20185.527,50000.000,17.00,2450.353,373.529,50000.000,34.000,0
1001,-582.706,20581.469,50000.000,21.00,2607.235,119.529,50000.000,39.000,0
1051,-590.176,20051.057,50000.000,14.00,2622.176,500.529,50000.000,23.000,0
1101,-881.529,19259.176,50000.000,15.00,2017.059,388.471,50000.000,30.000,0
1151,-679.823,17540.939,50000.000,14.00,2607.235,769.471,50000.000,26.000,0
1201,-1016.000,18355.234,50000.000,10.00,2293.470,642.471,50000.000,30.000,0
1251,-866.588,18033.998,50000.000,9.00,2002.118,612.588,50000.000,31.000,0
1301,-508.000,19236.764,50000.000,17.00,2420.470,799.353,50000.000,27.000,0
1351,-649.941,19811.998,50000.000,17.00,2607.235,732.118,50000.000,25.000,0
1401,-762.000,19968.881,50000.000,8.00,2256.117,635.000,50000.000,23.000,0
1451,-649.941,19049.998,50000.000,16.00,2659.529,963.706,50000.000,26.000,0
1501,-814.294,20230.352,50000.000,15.00,2405.529,881.529,50000.000,27.000,0
1551,-859.118,20842.939,50000.000,20.00,2495.176,1426.882,50000.000,37.000,0
1601,-933.823,20446.998,50000.000,17.00,2420.470,1367.118,50000.000,33.000,0
1651,-1307.353,20275.176,50000.000,15.00,2286.000,1382.059,50000.000,30.000,0
1701,-1098.176,19714.881,50000.000,18.00,2263.588,1314.823,50000.000,31.000,0
1751,-1217.706,19699.939,50000.000,20.00,2465.294,1778.000,50000.000,24.000,0
1801,-1329.765,19610.293,50000.000,24.00,2480.235,1927.412,50000.000,31.000,0
1851,-1322.294,19475.822,50000.000,15.00,2323.353,1837.765,50000.000,30.000,0
1901,-1322.294,18026.527,50000.000,12.00,2248.647,2241.176,50000.000,29.000,0
1951,-1180.353,16607.117,50000.000,18.00,2046.941,2420.470,50000.000,28.000,0
2001,-1172.882,17339.234,50000.000,18.00,1972.235,2046.941,50000.000,29.000,0
2051,-1284.941,17346.705,50000.000,18.00,2173.941,2614.706,50000.000,28.000,0
2101,-1217.706,17062.822,50000.000,13.00,2188.882,2622.176,50000.000,31.000,0
2151,-1389.529,18183.410,50000.000,8.00,2375.647,3167.529,50000.000,30.000,0
2201,-1890.059,18004.117,50000.000,14.00,2599.765,3533.588,50000.000,37.000,0
2251,-1456.765,18654.057,50000.000,14.00,2599.765,3608.294,50000.000,30.000,0
2301,-1613.647,19035.057,50000.000,17.00,1927.412,3152.588,50000.000,34.000,0
2351,-1606.176,18713.822,50000.000,16.00,2532.529,3563.470,50000.000,27.000,0
2401,-1509.059,18952.881,50000.000,22.00,2614.706,4273.176,50000.000,29.000,0
2451,-1479.176,18960.352,50000.000,18.00,2988.235,4482.353,50000.000,31.000,0
