timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,,,50155.000,0.000,0.000,50153.000,0
51,,,50000.000,-3212.353,-164.353,50000.000,0
101,,,50000.000,-268.941,-22.412,50000.000,0
151,,,50000.000,-373.529,-22.412,50000.000,0
201,,,50000.000,-3249.706,-313.765,50000.000,0
251,,,50000.000,-3473.823,-709.706,50000.000,0
301,,,50000.000,-2345.765,-762.000,50000.000,0
351,,,50000.000,-754.529,-328.706,50000.000,0
401,,,50000.000,-224.118,-59.765,50000.000,0
451,,,50000.000,-276.412,-52.294,50000.000,0
501,,,50000.000,-1068.294,-276.412,50000.000,0
551,,,50000.000,-2450.353,-635.000,50000.000,0
601,,,50000.000,1195.294,0.000,50000.000,0
651,,,50000.000,-702.235,-97.118,50000.000,0
701,,,50000.000,-3070.412,-179.294,50000.000,0
751,,,50000.000,-306.294,14.941,50000.000,0
801,,,50000.000,-410.882,7.471,50000.000,0
851,,,50000.000,-1098.176,37.353,50000.000,0
901,,,50000.000,-687.294,89.647,50000.000,0
951,,,50000.000,-425.823,112.059,50000.000,0
1001,,,50000.000,-52.294,-14.941,50000.000,0
1051,,,50000.000,-119.529,-89.647,50000.000,0
1101,,,50000.000,1195.294,0.000,50000.000,0
1151,,,50000.000,-37.353,-29.882,50000.000,0
1201,,,50000.000,0.000,0.000,50000.000,0
1251,,,50000.000,1195.294,1195.294,50000.000,0
1301,,,50000.000,0.000,-1531.470,50000.000,0
1351,,,50000.000,-74.706,-276.412,50000.000,0
1401,,,50000.000,149.412,-1942.353,50000.000,0
1451,,,50000.000,67.235,-3638.176,50000.000,0
1501,,,50000.000,-119.529,-814.294,50000.000,0
1551,,,50000.000,-395.941,-351.118,50000.000,0
1601,,,50000.000,-194.235,-231.588,50000.000,0
1651,,,50000.000,-866.588,-1658.470,50000.000,0
1701,,,50000.000,-403.412,-1778.000,50000.000,0
1751,,,50000.000,-44.824,-1882.588,50000.000,0
1801,,,50000.000,7.471,-216.647,50000.000,0
1851,,,50000.000,-246.529,-739.588,50000.000,0
1901,,,50000.000,-1382.059,-1008.529,50000.000,0
1951,,,50000.000,-2159.000,-1217.706,50000.000,0
2001,,,50000.000,1195.294,0.000,50000.000,0
2051,,,50000.000,-313.765,-104.588,50000.000,0
2101,,,50000.000,-2315.882,-1023.471,50000.000,0
2151,,,50000.000,-2921.000,-1755.588,50000.000,0
2201,,,50000.000,-1068.294,-1456.765,50000.000,0
2251,,,50000.000,-971.176,-1568.823,50000.000,0
2301,,,50000.000,-2017.059,-3683.000,50000.000,0
2351,,,50000.000,-2181.412,-3339.353,50000.000,0
2401,,,50000.000,-874.059,-956.235,50000.000,0
2451,,,50000.000,-821.765,-97.118,50000.000,0
2501,,,50000.000,-1083.235,-22.412,50000.000,0
2551,,,50000.000,-1105.647,7.471,50000.000,0
2601,,,50000.000,-2360.706,-14.941,50000.000,0
2651,,,50000.000,-3824.941,-179.294,50000.000,0
2701,,,50000.000,-806.823,-119.529,50000.000,0
2751,,,50000.000,-2061.882,-612.588,50000.000,0
