timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,0.000,0.000,50157.000,0.000,0.000,50153.000,0
51,0.000,0.000,50000.000,14.941,403.412,50000.000,0
101,0.000,0.000,50000.000,37.353,403.412,50000.000,0
151,0.000,0.000,50000.000,52.294,373.529,50000.000,0
201,0.000,0.000,50000.000,0.000,425.823,50000.000,0
251,0.000,0.000,50000.000,-29.882,440.765,50000.000,0
301,0.000,0.000,50000.000,7.471,351.118,50000.000,0
351,0.000,0.000,50000.000,0.000,336.176,50000.000,0
401,0.000,0.000,50000.000,0.000,321.235,50000.000,0
451,0.000,0.000,50000.000,14.941,351.118,50000.000,0
501,0.000,0.000,50000.000,-22.412,425.823,50000.000,0
551,0.000,0.000,50000.000,-7.471,321.235,50000.000,0
601,0.000,0.000,50000.000,-7.471,366.059,50000.000,0
651,0.000,0.000,50000.000,7.471,418.353,50000.000,0
701,0.000,0.000,50000.000,0.000,410.882,50000.000,0
751,0.000,0.000,50000.000,29.882,388.471,50000.000,0
801,0.000,0.000,50000.000,7.471,448.235,50000.000,0
851,0.000,0.000,50000.000,0.000,410.882,50000.000,0
901,0.000,0.000,50000.000,29.882,395.941,50000.000,0
951,0.000,0.000,50000.000,7.471,321.235,50000.000,0
1001,0.000,0.000,50000.000,22.412,358.588,50000.000,0
1051,0.000,0.000,50000.000,7.471,433.294,50000.000,0
1101,0.000,0.000,50000.000,-7.471,433.294,50000.000,0
1151,0.000,0.000,50000.000,0.000,388.471,50000.000,0
1201,0.000,0.000,50000.000,7.471,403.412,50000.000,0
1251,0.000,0.000,50000.000,29.882,381.000,50000.000,0
1301,0.000,0.000,50000.000,29.882,313.765,50000.000,0
1351,0.000,0.000,50000.000,22.412,358.588,50000.000,0
1401,0.000,0.000,50000.000,7.471,298.824,50000.000,0
1451,0.000,0.000,50000.000,-7.471,276.412,50000.000,0
1501,0.000,0.000,50000.000,0.000,261.471,50000.000,0
1551,0.000,0.000,50000.000,14.941,313.765,50000.000,0
1601,0.000,0.000,50000.000,14.941,291.353,50000.000,0
1651,0.000,0.000,50000.000,37.353,254.000,50000.000,0
1701,0.000,0.000,50000.000,22.412,231.588,50000.000,0
1751,0.000,0.000,50000.000,59.765,209.176,50000.000,0
1801,0.000,0.000,50000.000,44.824,224.118,50000.000,0
