timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,0.000,-22.412,50160.000,0.000,0.000,50155.000,0
51,-201.706,-7903.882,50000.000,-1240.118,-1322.294,50000.000,0
101,164.353,-10794.999,50000.000,-791.882,-1897.529,50000.000,0
151,1912.470,-10540.999,50000.000,-926.353,-3160.059,50000.000,0
201,1658.470,-8785.411,50000.000,-627.529,-3563.470,50000.000,0
251,649.941,-6850.529,50000.000,-276.412,-1979.706,50000.000,0
301,97.118,-6783.293,50000.000,-537.882,-1397.000,50000.000,0
351,-134.471,-8404.411,50000.000,-627.529,-836.706,50000.000,0
401,313.765,-10428.940,50000.000,-403.412,-918.882,50000.000,0
451,978.647,-11161.058,50000.000,-642.471,-2965.823,50000.000,0
501,1270.000,-10473.764,50000.000,-493.059,-3974.353,50000.000,0
551,1083.235,-9061.823,50000.000,-298.824,-2353.235,50000.000,0
601,-224.118,-7694.706,50000.000,-485.588,-806.823,50000.000,0
651,-1255.059,-6858.000,50000.000,-1568.823,-254.000,50000.000,0
701,-1553.882,-8486.588,50000.000,-2652.059,-747.059,50000.000,0
751,-702.235,-10324.353,50000.000,-2271.059,-1957.294,50000.000,0
801,-403.412,-12109.822,50000.000,-2263.588,-4078.941,50000.000,0
851,-22.412,-11004.176,50000.000,-1434.353,-3249.706,50000.000,0
901,-336.176,-10107.705,50000.000,-2106.706,-4504.764,50000.000,0
951,-1113.118,-9091.705,50000.000,-2293.470,-2883.647,50000.000,0
1001,-2061.882,-7433.235,50000.000,-2547.470,-1150.470,50000.000,0
1051,-2271.059,-7328.646,50000.000,-2599.765,-1882.588,50000.000,0
1101,-605.118,-9696.823,50000.000,-3966.882,-6753.411,50000.000,0
1151,44.824,-9958.293,50000.000,-2136.588,-4990.353,50000.000,0
1201,-37.353,-6185.646,50000.000,-956.235,-3421.529,50000.000,0
1251,-403.412,-6544.235,50000.000,-156.882,-478.118,50000.000,0
1301,-918.882,-4736.353,50000.000,-328.706,-373.529,50000.000,0
1351,-500.529,-3959.411,50000.000,-537.882,-926.353,50000.000,0
1401,97.118,-3316.941,50000.000,-493.059,-3869.764,50000.000,0
1451,1837.765,-2629.647,50000.000,-231.588,-5401.235,50000.000,0
1501,3122.706,-717.176,50000.000,597.647,-1680.882,50000.000,0
1551,3414.059,1957.294,50000.000,455.706,-627.529,50000.000,0
1601,3668.059,3944.470,50000.000,2554.941,-2032.000,50000.000,0
1651,4586.941,2510.117,50000.000,2921.000,-2345.765,50000.000,0
1701,5685.117,-1740.647,50000.000,3877.235,-5281.706,50000.000,0
1751,5124.823,-4661.647,50000.000,1553.882,-2629.647,50000.000,0
1801,5408.706,-6036.235,50000.000,754.529,-859.118,50000.000,0
1851,4863.353,-4586.941,50000.000,2091.765,-1389.529,50000.000,0
1901,6357.470,-3294.529,50000.000,3436.470,-2823.882,50000.000,0
1951,8157.882,-2532.529,50000.000,993.588,-933.823,50000.000,0
2001,8359.588,-620.059,50000.000,1240.118,-986.118,50000.000,0
2051,8538.882,1509.059,50000.000,2427.941,-1284.941,50000.000,0
2101,7926.293,2614.706,50000.000,4400.176,-2009.588,50000.000,0
2151,8396.940,313.765,50000.000,4728.882,-2584.823,50000.000,0
2201,9099.176,-3869.764,50000.000,4863.353,-3443.941,50000.000,0
2251,7926.293,-4878.294,50000.000,1860.176,-1157.941,50000.000,0
2301,6723.529,-3787.588,50000.000,829.235,-37.353,50000.000,0
2351,6006.353,-2622.176,50000.000,1501.588,201.706,50000.000,0
2401,5976.470,-2263.588,50000.000,4482.353,149.412,50000.000,0
2451,6237.941,-2151.529,50000.000,4250.765,-657.412,50000.000,0
2501,5864.411,-1606.176,50000.000,1120.588,-291.353,50000.000,0
2551,6648.823,-1030.941,50000.000,1083.235,-298.824,50000.000,0
2601,6865.470,-276.412,50000.000,5012.764,-933.823,50000.000,0
2651,7276.353,-298.824,50000.000,5580.529,-1098.176,50000.000,0
2701,7418.293,-156.882,50000.000,6312.646,-1284.941,50000.000,0
2751,7739.529,-239.059,50000.000,5311.588,-1045.882,50000.000,0
2801,8187.764,22.412,50000.000,5236.882,-627.529,50000.000,0
2851,7014.882,298.824,50000.000,6118.411,89.647,50000.000,0
2901,5991.411,37.353,50000.000,1957.294,194.235,50000.000,0
2951,5939.117,-127.000,50000.000,2151.529,597.647,50000.000,0
3001,4885.764,74.706,50000.000,4064.000,1262.529,50000.000,0
3051,4347.882,-127.000,50000.000,3443.941,1008.529,50000.000,0
3101,4138.706,-224.118,50000.000,1090.706,179.294,50000.000,0
3151,3824.941,-186.765,50000.000,851.647,-268.941,50000.000,0
3201,3287.059,-112.059,50000.000,1202.765,-508.000,50000.000,0
3251,1516.529,14.941,50000.000,522.941,-186.765,50000.000,0
3301,141.941,-500.529,50000.000,89.647,567.765,50000.000,0
3351,-971.176,-620.059,50000.000,-149.412,254.000,50000.000,0
3401,-1957.294,-433.294,50000.000,-1718.235,67.235,50000.000,0
3451,-3152.588,-1404.470,50000.000,-2315.882,-388.471,50000.000,0
3501,-4826.000,-2450.353,50000.000,-2420.470,-500.529,50000.000,0
3551,-5864.411,-2129.117,50000.000,-3070.412,-605.118,50000.000,0
3601,-6701.117,-1964.765,50000.000,-2607.235,-478.118,50000.000,0
3651,-7283.823,-2069.353,50000.000,-5416.176,-1172.882,50000.000,0
3701,-8187.764,-186.765,50000.000,-7911.353,-2181.412,50000.000,0
3751,-8210.176,283.882,50000.000,-8374.529,-2562.412,50000.000,0
