timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
0,0.000,0.000,50154.000,0.000,0.000,50154.000
50545,7.471,-1680.882,50000.000,0.000,0.000,50000.000
100604,0.000,-7.471,50000.000,0.000,0.000,50000.000
150532,7.471,-7.471,50000.000,0.000,0.000,50000.000
200574,0.000,0.000,50000.000,0.000,0.000,50000.000
250488,7.471,-7.471,50000.000,0.000,0.000,50000.000
300574,0.000,0.000,50000.000,0.000,0.000,50000.000
350488,0.000,0.000,50000.000,0.000,0.000,50000.000
400488,0.000,0.000,50000.000,0.000,0.000,50000.000
450488,0.000,0.000,50000.000,0.000,0.000,50000.000
500488,0.000,0.000,50000.000,0.000,0.000,50000.000
550488,0.000,0.000,50000.000,0.000,0.000,50000.000
600488,0.000,0.000,50000.000,0.000,0.000,50000.000
650488,0.000,0.000,50000.000,0.000,0.000,50000.000
700488,0.000,0.000,50000.000,0.000,0.000,50000.000
750488,0.000,0.000,50000.000,0.000,0.000,50000.000
800488,0.000,0.000,50000.000,0.000,0.000,50000.000
850488,0.000,7.471,50000.000,0.000,0.000,50000.000
900530,1912.470,0.000,50000.000,0.000,0.000,50000.000
950561,-7.471,0.000,50000.000,0.000,0.000,50002.000
1000547,0.000,0.000,50000.000,0.000,0.000,50000.000
1050489,0.000,0.000,50000.000,0.000,0.000,50000.000
1100489,0.000,0.000,50000.000,0.000,0.000,50000.000
1150489,0.000,0.000,50000.000,0.000,0.000,50000.000
1200489,0.000,0.000,50000.000,0.000,0.000,50000.000
1250489,0.000,0.000,50000.000,0.000,0.000,50000.000
1300489,0.000,0.000,50000.000,0.000,0.000,50000.000
1350489,0.000,0.000,50000.000,0.000,0.000,50000.000
1400489,0.000,0.000,50000.000,0.000,0.000,50000.000
1450489,0.000,0.000,50000.000,0.000,0.000,50000.000
1500489,7.471,0.000,50000.000,0.000,0.000,50000.000
1550531,0.000,0.000,50000.000,0.000,0.000,50000.000
1600489,14.941,-1680.882,50000.000,0.000,0.000,50000.000
1650627,7.471,-7.471,50000.000,0.000,0.000,50000.000
1700575,0.000,-7.471,50000.000,0.000,0.000,50000.000
1750533,0.000,-7.471,50000.000,0.000,0.000,50000.000
1800533,0.000,0.000,50000.000,0.000,0.000,50000.000
1850489,0.000,0.000,50000.000,0.000,0.000,50000.000
1900489,0.000,0.000,50000.000,7.471,0.000,50000.000
1950531,0.000,0.000,50000.000,0.000,0.000,50000.000
2000489,0.000,0.000,50000.000,0.000,0.000,50000.000
2050489,0.000,0.000,50000.000,0.000,0.000,50000.000
2100489,0.000,0.000,50000.000,0.000,0.000,50000.000
