timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
1,0.000,0.000,50155.000,0.000,0.000,50153.000
50525,0.000,0.000,50000.000,0.000,0.000,50000.000
100486,0.000,0.000,50000.000,0.000,0.000,50000.000
150487,0.000,0.000,50000.000,0.000,0.000,50000.000
200487,0.000,0.000,50000.000,0.000,0.000,50000.000
250487,0.000,0.000,50000.000,0.000,0.000,50000.000
300487,0.000,0.000,50000.000,0.000,0.000,50000.000
350487,0.000,0.000,50000.000,0.000,0.000,50000.000
400487,0.000,0.000,50000.000,0.000,0.000,50000.000
450487,0.000,0.000,50000.000,0.000,0.000,50000.000
500487,0.000,0.000,50000.000,0.000,0.000,50000.000
550487,0.000,0.000,50000.000,0.000,0.000,50001.000
600503,0.000,0.000,50000.000,0.000,0.000,49999.000
650508,0.000,0.000,50000.000,0.000,0.000,50000.000
700487,0.000,0.000,50000.000,0.000,0.000,50000.000
750487,0.000,0.000,50000.000,0.000,0.000,50000.000
800487,0.000,0.000,50000.000,0.000,0.000,50000.000
850487,0.000,0.000,50000.000,0.000,0.000,50000.000
900487,0.000,0.000,50000.000,0.000,0.000,50000.000
950487,0.000,0.000,50000.000,0.000,0.000,50000.000
1000487,0.000,0.000,50000.000,0.000,0.000,50000.000
1050488,0.000,0.000,50000.000,0.000,0.000,50000.000
1100488,0.000,0.000,50000.000,0.000,0.000,50000.000
1150488,0.000,0.000,50000.000,0.000,0.000,50000.000
1200488,0.000,0.000,50000.000,0.000,0.000,50000.000
1250488,0.000,0.000,50000.000,0.000,0.000,50000.000
1300488,0.000,0.000,50000.000,0.000,0.000,50000.000
1350488,0.000,0.000,50000.000,0.000,0.000,50000.000
1400488,0.000,0.000,50000.000,0.000,0.000,50000.000
1450488,0.000,0.000,50000.000,0.000,0.000,50000.000
1500488,0.000,0.000,50000.000,0.000,0.000,50000.000
1550488,0.000,0.000,50000.000,0.000,0.000,50000.000
1600488,0.000,0.000,50000.000,0.000,0.000,50000.000
1650488,0.000,0.000,50000.000,0.000,0.000,50000.000
1700488,0.000,0.000,50000.000,0.000,0.000,50000.000
1750488,0.000,0.000,50000.000,0.000,0.000,50000.000
1800488,0.000,0.000,50000.000,0.000,0.000,50000.000
1850488,0.000,0.000,50000.000,0.000,0.000,50000.000
1900488,0.000,0.000,50000.000,0.000,0.000,50001.000
1950504,0.000,0.000,50000.000,0.000,0.000,49999.000
2000509,0.000,0.000,50000.000,0.000,0.000,50000.000
2050488,0.000,0.000,50000.000,0.000,0.000,50000.000
2100488,0.000,0.000,50000.000,0.000,0.000,50000.000
2150488,0.000,0.000,50000.000,0.000,0.000,50000.000
2200488,0.000,0.000,50000.000,0.000,0.000,50000.000
2250488,0.000,0.000,50000.000,0.000,0.000,50000.000
2300488,0.000,0.000,50000.000,0.000,0.000,50000.000
2350488,0.000,0.000,50000.000,0.000,0.000,50001.000
2400504,0.000,0.000,50000.000,0.000,0.000,49999.000
2450509,0.000,0.000,50000.000,0.000,0.000,50000.000
2500488,0.000,0.000,50000.000,0.000,0.000,50000.000
2550488,0.000,0.000,50000.000,0.000,0.000,50000.000
2600488,0.000,0.000,50000.000,0.000,0.000,50000.000
2650488,0.000,0.000,50000.000,0.000,0.000,50000.000
2700488,0.000,0.000,50000.000,0.000,0.000,50000.000
2750488,0.000,0.000,50000.000,0.000,0.000,50000.000
2800488,0.000,0.000,50000.000,0.000,0.000,50000.000
2850488,0.000,0.000,50000.000,0.000,0.000,50000.000
2900488,0.000,0.000,50000.000,0.000,0.000,50000.000
2950488,0.000,0.000,50000.000,0.000,0.000,50000.000
3000488,0.000,0.000,50000.000,0.000,0.000,50000.000
3050488,0.000,0.000,50000.000,0.000,0.000,50000.000
3100488,0.000,0.000,50000.000,0.000,0.000,50000.000
