timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
0,0.000,0.000,50160.000,0.000,0.000,50154.000
50540,0.000,0.000,50000.000,0.000,0.000,50000.000
100489,0.000,0.000,50000.000,0.000,0.000,50000.000
150490,0.000,0.000,50000.000,0.000,0.000,50000.000
200490,0.000,0.000,50000.000,0.000,0.000,50000.000
250490,0.000,0.000,50000.000,0.000,0.000,50000.000
300490,0.000,0.000,50000.000,0.000,0.000,50000.000
350490,0.000,0.000,50000.000,0.000,0.000,50000.000
400490,0.000,0.000,50000.000,0.000,0.000,50000.000
450490,0.000,0.000,50000.000,0.000,0.000,50000.000
500490,0.000,0.000,50000.000,0.000,0.000,50000.000
550490,0.000,0.000,50000.000,0.000,0.000,50000.000
600490,0.000,0.000,50000.000,0.000,0.000,50000.000
650490,0.000,0.000,50000.000,0.000,0.000,50000.000
700490,0.000,0.000,50000.000,0.000,0.000,50000.000
750490,0.000,0.000,50000.000,0.000,0.000,50000.000
800490,0.000,0.000,50000.000,0.000,0.000,50000.000
850490,0.000,0.000,50000.000,0.000,0.000,50000.000
900490,0.000,0.000,50000.000,0.000,0.000,50000.000
950490,0.000,0.000,50000.000,0.000,0.000,50000.000
1000490,0.000,0.000,50000.000,0.000,0.000,50000.000
1050491,0.000,0.000,50000.000,0.000,0.000,50000.000
1100491,0.000,0.000,50000.000,0.000,0.000,50000.000
1150490,0.000,0.000,50000.000,0.000,0.000,50000.000
1200491,0.000,0.000,50000.000,0.000,0.000,50000.000
1250491,0.000,0.000,50000.000,0.000,0.000,50000.000
1300491,0.000,0.000,50000.000,0.000,0.000,50000.000
1350491,0.000,0.000,50000.000,0.000,0.000,50000.000
1400491,0.000,0.000,50000.000,0.000,0.000,50000.000
1450491,0.000,0.000,50000.000,0.000,0.000,50000.000
1500491,0.000,0.000,50000.000,0.000,0.000,50000.000
1550491,0.000,0.000,50000.000,0.000,0.000,50000.000
1600491,0.000,0.000,50000.000,0.000,0.000,50000.000
1650491,0.000,0.000,50000.000,0.000,0.000,50000.000
1700491,0.000,0.000,50000.000,0.000,0.000,50000.000
1750491,0.000,0.000,50000.000,0.000,0.000,50000.000
1800491,0.000,0.000,50000.000,0.000,0.000,50000.000
1850491,0.000,0.000,50000.000,0.000,0.000,50000.000
1900491,0.000,0.000,50000.000,0.000,0.000,50000.000
1950491,0.000,0.000,50000.000,0.000,0.000,50000.000
2000491,0.000,0.000,50000.000,0.000,0.000,50000.000
2050491,0.000,0.000,50000.000,0.000,0.000,50000.000
2100491,0.000,0.000,50000.000,0.000,0.000,50000.000
2150491,0.000,0.000,50000.000,0.000,0.000,50000.000
2200491,0.000,0.000,50000.000,0.000,0.000,50000.000
2250491,0.000,0.000,50000.000,0.000,0.000,50000.000
2300491,0.000,0.000,50000.000,0.000,0.000,50000.000
2350491,0.000,0.000,50000.000,0.000,0.000,50000.000
2400491,0.000,0.000,50000.000,0.000,0.000,50000.000
2450491,0.000,0.000,50000.000,0.000,0.000,50000.000
2500491,0.000,0.000,50000.000,0.000,0.000,50000.000
2550489,0.000,0.000,50000.000,0.000,0.000,50000.000
2600489,0.000,0.000,50000.000,0.000,0.000,50000.000
2650489,0.000,0.000,50000.000,0.000,0.000,50000.000
2700489,0.000,0.000,50000.000,0.000,0.000,50000.000
2750489,0.000,0.000,50000.000,0.000,0.000,50000.000
2800489,0.000,0.000,50000.000,0.000,0.000,50000.000
2850489,0.000,0.000,50000.000,0.000,0.000,50000.000
2900489,0.000,0.000,50000.000,0.000,0.000,50000.000
2950489,0.000,0.000,50000.000,0.000,0.000,50000.000
3000489,0.000,0.000,50000.000,0.000,0.000,50000.000
3050489,0.000,0.000,50000.000,0.000,0.000,50000.000
3100489,0.000,0.000,50000.000,0.000,0.000,50000.000
