timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,52.294,29.882,50152.000,29.882,0.000,50153.000,0
51,8344.646,4534.647,50000.000,9666.940,-2958.353,50000.000,0
101,8038.353,3623.235,50000.000,9181.353,-3503.706,50000.000,0
151,7216.588,2667.000,50000.000,7814.235,-2450.353,50000.000,0
201,5326.529,29.882,50000.000,5886.823,-2039.470,50000.000,0
251,3287.059,-1464.235,50000.000,3541.059,-455.706,50000.000,0
301,2076.823,-1942.353,50000.000,1912.470,388.471,50000.000,0
351,1030.941,-1949.823,50000.000,672.353,1068.294,50000.000,0
401,149.412,-1516.529,50001.000,-52.294,1068.294,50000.000,0
451,-149.412,-739.588,49999.000,-321.235,560.294,50000.000,0
501,-97.118,-7.471,50000.000,-186.765,119.529,50000.000,0
551,-22.412,313.765,50000.000,52.294,-119.529,50000.000,0
601,-29.882,231.588,50000.000,-14.941,-82.176,50000.000,0
651,-149.412,-127.000,50000.000,-254.000,-112.059,50000.000,0
701,-298.824,-313.765,50000.000,-500.529,0.000,50000.000,0
751,-306.294,-171.824,50000.000,-395.941,-14.941,50000.000,0
801,-201.706,-67.235,50000.000,-194.235,-14.941,50000.000,0
851,-216.647,-186.765,50000.000,-313.765,-29.882,50000.000,0
901,-216.647,-141.941,50000.000,-395.941,-7.471,50000.000,0
951,-171.824,37.353,50000.000,-171.824,14.941,50000.000,0
1001,-149.412,82.176,50000.000,-89.647,37.353,50000.000,0
1051,-164.353,-171.824,50000.000,-291.353,-59.765,50000.000,0
1101,-201.706,-209.176,50000.000,-425.823,-22.412,50000.000,0
1151,-164.353,-44.824,50000.000,-216.647,-29.882,50000.000,0
1201,-112.059,82.176,50000.000,-67.235,14.941,50000.000,0
1251,-82.176,14.941,50000.000,-67.235,-14.941,50000.000,0
1301,-97.118,-141.941,50001.000,-194.235,-104.588,50000.000,0
1351,-179.294,-127.000,49999.000,-358.588,-22.412,50000.000,0
1401,-156.882,14.941,50001.000,-149.412,-44.824,50000.000,0
1451,-149.412,-89.647,49999.000,-171.824,-119.529,50000.000,0
1501,-171.824,-119.529,50000.000,-366.059,-29.882,50000.000,0
1551,-141.941,-14.941,50000.000,-134.471,-29.882,50000.000,0
1601,-67.235,37.353,50000.000,-37.353,0.000,50000.000,0
1651,-7.471,7.471,50000.000,-29.882,0.000,50000.000,0
1701,0.000,0.000,50000.000,0.000,-7.471,50000.000,0
1751,-59.765,-74.706,50000.000,-67.235,0.000,50000.000,0
