timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,-37.353,-59.765,50153.000,-89.647,-52.294,50153.000,0
51,-12617.822,-21911.234,50000.000,-28253.764,-17421.410,50002.000,0
101,-14492.940,-23935.764,50000.000,-27499.234,-11870.764,50000.000,0
151,-12042.588,-19259.176,50000.000,-27596.352,-12438.528,50000.000,0
201,-10929.470,-16644.469,50000.000,-26191.881,-16330.705,50000.000,0
251,-11437.470,-15441.705,50000.000,-23965.645,-6357.470,50000.000,0
301,-12662.646,-14806.705,50000.000,-21253.822,-74.706,50000.000,0
351,-10339.293,-10645.588,50000.000,-19326.410,-9599.705,50000.000,0
401,-10376.646,-10145.059,50000.000,-18982.764,-16226.116,50000.000,0
451,-9143.999,-11467.353,50000.000,-17929.410,-14014.822,50000.000,0
501,-9300.882,-14358.470,50000.000,-17809.881,-14619.940,50000.000,0
551,-7978.588,-11034.058,50000.000,-15733.058,-13469.470,50000.000,0
601,-8187.764,-10145.059,50000.000,-14313.646,-14597.528,50000.000,0
651,-7463.117,-11878.234,50000.000,-15307.234,-15620.999,50000.000,0
701,-6491.941,-12931.587,50000.000,-14806.705,-17361.646,50000.000,0
751,-5812.117,-10600.764,50000.000,-14567.646,-19147.117,50000.000,0
801,-5393.764,-8299.823,50000.000,-12117.293,-18922.998,50000.000,0
851,-5998.882,-12109.822,50000.000,-11952.940,-19303.998,50000.000,0
901,-5483.412,-11825.940,50000.000,-12154.646,-18160.998,50000.000,0
951,-5431.117,-7403.353,50000.000,-10234.705,-13902.764,50000.000,0
1001,-6223.000,-9136.528,50000.000,-10847.293,-13977.470,50000.000,0
1051,-5700.059,-12543.117,50000.000,-10481.234,-13290.176,50000.000,0
1101,-4295.588,-12998.822,50000.000,-11026.588,-15269.881,50000.000,0
1151,-4355.353,-8852.646,50000.000,-10466.293,-14179.176,50000.000,0
1201,-4646.706,-8927.353,50000.000,-10331.823,-15703.176,50000.000,0
1251,-4781.176,-12064.999,50000.000,-11265.646,-12744.822,50000.000,0
1301,-4938.059,-14739.470,50000.000,-11228.293,-10630.646,50000.000,0
1351,-5094.941,-12729.882,50000.000,-11295.528,-10413.999,50000.000,0
1401,-6096.000,-13200.528,50000.000,-11250.705,-11489.764,50000.000,0
1451,-6985.000,-16666.881,50000.000,-12939.058,-11923.058,50000.000,0
1501,-4893.235,-16039.352,50000.000,-14223.999,-11698.940,50000.000,0
1551,-3369.235,-12214.411,50000.000,-14096.999,-12640.234,50000.000,0
1601,-5446.059,-16278.411,50000.000,-13409.705,-13215.470,50000.000,0
1651,-6051.176,-18078.822,50000.000,-14321.116,-9704.294,50000.000,0
1701,-5827.059,-17608.176,50000.000,-16151.411,-9450.294,50000.000,0
1751,-4900.706,-15038.293,50000.000,-15688.234,-13977.470,50000.000,0
1801,-5700.059,-15090.587,50000.000,-16143.940,-12968.940,50000.000,0
1851,-5408.706,-14829.116,50000.000,-17458.764,-10638.117,50000.000,0
1901,-5924.176,-13775.764,50000.000,-16965.705,-12595.411,50000.000,0
1951,-7470.588,-16734.117,50000.000,-16211.176,-13439.587,50000.000,0
2001,-7328.646,-14776.822,50000.000,-17645.527,-10361.705,50000.000,0
2051,-6962.588,-13977.470,50000.000,-17787.469,-11235.764,50000.000,0
2101,-7874.000,-13768.293,50000.000,-17197.293,-14238.940,50000.000,0
2151,-8695.764,-15202.646,50000.000,-17115.117,-13656.234,50000.000,0
2201,-8202.705,-16241.058,50000.000,-17257.059,-10705.353,50000.000,0
2251,-7717.117,-15934.764,50000.000,-17077.764,-13708.528,50000.000,0
2301,-8015.940,-17585.764,50000.000,-17100.176,-16749.059,50000.000,0
2351,-8299.823,-19640.176,50000.000,-17144.998,-14903.822,50000.000,0
2401,-8531.411,-20813.057,50000.000,-17735.176,-12767.234,50000.000,0
2451,-7851.588,-18160.998,50000.000,-18945.410,-15867.528,50000.000,0
2501,-8546.353,-19221.822,50000.000,-18056.410,-15120.470,50000.000,0
2551,-8576.234,-20133.234,50000.000,-18519.588,-10794.999,50000.000,0
2601,-7485.529,-16622.059,50002.000,-19251.705,-13596.470,50000.000,0
2651,-8650.940,-18474.764,49999.000,-19475.822,-13940.117,49999.000,0
2701,-9487.646,-19236.764,49999.000,-20402.176,-8957.234,49999.000,0
2751,-8015.940,-15262.411,50000.000,-19565.469,-10712.823,50000.000,0
2801,-8830.234,-15860.058,50000.000,-19953.939,-12632.764,50000.000,0
2851,-10944.411,-20043.586,50000.000,-20402.176,-9383.059,50000.000,0
2901,-10473.764,-20148.176,50000.000,-20446.998,-10182.411,50000.000,0
2951,-8845.176,-16181.293,50000.000,-21059.586,-11519.646,50000.000,0
3001,-10555.940,-16554.822,50000.000,-22262.352,-4482.353,50000.000,0
3051,-11796.058,-16382.999,50000.000,-24219.645,-2734.235,50000.000,0
3101,-10593.293,-12438.528,50000.000,-24010.469,-6529.293,50000.000,0
3151,-14238.940,-15419.293,50000.000,-24077.705,-4131.235,50000.000,0
3201,-14590.058,-16562.293,50000.000,-24271.939,874.059,50000.000,0
3251,-12879.293,-13865.411,50000.000,-23816.234,-2069.353,50000.000,0
3301,-13835.528,-14567.646,50000.000,-23547.293,-5632.823,50000.000,0
3351,-14604.999,-15553.764,50000.000,-25302.881,-4706.470,50000.000,0
