timestamp[ms],left_dx[um],left_dy[um],left_dt[us],leftmotion,right_dx[um],right_dy[um],right_dt[us],rightmotion,waterPin
0,0.000,0.000,50153.000,32,0.000,0.000,50154.000,32,0
51,-134.471,0.000,50000.000,160,-171.824,14.941,50000.000,160,0
101,-127.000,22.412,50000.000,160,-149.412,7.471,50000.000,160,0
151,-141.941,22.412,50000.000,160,-149.412,14.941,50000.000,160,0
201,-134.471,7.471,50000.000,160,-141.941,0.000,50000.000,160,0
251,-104.588,14.941,50000.000,160,-112.059,0.000,50000.000,160,0
301,-104.588,14.941,50000.000,160,-119.529,0.000,50000.000,160,0
351,-82.176,0.000,50000.000,160,-82.176,7.471,50000.000,160,0
401,-52.294,14.941,50000.000,160,-82.176,7.471,50000.000,160,0
451,-67.235,14.941,50000.000,160,-74.706,0.000,50000.000,160,0
501,-44.824,14.941,50000.000,160,-59.765,7.471,50000.000,160,0
551,-29.882,7.471,50000.000,160,-37.353,0.000,50000.000,160,0
601,-22.412,14.941,50002.000,160,-44.824,0.000,50000.000,160,0
651,-7.471,14.941,50000.000,160,-14.941,7.471,50000.000,160,0
701,-7.471,7.471,49998.000,160,0.000,14.941,49999.000,160,0
751,0.000,0.000,50000.000,32,-7.471,0.000,50000.000,160,0
801,0.000,7.471,50000.000,160,0.000,7.471,50000.000,160,0
851,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
901,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
951,0.000,0.000,50000.000,32,0.000,0.000,50000.000,32,0
1001,7.471,0.000,50000.000,160,29.882,0.000,50000.000,160,0
1051,22.412,0.000,50000.000,160,22.412,0.000,50000.000,160,0
1101,22.412,-7.471,50000.000,160,44.824,0.000,50000.000,160,0
1151,22.412,-7.471,50000.000,160,44.824,7.471,50000.000,160,0
1201,22.412,-14.941,50000.000,160,52.294,7.471,50000.000,160,0
1251,37.353,-14.941,50000.000,160,67.235,0.000,50000.000,160,0
1301,59.765,-22.412,50000.000,160,67.235,-7.471,50000.000,160,0
1351,82.176,-29.882,50000.000,160,82.176,14.941,50000.000,160,0
1401,67.235,-14.941,50000.000,160,89.647,7.471,50000.000,160,0
1451,97.118,-37.353,50000.000,160,104.588,0.000,50000.000,160,0
1501,104.588,-37.353,50000.000,160,97.118,0.000,50000.000,160,0
1551,97.118,-29.882,50000.000,160,119.529,7.471,50000.000,160,0
1601,104.588,-22.412,50000.000,160,112.059,14.941,50000.000,160,0
1651,104.588,-7.471,50000.000,160,127.000,22.412,50000.000,160,0
1701,112.059,-14.941,50000.000,160,149.412,14.941,50000.000,160,0
1751,119.529,-14.941,50000.000,160,141.941,7.471,50000.000,160,0
1801,141.941,-14.941,50000.000,160,156.882,7.471,50000.000,160,0
1851,141.941,0.000,50000.000,160,164.353,0.000,50000.000,160,0
1901,134.471,7.471,50000.000,160,164.353,0.000,50000.000,160,0
1951,141.941,0.000,50000.000,160,171.824,7.471,50000.000,160,0
2001,164.353,0.000,50000.000,160,186.765,7.471,50000.000,160,0
2051,164.353,-7.471,50000.000,160,164.353,29.882,50000.000,160,0
