timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,0.000,0.000,50152.000,0.000,-7.471,50153.000,0
51,22232.469,3929.529,50000.000,1665.941,-776.941,50000.000,0
101,22994.469,5319.059,50000.000,4056.529,-1987.176,50000.000,0
151,23554.764,6290.235,50000.000,6364.941,-3600.823,50000.000,0
201,27850.352,1038.412,50000.000,4049.059,-2853.764,50000.000,0
251,24563.293,-1344.706,50000.000,5199.529,-3212.353,50000.000,0
301,16211.176,2853.764,50000.000,10727.764,-3593.353,50000.000,0
351,19042.527,6536.764,50000.000,13581.528,-5871.882,50000.000,0
401,21836.527,5050.117,50000.000,15172.764,-9345.705,50000.000,0
451,22942.176,2540.000,50000.000,13872.882,-10503.646,50000.000,0
501,24010.469,1240.118,50000.000,13932.646,-10428.940,50000.000,0
551,21134.293,1964.765,50000.000,4885.764,-3257.176,50000.000,0
601,15785.352,7507.940,50000.000,1217.706,-470.647,50000.000,0
651,14575.116,10272.059,50000.000,2024.529,-7.471,50000.000,0
701,12513.234,7986.058,50000.000,1778.000,268.941,50000.000,0
751,11489.764,3227.294,50000.000,1120.588,381.000,50000.000,0
801,7978.588,552.823,50000.000,410.882,448.235,50000.000,0
851,4953.000,2652.059,50000.000,1083.235,1277.470,50000.000,0
901,2046.941,7732.058,50000.000,2704.353,2599.765,50000.000,0
951,903.941,9158.940,50000.000,1852.706,1778.000,50000.000,0
1001,799.353,5924.176,50000.000,2009.588,1987.176,50000.000,0
1051,343.647,3003.176,50000.000,261.471,351.118,50000.000,0
1101,-246.529,2816.412,50000.000,44.824,328.706,50000.000,0
1151,-575.235,3839.882,50001.000,82.176,1322.294,50000.000,0
1201,-1553.882,4415.117,49999.000,-29.882,224.118,50000.000,0
1251,-2069.353,5909.235,50000.000,-97.118,455.706,50000.000,0
1301,-4288.117,9166.411,50000.000,-313.765,1905.000,50000.000,0
1351,-5236.882,9412.940,50000.000,-171.824,627.529,50000.000,0
1401,-5715.000,9241.117,50000.000,-1030.941,2196.353,50000.000,0
1451,-6910.293,9002.059,50000.000,-1329.765,1942.353,50000.000,0
1501,-6820.646,9577.294,50000.000,-1426.882,2644.588,50000.000,0
1551,-7866.529,9248.588,50001.000,-1516.529,2741.706,50000.000,0
1601,-6977.529,9375.588,49999.000,-1807.882,3287.059,50000.000,0
1651,-7134.411,9726.705,50000.000,-2159.000,3653.117,50000.000,0
1701,-9196.294,7351.058,50000.000,-6424.706,3877.235,50000.000,0
1751,-8098.117,5005.294,50000.000,-8703.234,104.588,50000.000,0
1801,-6887.882,4945.529,50000.000,-5371.353,89.647,50000.000,0
1851,-7164.293,7388.411,50001.000,-403.412,313.765,50000.000,0
1901,-7112.000,11773.646,49999.000,-209.176,381.000,50000.000,0
1951,-6925.235,13297.646,50000.000,-283.882,1845.235,50000.000,0
2001,-6663.764,11444.940,50000.000,-343.647,1389.529,50000.000,0
2051,-6409.764,10025.528,50000.000,-291.353,2696.882,50000.000,0
2101,-6193.117,12393.705,50000.000,-814.294,10630.646,50000.000,0
2151,-4572.000,10929.470,50000.000,-141.941,9158.940,50000.000,0
2201,-4953.000,11900.646,50000.000,-321.235,9278.470,50000.000,0
2251,-4235.823,10765.117,50001.000,-388.471,11437.470,50000.000,0
2301,-4512.235,10682.940,49999.000,-216.647,11071.411,50000.000,0
2351,-4392.706,10466.293,50000.000,-754.529,11751.234,50000.000,0
2401,-4542.117,11265.646,50001.000,-784.412,10907.058,50000.000,0
2451,-4153.647,10884.646,49999.000,-291.353,9562.353,50000.000,0
2501,-3638.176,10593.293,50000.000,-268.941,7433.235,50000.000,0
2551,-3503.706,10742.705,50001.000,-37.353,3668.059,50000.000,0
2601,-2965.823,11123.705,49999.000,0.000,2263.588,50000.000,0
2651,-3683.000,11706.411,50000.000,14.941,2226.235,50000.000,0
2701,-3518.647,12602.882,50000.000,-7.471,1479.176,50000.000,0
2751,-3705.412,13723.470,50000.000,-156.882,1606.176,50000.000,0
2801,-3757.706,13880.352,50000.000,-156.882,2562.412,50000.000,0
2851,-3862.294,13633.822,50000.000,0.000,1352.176,50000.000,0
2901,-3466.353,13536.705,50000.000,-37.353,2741.706,50000.000,0
2951,-3406.588,14119.411,50000.000,-254.000,3197.412,50000.000,0
3001,-4101.353,14425.705,50001.000,-268.941,3817.470,50000.000,0
3051,-3944.470,14388.352,49999.000,-7.471,1494.118,50000.000,0
3101,-3839.882,15150.352,50000.000,-14.941,620.059,50000.000,0
3151,-3242.235,14037.234,50000.000,-89.647,1001.059,50000.000,0
3201,-3518.647,13514.293,50000.000,-7.471,1202.765,50000.000,0
3251,-3623.235,13013.764,50000.000,0.000,702.235,50000.000,0
3301,-3182.470,11840.882,50000.000,-246.529,1411.941,50000.000,0
3351,-3257.176,12416.117,50000.000,-59.765,373.529,50000.000,0
3401,-2674.470,12714.940,50001.000,0.000,22.412,50000.000,0
3451,-2906.059,12460.940,49999.000,0.000,246.529,50000.000,0
3501,-2689.412,11273.117,50000.000,52.294,694.765,50000.000,0
3551,-2771.588,11646.646,50001.000,-29.882,1494.118,50000.000,0
3601,-2861.235,12408.646,49999.000,-52.294,1568.823,50000.000,0
3651,-3048.000,12894.234,50000.000,-44.824,1688.353,50000.000,0
3701,-2935.941,12572.999,50000.000,14.941,4407.647,50000.000,0
3751,-3152.588,13237.882,50000.000,201.706,5789.706,50000.000,0
3801,-2891.117,13125.822,50000.000,112.059,4355.353,50000.000,0
3851,-3227.294,13200.528,50000.000,119.529,5012.764,50000.000,0
3901,-2696.882,12244.293,50000.000,156.882,3406.588,50000.000,0
3951,-2054.412,10966.823,50000.000,231.588,3518.647,50000.000,0
4001,-2741.706,12296.588,50001.000,351.118,6193.117,50000.000,0
4051,-2375.647,11788.588,49999.000,291.353,5625.353,50000.000,0
4101,-2069.353,10279.528,50000.000,291.353,5274.235,50000.000,0
4151,-2002.118,11168.528,50000.000,201.706,4445.000,50000.000,0
4201,-1905.000,11504.705,50000.000,239.059,3795.059,50000.000,0
4251,-2091.765,12012.705,50000.000,134.471,3780.117,50000.000,0
4301,-1934.882,12468.411,50000.000,194.235,2495.176,50000.000,0
4351,-1553.882,12401.176,50000.000,224.118,1621.118,50000.000,0
4401,-1949.823,12879.293,50000.000,74.706,343.647,50000.000,0
4451,-1867.647,13409.705,50001.000,0.000,14.941,50000.000,0
4501,-1449.294,13409.705,49999.000,29.882,44.824,50000.000,0
4551,-1785.470,13686.117,50000.000,22.412,37.353,50000.000,0
4601,-1830.294,14515.352,50000.000,29.882,44.824,50000.000,0
4651,-1486.647,13581.528,50000.000,7.471,22.412,50000.000,0
4701,-1733.176,14246.411,50000.000,14.941,104.588,50000.000,0
4751,-1023.471,14403.293,50001.000,119.529,313.765,50000.000,0
4801,-1367.118,13461.999,49999.000,298.824,612.588,50000.000,0
4851,-1471.706,14306.176,50000.000,179.294,268.941,50000.000,0
4901,-1434.353,13155.705,50001.000,89.647,201.706,50000.000,0
4951,-1202.765,12535.646,49999.000,29.882,44.824,50000.000,0
5001,-851.647,12005.234,50000.000,231.588,463.176,50000.000,0
