timestamp[ms],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],waterPin
0,,,50157.000,-44.824,-14.941,50153.000,0
51,,,50000.000,-11661.588,-2831.353,50000.000,0
101,,,50000.000,-11758.705,-2943.412,50000.000,0
151,,,50000.000,-13745.882,-4870.823,50000.000,0
201,,,50000.000,-6028.764,-1919.941,50000.000,0
251,,,50000.000,-9644.528,-1314.823,50000.000,0
301,,,50000.000,-21933.646,-3615.764,50000.000,0
351,,,50000.000,-15807.764,-2935.941,50000.000,0
401,,,50000.000,-12632.764,-545.353,50000.000,0
451,,,50000.000,-16846.176,44.824,50000.000,0
501,,,50000.000,-21388.293,-2876.176,50000.000,0
551,,,50001.000,-23121.469,-6013.823,50000.000,0
601,,,49999.000,-15098.058,-3892.176,50000.000,0
651,,,50000.000,-10824.882,-1561.353,50000.000,0
701,,,50000.000,-11788.588,-2808.941,50000.000,0
751,,,50000.000,-11564.470,-4026.647,50000.000,0
801,,,50000.000,-12393.705,-3152.588,50000.000,0
851,,,50001.000,-11594.353,-627.529,50000.000,0
901,,,49999.000,-16831.234,-3287.059,50000.000,0
951,,,50000.000,-18033.998,-4400.176,50000.000,0
1001,,,50001.000,-10331.823,-313.765,50000.000,0
1051,,,50000.000,-22919.764,-1636.059,50000.000,0
1101,,,49999.000,-23950.705,-8038.353,50000.000,0
1151,,,50000.000,-6902.823,-2965.823,50000.000,0
1201,,,50000.000,-3899.647,-1030.941,50000.000,0
1251,,,50000.000,-9659.470,-2741.706,50000.000,0
1301,,,50000.000,-18781.057,-8419.353,50000.000,0
1351,,,50000.000,-9584.764,-4982.882,50000.000,0
1401,,,50000.000,-11542.058,-3966.882,50000.000,0
1451,,,50000.000,-13491.882,-6424.706,50000.000,0
1501,,,50000.000,-15172.764,-10712.823,50000.000,0
1551,,,50000.000,-7463.117,-5281.706,50000.000,0
1601,,,50000.000,-9226.176,-4721.412,50000.000,0
1651,,,50000.000,-6813.176,-3197.412,50000.000,0
1701,,,50000.000,-10989.234,-5483.412,50000.000,0
1751,,,50000.000,-12296.588,-5461.000,50000.000,0
1801,,,50000.000,-15822.705,-2868.706,50000.000,0
1851,,,50000.000,-13073.528,-3070.412,50000.000,0
1901,,,50001.000,-11818.470,-5856.941,50000.000,0
1951,,,49999.000,-10951.882,-5408.706,50000.000,0
2001,,,50000.000,-12841.940,-4743.823,50000.000,0
2051,,,50001.000,-13618.882,-5304.117,50000.000,0
2101,,,49999.000,-11825.940,-5461.000,50000.000,0
2151,,,50000.000,-2577.353,-1165.412,50000.000,0
2201,,,50000.000,-6312.646,-1733.176,50000.000,0
2251,,,50000.000,-11377.705,-2980.764,50000.000,0
2301,,,50000.000,-14515.352,-6163.235,50000.000,0
2351,,,50000.000,-9517.528,-4781.176,50000.000,0
2401,,,50000.000,-8008.470,-2211.294,50000.000,0
2451,,,50001.000,-8845.176,-1912.470,50000.000,0
2501,,,49999.000,-19774.646,-7478.058,50000.000,0
2551,,,50000.000,-13603.940,-7186.706,50000.000,0
2601,,,50001.000,-5341.470,-2390.588,50000.000,0
2651,,,49999.000,-6350.000,-948.765,50000.000,0
2701,,,50000.000,-10085.293,-3929.529,50000.000,0
2751,,,50000.000,-7933.764,-3757.706,50000.000,0
2801,,,50000.000,-8934.823,-2032.000,50000.000,0
2851,,,50000.000,-10189.882,-620.059,50000.000,0
2901,,,50000.000,-13170.646,-5162.176,50000.000,0
2951,,,50000.000,-8688.294,-4504.764,50000.000,0
3001,,,50000.000,-9756.588,-4026.647,50000.000,0
3051,,,50000.000,-9532.470,-2032.000,50000.000,0
3101,,,50000.000,-13768.293,-3406.588,50000.000,0
3151,,,50000.000,-16793.881,-6805.706,50000.000,0
3201,,,50000.000,-6447.117,-2801.470,50000.000,0
3251,,,50000.000,-7380.941,-2517.588,50000.000,0
3301,,,50001.000,-8927.353,-1576.294,50000.000,0
3351,,,49999.000,-21829.057,-6985.000,50000.000,0
3401,,,50000.000,-18444.881,-7395.882,50000.000,0
3451,,,50000.000,-14709.587,-5177.117,50000.000,0
3501,,,50000.000,-9091.705,-1120.588,50000.000,0
3551,,,50000.000,-14463.058,-2188.882,50000.000,0
3601,,,50000.000,-18609.234,-5132.294,50000.000,0
3651,,,50001.000,-20768.234,-6088.529,50000.000,0
3701,,,50000.000,-8053.293,-881.529,50000.000,0
3751,,,49999.000,-9405.470,-209.176,50000.000,0
3801,,,50000.000,-12655.176,-1352.176,50000.000,0
3851,,,50001.000,-8157.882,-1307.353,50000.000,0
3901,,,49999.000,-14560.176,0.000,50000.000,0
3951,,,50000.000,-15053.234,1038.412,50000.000,0
4001,,,50001.000,-19722.352,-194.235,50000.000,0
4051,,,50000.000,-11422.528,-926.353,50000.000,0
4101,,,49999.000,-12281.646,-1845.235,50000.000,0
4151,,,50000.000,-12191.999,-687.294,50000.000,0
4201,,,50001.000,-14022.293,268.941,50000.000,0
4251,,,49999.000,-6096.000,351.118,50000.000,0
4301,,,50000.000,-6297.706,-97.118,50000.000,0
4351,,,50000.000,-12498.293,-1359.647,50000.000,0
4401,,,50000.000,-8426.823,-1382.059,50000.000,0
4451,,,50000.000,-9898.528,-784.412,50000.000,0
4501,,,50000.000,-19811.998,-1890.059,50000.000,0
4551,,,50000.000,-25713.764,-1703.294,50000.000,0
4601,,,50000.000,-11833.411,-470.647,50000.000,0
4651,,,50000.000,-13439.587,-433.294,50000.000,0
4701,,,50000.000,-13476.940,-164.353,50000.000,0
4751,,,50001.000,-16532.410,-493.059,50000.000,0
4801,,,49999.000,-9263.528,-179.294,50000.000,0
4851,,,50000.000,-12572.999,-1710.765,50000.000,0
4901,,,50001.000,-18392.588,-5363.882,50000.000,0
4951,,,49999.000,-19879.234,-5879.353,50000.000,0
5001,,,50000.000,-14926.234,-1942.353,50000.000,0
5051,,,50000.000,-20686.057,-2390.588,50000.000,0
5101,,,50000.000,-14321.116,-1531.470,50000.000,0
5151,,,50000.000,-11908.117,-425.823,50000.000,0
5201,,,50000.000,-20357.352,-298.824,50000.000,0
5251,,,50000.000,-6499.411,52.294,50000.000,0
5301,,,50001.000,-17615.646,-239.059,50000.000,0
5351,,,50000.000,-11355.293,-418.353,50000.000,0
5401,,,49999.000,-20730.881,-1105.647,50000.000,0
5451,,,50000.000,-20192.998,186.765,50000.000,0
5501,,,50001.000,-30278.293,-194.235,50000.000,0
5551,,,49999.000,-26513.115,-1337.235,50000.000,0
5601,,,50000.000,-22307.176,-1083.235,50000.000,0
5651,,,50001.000,-18033.998,74.706,50000.000,0
5701,,,49999.000,-27939.998,-560.294,50000.000,0
5751,,,50000.000,-20775.705,-418.353,50000.000,0
5801,,,50000.000,-16763.998,156.882,50000.000,0
5851,,,50001.000,-7926.293,425.823,50000.000,0
5901,,,49999.000,-23330.645,649.941,50000.000,0
