timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
0,0.000,0.000,50157.000,31.00,0.000,0.000,50153.000,52.00,0
51,4661.647,-4557.059,50000.000,39.00,-283.882,-14799.234,50000.000,50.00,0
101,2928.470,1299.882,50000.000,49.00,381.000,-9495.117,50000.000,33.00,0
151,1128.059,5221.941,50000.000,83.00,440.765,-6641.353,50000.000,73.00,0
201,2114.176,-410.882,50000.000,46.00,-762.000,-10040.470,50000.000,36.00,0
251,2495.176,-4019.176,50000.000,60.00,-2076.823,-14186.646,50000.000,78.00,0
301,2614.706,-3100.294,50000.000,48.00,-1807.882,-14612.470,50000.000,55.00,0
351,1284.941,1957.294,50000.000,69.00,-1568.823,-11691.470,50000.000,63.00,0
401,1210.235,2913.529,50000.000,87.00,-911.412,-12438.528,50000.000,41.00,0
451,2114.176,-2338.294,50000.000,45.00,-2562.412,-14903.822,50000.000,36.00,0
501,1964.765,-3302.000,50000.000,50.00,-2592.294,-14971.058,50000.000,59.00,0
551,440.765,799.353,50000.000,42.00,-2562.412,-11810.999,50000.000,43.00,0
601,-582.706,4452.470,50000.000,84.00,-1957.294,-10802.470,50000.000,35.00,0
651,1367.118,-171.824,50000.000,62.00,-2173.941,-12968.940,50000.000,43.00,0
701,1060.823,-2719.294,50000.000,45.00,-2988.235,-14582.587,50000.000,41.00,0
751,1284.941,590.176,50000.000,42.00,-2256.117,-12214.411,50000.000,42.00,0
801,-261.471,7224.058,50000.000,82.00,-522.941,-5819.588,50000.000,42.00,0
851,1643.529,5782.235,50000.000,66.00,1329.765,-4303.059,50000.000,39.00,0
901,2614.706,463.176,50000.000,57.00,1180.353,-3727.823,50000.000,53.00,0
951,1807.882,-1538.941,50000.000,44.00,784.412,-3937.000,50000.000,41.00,0
1001,3189.941,-328.706,50000.000,50.00,1531.470,-3675.529,50000.000,44.00,0
1051,5109.882,1949.823,50000.000,48.00,4579.470,-2300.941,50000.000,70.00,0
1101,7986.058,3683.000,50000.000,71.00,7104.529,-3757.706,50000.000,73.00,0
1151,10772.588,1397.000,50000.000,63.00,8075.706,-8845.176,50000.000,70.00,0
1201,11788.588,560.294,50000.000,55.00,6701.117,-12012.705,50000.000,47.00,0
1251,11542.058,-381.000,50000.000,82.00,7634.940,-13170.646,50000.000,56.00,0
1301,11788.588,-3922.059,50000.000,54.00,6566.646,-14313.646,50000.000,47.00,0
1351,11153.588,-5326.529,50000.000,68.00,6305.176,-14492.940,50000.000,41.00,0
1401,10735.234,-3541.059,50000.000,33.00,5812.117,-13955.058,50000.000,54.00,0
1451,10555.940,3966.882,50000.000,81.00,6858.000,-13730.940,50000.000,61.00,0
1501,11265.646,4370.294,50000.000,85.00,7739.529,-13185.587,50000.000,56.00,0
1551,10981.764,1591.235,50000.000,50.00,7007.411,-9853.705,50000.000,60.00,0
1601,8807.823,2173.941,50000.000,85.00,6432.176,-7156.823,50000.000,57.00,0
1651,7717.117,986.118,50000.000,49.00,5020.235,-8098.117,50000.000,68.00,0
1701,8673.353,1060.823,50000.000,40.00,5192.059,-10085.293,50000.000,74.00,0
1751,9502.588,3219.823,50000.000,43.00,6208.059,-9614.646,50000.000,56.00,0
1801,8987.117,8053.293,50000.000,88.00,7380.941,-8367.059,50000.000,64.00,0
1851,10742.705,4654.176,50000.000,46.00,7903.882,-11138.646,50000.000,67.00,0
1901,11310.470,-1501.588,50000.000,49.00,6469.529,-12871.822,50000.000,76.00,0
1951,11676.528,-3720.353,50000.000,41.00,7119.470,-14702.116,50000.000,46.00,0
2001,11459.882,1658.470,50000.000,34.00,7463.117,-11893.176,50000.000,47.00,0
2051,10115.176,7627.470,50000.000,62.00,8434.294,-8972.176,50000.000,66.00,0
2101,11220.823,3675.529,50000.000,41.00,7806.764,-10219.764,50000.000,53.00,0
2151,11101.293,-2375.647,50000.000,46.00,6327.588,-11728.822,50000.000,54.00,0
2201,10951.882,-4459.941,50000.000,42.00,6439.646,-14044.705,50000.000,82.00,0
2251,10473.764,-194.235,50000.000,33.00,6013.823,-12602.882,50000.000,71.00,0
2301,9592.234,6185.646,50000.000,39.00,7059.706,-11758.705,50000.000,71.00,0
2351,10780.058,3697.941,50000.000,41.00,7059.706,-12072.470,50000.000,66.00,0
2401,10107.705,22.412,50000.000,48.00,5916.706,-10331.823,50000.000,48.00,0
2451,8576.234,-313.765,50000.000,53.00,5408.706,-10555.940,50000.000,24.00,0
2501,8113.058,-1105.647,50000.000,28.00,4586.941,-11743.764,50000.000,30.00,0
2551,7291.293,2719.294,50000.000,45.00,4676.588,-10488.705,50000.000,16.00,0
2601,7717.117,3458.882,50000.000,99.00,5147.235,-10944.411,50000.000,43.00,0
2651,8972.176,-1382.059,50000.000,60.00,4870.823,-12438.528,50000.000,40.00,0
2701,9315.823,-4594.412,50000.000,61.00,4542.117,-14746.940,50000.000,45.00,0
2751,8860.117,-2487.706,50000.000,54.00,4482.353,-14746.940,50000.000,63.00,0
2801,7336.117,3107.764,50000.000,89.00,4549.588,-13185.587,50000.000,48.00,0
2851,7694.706,1822.823,50000.000,85.00,4370.294,-14433.176,50000.000,80.00,0
2901,7918.823,-3630.706,50000.000,63.00,3429.000,-15755.470,50000.000,57.00,0
2951,7373.470,-4624.294,50000.000,66.00,3122.706,-16509.998,50000.000,77.00,0
3001,6118.411,-366.059,50000.000,60.00,3264.647,-12662.646,50000.000,70.00,0
3051,4721.412,3750.235,50000.000,77.00,2779.059,-9644.528,50000.000,64.00,0
3101,3795.059,2286.000,50000.000,71.00,2435.412,-6656.293,50000.000,83.00,0
3151,2226.235,-291.353,50000.000,72.00,911.412,-4997.823,50000.000,74.00,0
3201,889.000,-448.235,50000.000,63.00,-508.000,-5976.470,50000.000,78.00,0
3251,336.176,351.118,50000.000,58.00,-1778.000,-8665.882,50000.000,48.00,0
3301,1382.059,1143.000,50000.000,41.00,-1284.941,-10159.999,50000.000,46.00,0
3351,717.176,4848.412,50000.000,72.00,-1202.765,-9465.234,50000.000,62.00,0
3401,1785.470,2069.353,50000.000,63.00,-283.882,-11123.705,50000.000,46.00,0
3451,3055.470,-2756.647,50000.000,50.00,-1748.118,-14515.352,50000.000,37.00,0
3501,3122.706,-2457.823,50000.000,55.00,-1113.118,-14649.822,50000.000,43.00,0
3551,1068.294,1710.765,50000.000,52.00,-1307.353,-9958.293,50000.000,49.00,0
3601,-918.882,3384.176,50000.000,88.00,-1195.294,-5729.941,50000.000,54.00,0
3651,-963.706,-2233.706,50000.000,60.00,-2525.059,-6499.411,50000.000,56.00,0
3701,-1621.118,-3675.529,50000.000,58.00,-3705.412,-7552.764,50000.000,39.00,0
3751,-3772.647,-1247.588,50000.000,55.00,-4220.882,-3839.882,50000.000,69.00,0
3801,-5319.059,-1150.470,50000.000,51.00,-5080.000,-2525.059,50000.000,66.00,0
3851,-4519.706,-2794.000,50000.000,93.00,-5849.470,-7112.000,50000.000,38.00,0
3901,-3705.412,-1143.000,50000.000,68.00,-5334.000,-8740.588,50000.000,40.00,0
3951,-3100.294,2779.059,50000.000,75.00,-3974.353,-6872.941,50000.000,56.00,0
4001,-1628.588,-313.765,50000.000,60.00,-3331.882,-8889.999,50000.000,58.00,0
4051,-343.647,-5670.176,50000.000,58.00,-4235.823,-13469.470,50000.000,53.00,0
4101,530.412,-5685.117,50000.000,38.00,-4086.411,-15210.116,50000.000,65.00,0
4151,-791.882,-1157.941,50000.000,55.00,-3966.882,-13686.117,50000.000,62.00,0
4201,-1568.823,1389.529,50000.000,87.00,-4131.235,-12632.764,50000.000,78.00,0
4251,-1389.529,-3735.294,50000.000,41.00,-4646.706,-13805.646,50000.000,75.00,0
4301,-1643.529,-6723.529,50000.000,47.00,-5520.764,-14672.234,50000.000,66.00,0
4351,-2704.353,-4557.059,50000.000,46.00,-5199.529,-11960.411,50000.000,77.00,0
4401,-3810.000,-2196.353,50000.000,56.00,-5236.882,-10832.353,50000.000,66.00,0
4451,-3003.176,-3847.353,50000.000,52.00,-5244.353,-11400.117,50000.000,78.00,0
4501,-3272.117,-5602.941,50000.000,31.00,-5438.588,-10331.823,50000.000,70.00,0
4551,-3578.412,-4512.235,50000.000,46.00,-5498.353,-10511.117,50000.000,75.00,0
4601,-4265.706,-2659.529,50000.000,45.00,-6021.294,-10301.940,50000.000,68.00,0
4651,-4945.529,1441.823,50000.000,59.00,-5946.588,-7522.882,50000.000,79.00,0
4701,-5744.882,1113.118,50000.000,83.00,-5311.588,-6350.000,50000.000,84.00,0
4751,-4960.470,-3279.588,50000.000,57.00,-6768.353,-8882.529,50000.000,77.00,0
4801,-4975.412,-4639.235,50000.000,66.00,-6999.941,-12304.058,50000.000,83.00,0
4851,-4452.470,-4900.706,50000.000,57.00,-8284.882,-14313.646,50000.000,83.00,0
4901,-4609.353,500.529,50000.000,46.00,-6058.646,-11400.117,50000.000,62.00,0
4951,-4071.470,4796.117,50000.000,80.00,-4885.764,-8785.411,50000.000,46.00,0
5001,-3750.235,1531.470,50000.000,77.00,-4549.588,-7485.529,50000.000,50.00,0
5051,-4153.647,-2584.823,50000.000,58.00,-5408.706,-8322.234,50000.000,89.00,0
5101,-2891.117,-3578.412,50000.000,46.00,-5580.529,-11952.940,50000.000,41.00,0
5151,-2181.412,-141.941,50000.000,46.00,-5177.117,-12311.528,50000.000,42.00,0
5201,-2711.823,5513.294,50000.000,88.00,-4280.647,-11048.999,50000.000,40.00,0
5251,-1083.235,3556.000,50000.000,83.00,-3204.882,-11146.117,50000.000,46.00,0
5301,-627.529,-1912.470,50000.000,49.00,-3914.588,-12162.117,50000.000,52.00,0
5351,366.059,-3264.647,50000.000,47.00,-3585.882,-12916.646,50000.000,48.00,0
5401,-1643.529,112.059,50000.000,48.00,-3399.117,-9427.882,50000.000,78.00,0
5451,-2569.882,3526.117,50000.000,84.00,-3817.470,-9913.470,50000.000,71.00,0
5501,-1105.647,1912.470,50000.000,50.00,-4183.529,-13312.587,50000.000,55.00,0
5551,-806.823,-1307.353,50000.000,55.00,-5192.059,-15508.940,50000.000,62.00,0
5601,-911.412,-1374.588,50000.000,48.00,-4982.882,-15516.411,50000.000,53.00,0
